location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,78,0.857,13,0.143,8881,0.754,2899,0.246,818,0.716,325,0.284,1483,0.87,222,0.13,506,0.799,127,0.201,9236,0.914,869,0.086,631,0.864,99,0.136,2203,0.854,378,0.146,3997,0.936,275,0.064,3638,0.851,636,0.149,1997,0.831,407,0.169,7484,0.861,1213,0.139,752,1
Avon and Somerset,2,1,0,0,227,0.777,65,0.223,52,0.693,23,0.307,25,0.962,1,0.038,3,0.75,1,0.25,276,0.948,15,0.052,13,0.929,1,0.071,67,0.827,14,0.173,100,0.98,2,0.02,81,0.88,11,0.12,71,0.922,6,0.078,195,0.826,41,0.174,30,1
Bedfordshire,0,-,0,-,79,0.705,33,0.295,5,0.833,1,0.167,13,0.929,1,0.071,6,0.857,1,0.143,78,0.907,8,0.093,7,0.875,1,0.125,16,0.762,5,0.238,26,0.897,3,0.103,21,0.875,3,0.125,6,0.667,3,0.333,79,0.929,6,0.071,8,1
Cambridgeshire,0,-,0,-,98,0.81,23,0.19,5,0.833,1,0.167,18,0.818,4,0.182,4,0.8,1,0.2,89,0.918,8,0.082,7,1,0,0,25,0.862,4,0.138,45,0.957,2,0.043,40,0.816,9,0.184,7,0.875,1,0.125,88,0.88,12,0.12,8,1
Cheshire,3,1,0,0,142,0.74,50,0.26,15,0.789,4,0.211,21,0.955,1,0.045,6,0.857,1,0.143,205,0.928,16,0.072,9,1,0,0,36,0.973,1,0.027,64,0.97,2,0.03,72,0.889,9,0.111,40,0.851,7,0.149,111,0.933,8,0.067,15,1
Cleveland,2,1,0,0,104,0.738,37,0.262,12,0.8,3,0.2,23,0.821,5,0.179,9,0.75,3,0.25,244,0.875,35,0.125,6,1,0,0,45,0.804,11,0.196,35,0.795,9,0.205,103,0.786,28,0.214,26,0.867,4,0.133,75,0.872,11,0.128,0,-
Cumbria,0,-,0,-,102,0.85,18,0.15,6,1,0,0,7,0.778,2,0.222,3,1,0,0,98,0.961,4,0.039,5,1,0,0,26,0.929,2,0.071,33,0.917,3,0.083,39,0.929,3,0.071,58,0.951,3,0.049,84,0.894,10,0.106,5,1
Derbyshire,0,-,0,-,164,0.8,41,0.2,18,0.857,3,0.143,13,0.684,6,0.316,3,0.6,2,0.4,181,0.943,11,0.057,7,0.778,2,0.222,42,0.875,6,0.125,45,0.865,7,0.135,66,0.868,10,0.132,28,0.848,5,0.152,113,0.883,15,0.117,17,1
Devon and Cornwall,1,1,0,0,208,0.779,59,0.221,6,1,0,0,14,0.778,4,0.222,5,1,0,0,160,0.914,15,0.086,10,1,0,0,54,0.885,7,0.115,68,0.958,3,0.042,51,0.879,7,0.121,53,0.869,8,0.131,161,0.899,18,0.101,18,1
Dorset,1,1,0,0,104,0.794,27,0.206,7,0.778,2,0.222,7,1,0,0,5,1,0,0,91,0.958,4,0.042,9,0.818,2,0.182,22,0.88,3,0.12,35,0.972,1,0.028,20,0.769,6,0.231,15,0.75,5,0.25,82,0.911,8,0.089,3,1
Durham,0,-,0,-,120,0.816,27,0.184,10,0.769,3,0.231,28,0.848,5,0.152,0,0,0,0,116,0.872,17,0.128,5,1,0,0,35,0.833,7,0.167,22,0.88,3,0.12,42,0.764,13,0.236,13,0.765,4,0.235,64,0.955,3,0.045,0,-
Dyfed Powys,0,-,0,-,54,0.621,33,0.379,3,0.6,2,0.4,6,0.667,3,0.333,0,0,0,0,50,0.909,5,0.091,3,1,0,0,15,0.938,1,0.063,60,0.968,2,0.032,29,0.784,8,0.216,1,1,0,0,90,0.882,12,0.118,1,1
Essex,1,0.5,1,0.5,314,0.793,82,0.207,37,0.771,11,0.229,39,0.867,6,0.133,11,0.917,1,0.083,236,0.937,16,0.063,21,0.808,5,0.192,52,0.788,14,0.212,89,0.89,11,0.11,66,0.815,15,0.185,33,0.846,6,0.154,209,0.882,28,0.118,14,1
