location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gloucestershire,0,-,0,-,68,0.773,20,0.227,3,0.6,2,0.4,21,0.875,3,0.125,1,1,0,0,92,0.92,8,0.08,3,1,0,0,13,0.929,1,0.071,26,0.963,1,0.037,22,0.846,4,0.154,11,0.733,4,0.267,57,0.966,2,0.034,2,1
GreaterManchester,2,0.667,1,0.333,574,0.811,134,0.189,43,0.623,26,0.377,82,0.891,10,0.109,26,0.897,3,0.103,389,0.946,22,0.054,33,0.868,5,0.132,139,0.933,10,0.067,153,0.95,8,0.05,252,0.92,22,0.08,90,0.882,12,0.118,335,0.852,58,0.148,38,1
Gwent,0,-,0,-,89,0.832,18,0.168,3,0.75,1,0.25,17,0.895,2,0.105,3,1,0,0,90,0.968,3,0.032,3,1,0,0,26,0.897,3,0.103,40,1,0,0,41,0.872,6,0.128,6,0.75,2,0.25,138,0.902,15,0.098,4,1
Hampshire,3,1,0,0,295,0.738,105,0.263,28,0.7,12,0.3,28,0.848,5,0.152,15,0.75,5,0.25,256,0.941,16,0.059,20,0.909,2,0.091,72,0.878,10,0.122,93,0.949,5,0.051,95,0.888,12,0.112,52,0.897,6,0.103,236,0.897,27,0.103,23,1
Hertfordshire,1,1,0,0,185,0.749,62,0.251,6,1,0,0,30,0.882,4,0.118,2,0.4,3,0.6,174,0.93,13,0.07,17,0.944,1,0.056,47,0.922,4,0.078,94,0.931,7,0.069,76,0.854,13,0.146,20,0.8,5,0.2,158,0.854,27,0.146,12,1
Humberside,2,1,0,0,169,0.828,35,0.172,30,0.652,16,0.348,40,0.889,5,0.111,8,0.8,2,0.2,242,0.9,27,0.1,13,0.929,1,0.071,23,0.742,8,0.258,70,0.933,5,0.067,85,0.842,16,0.158,30,0.938,2,0.063,120,0.839,23,0.161,7,1
Kent,10,1,0,0,227,0.78,64,0.22,26,0.703,11,0.297,34,0.85,6,0.15,10,0.588,7,0.412,292,0.874,42,0.126,30,0.968,1,0.032,51,0.823,11,0.177,99,0.98,2,0.02,54,0.761,17,0.239,107,0.823,23,0.177,209,0.882,28,0.118,38,1
Lancashire,3,1,0,0,269,0.769,81,0.231,35,0.729,13,0.271,64,0.955,3,0.045,8,0.727,3,0.273,327,0.962,13,0.038,19,0.864,3,0.136,80,0.762,25,0.238,122,0.961,5,0.039,163,0.926,13,0.074,101,0.871,15,0.129,262,0.879,36,0.121,22,1
Leicestershire,3,1,0,0,133,0.796,34,0.204,17,0.944,1,0.056,10,0.909,1,0.091,15,0.938,1,0.063,126,0.913,12,0.087,15,0.938,1,0.063,34,0.85,6,0.15,35,0.875,5,0.125,65,0.956,3,0.044,11,0.846,2,0.154,91,0.883,12,0.117,9,1
Lincolnshire,0,-,0,-,85,0.833,17,0.167,6,1,0,0,14,0.778,4,0.222,2,0.667,1,0.333,121,0.896,14,0.104,6,1,0,0,17,0.895,2,0.105,21,1,0,0,48,0.906,5,0.094,21,0.75,7,0.25,76,0.826,16,0.174,10,1
Merseyside,0,-,0,-,278,0.77,83,0.23,25,0.806,6,0.194,26,0.813,6,0.188,9,0.9,1,0.1,266,0.905,28,0.095,14,0.933,1,0.067,61,0.836,12,0.164,218,0.948,12,0.052,113,0.869,17,0.131,114,0.877,16,0.123,172,0.91,17,0.09,19,1
Metropolitan and City,23,0.719,9,0.281,1325,0.695,582,0.305,105,0.618,65,0.382,201,0.798,51,0.202,128,0.744,44,0.256,1192,0.895,140,0.105,171,0.826,36,0.174,325,0.842,61,0.158,978,0.931,73,0.069,541,0.809,128,0.191,477,0.825,101,0.175,1245,0.801,309,0.199,221,1
Norfolk,0,-,0,-,149,0.819,33,0.181,8,0.889,1,0.111,22,0.88,3,0.12,4,0.8,1,0.2,134,0.887,17,0.113,6,0.857,1,0.143,44,0.83,9,0.17,52,0.945,3,0.055,108,0.893,13,0.107,15,0.882,2,0.118,99,0.825,21,0.175,7,1
Northamptonshire,2,1,0,0,84,0.667,42,0.333,6,0.667,3,0.333,8,1,0,0,8,1,0,0,116,0.866,18,0.134,5,0.714,2,0.286,21,0.778,6,0.222,30,0.882,4,0.118,44,0.786,12,0.214,17,0.895,2,0.105,102,0.895,12,0.105,17,1
Northumbria,3,1,0,0,260,0.718,102,0.282,18,0.563,14,0.438,56,0.862,9,0.138,8,0.8,2,0.2,371,0.871,55,0.129,13,0.867,2,0.133,77,0.762,24,0.238,85,0.85,15,0.15,138,0.789,37,0.211,64,0.8,16,0.2,132,0.763,41,0.237,14,1
North Wales,0,-,0,-,132,0.815,30,0.185,12,0.571,9,0.429,7,1,0,0,1,1,0,0,151,0.968,5,0.032,3,1,0,0,46,0.902,5,0.098,27,0.964,1,0.036,67,0.893,8,0.107,8,0.889,1,0.111,95,0.888,12,0.112,3,1
North Yorkshire,0,-,0,-,97,0.724,37,0.276,8,1,0,0,26,0.813,6,0.188,4,0.8,1,0.2,126,0.834,25,0.166,14,0.824,3,0.176,25,0.862,4,0.138,35,0.946,2,0.054,71,0.816,16,0.184,22,0.846,4,0.154,118,0.881,16,0.119,9,1
Nottinghamshire,1,0.333,2,0.667,164,0.729,61,0.271,10,0.667,5,0.333,54,0.885,7,0.115,17,0.944,1,0.056,232,0.955,11,0.045,7,0.875,1,0.125,45,0.865,7,0.135,97,0.933,7,0.067,61,0.871,9,0.129,49,0.831,10,0.169,129,0.928,10,0.072,23,1
South Wales,0,-,0,-,287,0.73,106,0.27,22,0.629,13,0.371,53,0.946,3,0.054,15,0.833,3,0.167,292,0.948,16,0.052,15,0.789,4,0.211,84,0.903,9,0.097,137,0.972,4,0.028,161,0.875,23,0.125,28,0.966,1,0.034,573,0.873,83,0.127,17,1
South Yorkshire,2,1,0,0,258,0.801,64,0.199,8,0.8,2,0.2,56,0.933,4,0.067,16,0.842,3,0.158,277,0.926,22,0.074,16,1,0,0,66,0.917,6,0.083,96,0.923,8,0.077,87,0.888,11,0.112,37,0.881,5,0.119,144,0.935,10,0.065,14,1
Staffordshire,2,1,0,0,142,0.696,62,0.304,9,0.6,6,0.4,33,0.805,8,0.195,14,0.875,2,0.125,177,0.912,17,0.088,7,1,0,0,27,0.794,7,0.206,57,0.905,6,0.095,62,0.861,10,0.139,32,0.889,4,0.111,117,0.83,24,0.17,3,1
Suffolk,1,1,0,0,142,0.866,22,0.134,9,0.818,2,0.182,17,1,0,0,1,1,0,0,111,0.925,9,0.075,7,0.875,1,0.125,34,0.944,2,0.056,53,0.914,5,0.086,66,0.93,5,0.07,12,0.75,4,0.25,94,0.931,7,0.069,8,1
Surrey,0,-,0,-,98,0.784,27,0.216,6,0.667,3,0.333,13,0.929,1,0.071,5,1,0,0,98,0.891,12,0.109,4,0.8,1,0.2,19,0.95,1,0.05,59,0.908,6,0.092,28,0.8,7,0.2,38,0.826,8,0.174,130,0.884,17,0.116,14,1
Sussex,0,-,0,-,201,0.734,73,0.266,22,0.786,6,0.214,42,0.857,7,0.143,15,0.833,3,0.167,216,0.904,23,0.096,15,0.882,2,0.118,47,0.839,9,0.161,122,0.968,4,0.032,85,0.78,24,0.22,50,0.758,16,0.242,208,0.9,23,0.1,23,1
Thames Valley,1,1,0,0,297,0.707,123,0.293,45,0.692,20,0.308,46,0.868,7,0.132,17,0.944,1,0.056,304,0.894,36,0.106,24,0.774,7,0.226,62,0.838,12,0.162,179,0.923,15,0.077,98,0.845,18,0.155,23,0.676,11,0.324,220,0.866,34,0.134,39,1
Warwickshire,0,-,0,-,44,0.863,7,0.137,3,0.75,1,0.25,29,0.967,1,0.033,0,0,0,0,67,0.944,4,0.056,5,1,0,0,11,0.846,2,0.154,13,0.929,1,0.071,14,0.933,1,0.067,14,0.7,6,0.3,87,0.737,31,0.263,1,1
West Mercia,2,1,0,0,158,0.806,38,0.194,21,0.778,6,0.222,26,0.963,1,0.037,7,0.875,1,0.125,169,0.934,12,0.066,3,0.6,2,0.4,38,0.826,8,0.174,46,1,0,0,78,0.987,1,0.013,25,0.862,4,0.138,151,0.873,22,0.127,1,1
West Midlands,3,1,0,0,462,0.743,160,0.257,38,0.731,14,0.269,86,0.86,14,0.14,62,0.838,12,0.162,515,0.923,43,0.077,17,0.85,3,0.15,109,0.886,14,0.114,187,0.935,13,0.065,114,0.765,35,0.235,119,0.721,46,0.279,311,0.874,45,0.126,19,1
West Yorkshire,4,1,0,0,420,0.719,164,0.281,61,0.813,14,0.187,122,0.917,11,0.083,30,0.698,13,0.302,376,0.895,44,0.105,17,0.68,8,0.32,96,0.814,22,0.186,130,0.935,9,0.065,127,0.836,25,0.164,43,0.729,16,0.271,244,0.819,54,0.181,14,1
Wiltshire,0,-,0,-,73,0.802,18,0.198,9,1,0,0,6,0.75,2,0.25,0,0,4,1,113,0.934,8,0.066,7,1,0,0,29,0.906,3,0.094,21,0.955,1,0.045,44,0.936,3,0.064,10,0.714,4,0.286,80,0.899,9,0.101,2,1
