location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Metropolitan and City,21,0.913,2,0.087,1129,0.674,546,0.326,117,0.657,61,0.343,224,0.842,42,0.158,179,0.856,30,0.144,1273,0.91,126,0.09,179,0.877,25,0.123,271,0.829,56,0.171,1098,0.939,71,0.061,639,0.815,145,0.185,482,0.864,76,0.136,1404,0.776,406,0.224,180,1
Norfolk,1,1,0,0,165,0.793,43,0.207,8,0.8,2,0.2,12,0.857,2,0.143,3,1,0,0,146,0.913,14,0.088,11,0.917,1,0.083,52,0.912,5,0.088,76,0.962,3,0.038,58,0.866,9,0.134,49,0.907,5,0.093,107,0.877,15,0.123,9,1
Northamptonshire,2,1,0,0,69,0.657,36,0.343,13,0.684,6,0.316,23,0.92,2,0.08,11,0.917,1,0.083,135,0.86,22,0.14,7,0.875,1,0.125,21,0.913,2,0.087,31,0.939,2,0.061,44,0.83,9,0.17,11,0.786,3,0.214,97,0.89,12,0.11,8,1
Northumbria,3,1,0,0,225,0.684,104,0.316,10,0.476,11,0.524,54,0.871,8,0.129,15,0.882,2,0.118,415,0.849,74,0.151,15,0.882,2,0.118,99,0.811,23,0.189,98,0.838,19,0.162,109,0.762,34,0.238,188,0.77,56,0.23,249,0.868,38,0.132,11,1
North Wales,1,1,0,0,100,0.763,31,0.237,7,0.538,6,0.462,21,0.955,1,0.045,3,1,0,0,137,0.932,10,0.068,9,0.9,1,0.1,45,0.865,7,0.135,40,0.952,2,0.048,43,0.956,2,0.044,68,0.872,10,0.128,150,0.888,19,0.112,2,1
North Yorkshire,1,0.5,1,0.5,92,0.868,14,0.132,5,1,0,0,6,0.75,2,0.25,6,0.857,1,0.143,137,0.907,14,0.093,6,0.857,1,0.143,19,0.679,9,0.321,38,0.95,2,0.05,42,0.875,6,0.125,11,0.55,9,0.45,78,0.907,8,0.093,14,1
Nottinghamshire,2,1,0,0,182,0.719,71,0.281,12,0.8,3,0.2,30,1,0,0,11,0.579,8,0.421,241,0.96,10,0.04,10,1,0,0,45,0.865,7,0.135,100,0.962,4,0.038,46,0.821,10,0.179,51,0.785,14,0.215,154,0.928,12,0.072,2,1
South Wales,0,-,0,-,232,0.725,88,0.275,13,0.65,7,0.35,55,0.948,3,0.052,10,1,0,0,289,0.944,17,0.056,9,0.9,1,0.1,64,0.97,2,0.03,112,1,0,0,150,0.932,11,0.068,47,0.87,7,0.13,323,0.812,75,0.188,11,1
South Yorkshire,2,1,0,0,218,0.804,53,0.196,18,0.9,2,0.1,44,0.957,2,0.043,9,0.643,5,0.357,350,0.959,15,0.041,9,0.818,2,0.182,75,0.915,7,0.085,114,0.95,6,0.05,78,0.848,14,0.152,41,0.854,7,0.146,162,0.895,19,0.105,13,1
Staffordshire,0,-,0,-,150,0.694,66,0.306,15,0.882,2,0.118,20,0.952,1,0.048,8,0.8,2,0.2,161,0.856,27,0.144,11,0.917,1,0.083,55,0.743,19,0.257,80,0.93,6,0.07,85,0.817,19,0.183,63,0.9,7,0.1,147,0.831,30,0.169,8,1
Suffolk,1,1,0,0,138,0.873,20,0.127,7,1,0,0,14,0.737,5,0.263,4,0.8,1,0.2,111,0.957,5,0.043,5,0.833,1,0.167,28,0.903,3,0.097,40,0.976,1,0.024,61,0.91,6,0.09,43,0.86,7,0.14,68,0.883,9,0.117,5,1
Surrey,0,-,0,-,93,0.756,30,0.244,11,0.611,7,0.389,5,0.625,3,0.375,8,0.889,1,0.111,111,0.888,14,0.112,17,0.944,1,0.056,23,0.821,5,0.179,55,0.965,2,0.035,39,0.83,8,0.17,37,0.712,15,0.288,134,0.876,19,0.124,17,1
Sussex,0,-,0,-,171,0.803,42,0.197,15,0.652,8,0.348,35,0.875,5,0.125,7,1,0,0,190,0.918,17,0.082,14,0.737,5,0.263,36,0.857,6,0.143,80,0.952,4,0.048,72,0.847,13,0.153,74,0.725,28,0.275,161,0.894,19,0.106,17,1
Thames Valley,9,1,0,0,214,0.652,114,0.348,26,0.722,10,0.278,40,0.87,6,0.13,10,0.625,6,0.375,296,0.925,24,0.075,15,0.833,3,0.167,51,0.823,11,0.177,122,0.931,9,0.069,105,0.84,20,0.16,32,0.762,10,0.238,280,0.897,32,0.103,40,1
Warwickshire,0,-,0,-,35,0.761,11,0.239,7,0.875,1,0.125,10,1,0,0,1,1,0,0,76,0.962,3,0.038,1,1,0,0,10,0.833,2,0.167,18,0.947,1,0.053,15,0.789,4,0.211,32,0.914,3,0.086,154,0.906,16,0.094,0,-
West Mercia,1,0.5,1,0.5,156,0.788,42,0.212,24,0.857,4,0.143,14,0.824,3,0.176,5,0.833,1,0.167,169,0.934,12,0.066,5,1,0,0,47,0.922,4,0.078,55,0.982,1,0.018,66,0.868,10,0.132,49,0.891,6,0.109,198,0.888,25,0.112,3,1
West Midlands,6,0.667,3,0.333,413,0.649,223,0.351,28,0.757,9,0.243,90,0.826,19,0.174,55,0.775,16,0.225,558,0.922,47,0.078,35,0.972,1,0.028,109,0.832,22,0.168,226,0.926,18,0.074,116,0.779,33,0.221,164,0.796,42,0.204,304,0.861,49,0.139,16,1
West Yorkshire,1,1,0,0,420,0.766,128,0.234,40,0.833,8,0.167,78,0.804,19,0.196,30,0.938,2,0.063,505,0.937,34,0.063,22,0.88,3,0.12,86,0.819,19,0.181,173,0.956,8,0.044,116,0.8,29,0.2,52,0.839,10,0.161,297,0.851,52,0.149,35,1
Wiltshire,1,1,0,0,74,0.755,24,0.245,9,0.692,4,0.308,6,1,0,0,3,1,0,0,90,0.928,7,0.072,4,0.8,1,0.2,26,0.839,5,0.161,25,1,0,0,22,0.815,5,0.185,13,0.867,2,0.133,79,0.859,13,0.141,10,1
