location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,63,0.84,12,0.16,9260,0.757,2966,0.243,838,0.724,319,0.276,1250,0.849,223,0.151,431,0.815,98,0.185,8924,0.925,722,0.075,678,0.852,118,0.148,2264,0.861,366,0.139,3794,0.944,223,0.056,3483,0.844,642,0.156,1733,0.839,333,0.161,7534,0.853,1295,0.147,712,1
Avon and Somerset,5,0.833,1,0.167,223,0.748,75,0.252,44,0.83,9,0.17,30,0.938,2,0.063,5,0.833,1,0.167,237,0.96,10,0.04,18,0.783,5,0.217,59,0.922,5,0.078,92,0.939,6,0.061,82,0.854,14,0.146,61,0.824,13,0.176,209,0.82,46,0.18,32,1
Bedfordshire,1,1,0,0,98,0.737,35,0.263,6,0.857,1,0.143,12,0.857,2,0.143,16,0.941,1,0.059,86,0.925,7,0.075,7,1,0,0,24,0.8,6,0.2,30,0.968,1,0.032,47,0.904,5,0.096,17,0.85,3,0.15,65,0.855,11,0.145,11,1
Cambridgeshire,1,1,0,0,105,0.814,24,0.186,6,0.667,3,0.333,11,0.917,1,0.083,11,0.733,4,0.267,105,0.955,5,0.045,8,1,0,0,27,0.931,2,0.069,35,0.921,3,0.079,41,0.872,6,0.128,7,0.875,1,0.125,99,0.876,14,0.124,15,1
Cheshire,1,1,0,0,241,0.798,61,0.202,25,0.962,1,0.038,31,0.861,5,0.139,3,0.75,1,0.25,213,0.951,11,0.049,13,0.867,2,0.133,54,0.931,4,0.069,111,0.982,2,0.018,70,0.897,8,0.103,47,0.922,4,0.078,180,0.909,18,0.091,9,1
Cleveland,1,1,0,0,102,0.723,39,0.277,11,0.786,3,0.214,20,0.87,3,0.13,6,1,0,0,237,0.922,20,0.078,20,0.87,3,0.13,35,0.854,6,0.146,41,0.932,3,0.068,95,0.785,26,0.215,5,0.556,4,0.444,74,0.902,8,0.098,7,1
Cumbria,0,-,0,-,77,0.846,14,0.154,6,1,0,0,13,0.929,1,0.071,0,0,0,0,69,0.945,4,0.055,5,1,0,0,23,0.852,4,0.148,37,0.974,1,0.026,40,0.976,1,0.024,57,0.95,3,0.05,79,0.84,15,0.16,1,1
Derbyshire,1,1,0,0,147,0.735,53,0.265,18,0.857,3,0.143,11,0.688,5,0.313,2,0.25,6,0.75,125,0.919,11,0.081,14,0.824,3,0.176,39,0.796,10,0.204,69,1,0,0,69,0.812,16,0.188,17,0.773,5,0.227,109,0.845,20,0.155,9,1
Devon and Cornwall,2,1,0,0,181,0.757,58,0.243,10,0.909,1,0.091,23,0.821,5,0.179,5,0.625,3,0.375,134,0.944,8,0.056,11,0.917,1,0.083,50,0.806,12,0.194,80,0.952,4,0.048,65,0.793,17,0.207,68,0.883,9,0.117,169,0.862,27,0.138,17,1
Dorset,0,-,0,-,97,0.802,24,0.198,8,0.727,3,0.273,12,0.923,1,0.077,0,0,0,0,87,0.906,9,0.094,6,0.75,2,0.25,25,0.926,2,0.074,45,0.938,3,0.063,42,0.857,7,0.143,4,0.8,1,0.2,85,0.895,10,0.105,8,1
Durham,0,-,0,-,122,0.735,44,0.265,10,0.769,3,0.231,15,1,0,0,2,1,0,0,125,0.912,12,0.088,3,0.6,2,0.4,39,0.867,6,0.133,16,0.842,3,0.158,54,0.794,14,0.206,12,1,0,0,77,0.939,5,0.061,0,-
Dyfed Powys,0,-,0,-,57,0.781,16,0.219,4,0.5,4,0.5,8,0.8,2,0.2,0,0,0,0,44,0.863,7,0.137,2,1,0,0,25,0.962,1,0.038,59,0.937,4,0.063,25,0.862,4,0.138,2,1,0,0,51,0.761,16,0.239,4,1
Essex,0,-,0,-,280,0.767,85,0.233,43,0.717,17,0.283,12,0.6,8,0.4,8,0.727,3,0.273,178,0.932,13,0.068,15,0.882,2,0.118,47,0.855,8,0.145,88,0.978,2,0.022,32,0.889,4,0.111,47,0.839,9,0.161,163,0.795,42,0.205,24,1
Gloucestershire,0,-,0,-,70,0.729,26,0.271,1,1,0,0,16,0.941,1,0.059,0,0,0,0,93,0.93,7,0.07,6,0.857,1,0.143,18,0.9,2,0.1,17,1,0,0,13,1,0,0,14,0.7,6,0.3,51,0.864,8,0.136,11,1
GreaterManchester,1,0.333,2,0.667,619,0.8,155,0.2,41,0.695,18,0.305,64,0.914,6,0.086,24,0.857,4,0.143,393,0.94,25,0.06,28,0.903,3,0.097,133,0.917,12,0.083,161,0.925,13,0.075,257,0.88,35,0.12,67,0.848,12,0.152,360,0.831,73,0.169,33,1
Gwent,0,0,1,1,100,0.769,30,0.231,6,0.6,4,0.4,18,0.857,3,0.143,9,1,0,0,80,0.909,8,0.091,3,0.75,1,0.25,36,0.8,9,0.2,46,0.958,2,0.042,51,0.864,8,0.136,5,1,0,0,55,0.873,8,0.127,5,1
Hampshire,1,0.5,1,0.5,324,0.798,82,0.202,33,0.825,7,0.175,25,0.694,11,0.306,12,0.923,1,0.077,245,0.961,10,0.039,21,0.955,1,0.045,77,0.865,12,0.135,102,0.903,11,0.097,83,0.83,17,0.17,13,0.722,5,0.278,246,0.914,23,0.086,17,1
Hertfordshire,1,0.5,1,0.5,151,0.812,35,0.188,6,0.857,1,0.143,25,0.962,1,0.038,4,0.5,4,0.5,190,0.945,11,0.055,17,0.944,1,0.056,36,0.878,5,0.122,51,0.879,7,0.121,62,0.838,12,0.162,26,0.963,1,0.037,107,0.823,23,0.177,22,1
Humberside,1,1,0,0,131,0.789,35,0.211,13,0.591,9,0.409,36,0.857,6,0.143,2,0.4,3,0.6,179,0.937,12,0.063,4,0.667,2,0.333,45,0.833,9,0.167,61,0.984,1,0.016,88,0.871,13,0.129,23,0.958,1,0.042,121,0.823,26,0.177,7,1
