location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Kent,1,1,0,0,225,0.768,68,0.232,18,0.563,14,0.438,40,0.784,11,0.216,5,0.714,2,0.286,242,0.88,33,0.12,27,0.9,3,0.1,51,0.81,12,0.19,90,0.957,4,0.043,53,0.736,19,0.264,52,0.852,9,0.148,155,0.886,20,0.114,20,1
Lancashire,1,1,0,0,272,0.762,85,0.238,28,0.636,16,0.364,51,0.895,6,0.105,12,0.8,3,0.2,297,0.952,15,0.048,14,0.933,1,0.067,74,0.822,16,0.178,111,0.957,5,0.043,118,0.825,25,0.175,109,0.852,19,0.148,220,0.856,37,0.144,10,1
Leicestershire,1,0.5,1,0.5,129,0.729,48,0.271,5,0.556,4,0.444,20,0.952,1,0.048,4,1,0,0,123,0.885,16,0.115,9,0.75,3,0.25,23,0.852,4,0.148,24,0.857,4,0.143,20,0.625,12,0.375,13,0.765,4,0.235,130,0.839,25,0.161,11,1
Lincolnshire,1,1,0,0,84,0.757,27,0.243,12,1,0,0,16,0.889,2,0.111,2,1,0,0,102,0.879,14,0.121,2,1,0,0,27,0.818,6,0.182,40,0.976,1,0.024,46,0.836,9,0.164,13,0.813,3,0.188,123,0.879,17,0.121,7,1
Merseyside,3,1,0,0,378,0.796,97,0.204,35,0.814,8,0.186,27,0.844,5,0.156,15,0.833,3,0.167,293,0.961,12,0.039,27,1,0,0,93,0.894,11,0.106,221,0.929,17,0.071,114,0.898,13,0.102,72,0.847,13,0.153,198,0.868,30,0.132,14,1
Metropolitan and City,15,0.833,3,0.167,1295,0.686,594,0.314,142,0.724,54,0.276,209,0.85,37,0.15,112,0.767,34,0.233,1141,0.902,124,0.098,183,0.789,49,0.211,307,0.81,72,0.19,801,0.936,55,0.064,480,0.825,102,0.175,414,0.812,96,0.188,1145,0.786,311,0.214,184,1
Norfolk,1,1,0,0,176,0.8,44,0.2,6,0.545,5,0.455,18,0.818,4,0.182,5,1,0,0,140,0.915,13,0.085,4,1,0,0,43,0.915,4,0.085,55,0.965,2,0.035,82,0.854,14,0.146,16,0.889,2,0.111,100,0.943,6,0.057,9,1
Northamptonshire,0,-,0,-,116,0.748,39,0.252,7,0.636,4,0.364,12,0.75,4,0.25,2,0.667,1,0.333,93,0.939,6,0.061,3,1,0,0,34,0.872,5,0.128,30,0.938,2,0.063,40,0.851,7,0.149,17,0.944,1,0.056,122,0.924,10,0.076,8,1
Northumbria,0,-,0,-,265,0.653,141,0.347,19,0.679,9,0.321,51,0.75,17,0.25,8,0.889,1,0.111,523,0.916,48,0.084,14,0.824,3,0.176,101,0.842,19,0.158,84,0.913,8,0.087,209,0.801,52,0.199,60,0.769,18,0.231,209,0.833,42,0.167,16,1
North Wales,0,-,0,-,175,0.858,29,0.142,11,0.647,6,0.353,11,0.917,1,0.083,4,0.8,1,0.2,125,0.969,4,0.031,7,0.7,3,0.3,36,0.878,5,0.122,44,0.978,1,0.022,81,0.953,4,0.047,15,0.938,1,0.063,98,0.891,12,0.109,5,1
North Yorkshire,3,0.75,1,0.25,105,0.814,24,0.186,4,0.8,1,0.2,23,0.92,2,0.08,2,0.667,1,0.333,148,0.919,13,0.081,11,0.846,2,0.154,23,0.92,2,0.08,39,0.951,2,0.049,55,0.833,11,0.167,14,0.933,1,0.067,110,0.957,5,0.043,3,1
Nottinghamshire,0,-,0,-,247,0.735,89,0.265,15,0.833,3,0.167,26,0.867,4,0.133,7,0.636,4,0.364,230,0.913,22,0.087,11,0.917,1,0.083,60,0.811,14,0.189,117,0.975,3,0.025,85,0.817,19,0.183,36,0.783,10,0.217,182,0.883,24,0.117,15,1
South Wales,1,1,0,0,270,0.752,89,0.248,27,0.675,13,0.325,54,0.885,7,0.115,9,0.9,1,0.1,304,0.941,19,0.059,12,0.75,4,0.25,60,0.882,8,0.118,132,0.964,5,0.036,174,0.874,25,0.126,8,0.615,5,0.385,599,0.908,61,0.092,15,1
South Yorkshire,5,1,0,0,217,0.764,67,0.236,13,0.929,1,0.071,32,0.842,6,0.158,11,1,0,0,272,0.925,22,0.075,19,1,0,0,68,0.872,10,0.128,94,0.931,7,0.069,63,0.818,14,0.182,42,0.84,8,0.16,146,0.936,10,0.064,7,1
Staffordshire,0,-,0,-,158,0.718,62,0.282,18,0.75,6,0.25,27,0.931,2,0.069,12,0.857,2,0.143,155,0.886,20,0.114,9,1,0,0,35,0.854,6,0.146,85,0.955,4,0.045,47,0.87,7,0.13,29,0.935,2,0.065,138,0.75,46,0.25,3,1
Suffolk,2,1,0,0,150,0.829,31,0.171,6,0.857,1,0.143,5,0.833,1,0.167,0,0,0,0,78,0.975,2,0.025,2,1,0,0,26,0.867,4,0.133,32,0.97,1,0.03,52,0.963,2,0.037,12,0.857,2,0.143,88,0.815,20,0.185,5,1
Surrey,0,-,0,-,136,0.824,29,0.176,13,0.813,3,0.188,26,0.929,2,0.071,4,1,0,0,95,0.905,10,0.095,21,0.913,2,0.087,20,0.833,4,0.167,55,0.948,3,0.052,36,0.857,6,0.143,24,0.686,11,0.314,133,0.869,20,0.131,8,1
Sussex,0,-,0,-,244,0.753,80,0.247,30,0.612,19,0.388,26,0.839,5,0.161,21,0.913,2,0.087,256,0.938,17,0.062,14,0.875,2,0.125,49,0.86,8,0.14,84,0.966,3,0.034,73,0.849,13,0.151,39,0.813,9,0.188,195,0.894,23,0.106,27,1
Thames Valley,3,1,0,0,265,0.742,92,0.258,32,0.542,27,0.458,26,0.788,7,0.212,10,0.769,3,0.231,279,0.952,14,0.048,29,0.967,1,0.033,61,0.897,7,0.103,98,0.899,11,0.101,104,0.839,20,0.161,33,0.702,14,0.298,242,0.9,27,0.1,19,1
Warwickshire,1,1,0,0,42,0.75,14,0.25,7,0.7,3,0.3,12,0.857,2,0.143,2,1,0,0,69,0.908,7,0.092,2,0.667,1,0.333,9,0.818,2,0.182,19,0.95,1,0.05,19,0.826,4,0.174,19,0.95,1,0.05,70,0.714,28,0.286,6,1
West Mercia,2,1,0,0,197,0.868,30,0.132,18,0.692,8,0.308,19,0.826,4,0.174,3,1,0,0,133,0.911,13,0.089,10,0.909,1,0.091,49,0.907,5,0.093,51,0.981,1,0.019,45,0.882,6,0.118,21,0.875,3,0.125,154,0.88,21,0.12,4,1
West Midlands,3,0.75,1,0.25,474,0.752,156,0.248,29,0.744,10,0.256,62,0.775,18,0.225,46,0.868,7,0.132,539,0.91,53,0.09,18,0.72,7,0.28,100,0.926,8,0.074,173,0.951,9,0.049,114,0.87,17,0.13,130,0.929,10,0.071,298,0.847,54,0.153,45,1
West Yorkshire,4,1,0,0,424,0.777,122,0.223,46,0.767,14,0.233,67,0.87,10,0.13,24,0.96,1,0.04,396,0.932,29,0.068,23,0.793,6,0.207,99,0.868,15,0.132,150,0.962,6,0.038,128,0.837,25,0.163,49,0.79,13,0.21,304,0.874,44,0.126,36,1
Wiltshire,0,-,0,-,91,0.835,18,0.165,6,0.667,3,0.333,8,0.8,2,0.2,2,0.667,1,0.333,71,0.922,6,0.078,6,1,0,0,24,0.857,4,0.143,24,0.923,2,0.077,29,0.763,9,0.237,4,0.8,1,0.2,75,0.893,9,0.107,3,1
