location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,47,0.855,8,0.145,9369,0.742,3251,0.258,853,0.717,336,0.283,1491,0.825,317,0.175,602,0.762,188,0.238,10041,0.91,998,0.09,781,0.874,113,0.126,2483,0.856,419,0.144,4558,0.936,310,0.064,4390,0.846,801,0.154,2619,0.824,558,0.176,8858,0.867,1363,0.133,793,1
Avon and Somerset,2,1,0,0,215,0.752,71,0.248,39,0.709,16,0.291,53,0.898,6,0.102,12,0.923,1,0.077,283,0.94,18,0.06,18,0.947,1,0.053,77,0.885,10,0.115,113,0.958,5,0.042,134,0.918,12,0.082,75,0.852,13,0.148,195,0.806,47,0.194,26,1
Bedfordshire,4,1,0,0,69,0.758,22,0.242,10,0.667,5,0.333,9,0.9,1,0.1,6,1,0,0,87,0.916,8,0.084,8,1,0,0,16,0.8,4,0.2,49,0.942,3,0.058,25,0.862,4,0.138,6,0.667,3,0.333,97,0.924,8,0.076,11,1
Cambridgeshire,0,-,0,-,110,0.859,18,0.141,4,0.8,1,0.2,25,0.926,2,0.074,3,0.75,1,0.25,109,0.932,8,0.068,8,0.889,1,0.111,29,0.935,2,0.065,58,0.967,2,0.033,43,0.86,7,0.14,14,0.667,7,0.333,79,0.94,5,0.06,11,1
Cheshire,0,-,0,-,252,0.824,54,0.176,13,0.867,2,0.133,36,0.923,3,0.077,3,0.75,1,0.25,208,0.929,16,0.071,10,0.833,2,0.167,56,0.918,5,0.082,95,0.95,5,0.05,108,0.908,11,0.092,58,0.853,10,0.147,210,0.921,18,0.079,6,1
Cleveland,0,-,0,-,111,0.745,38,0.255,12,0.8,3,0.2,34,0.895,4,0.105,6,0.857,1,0.143,241,0.916,22,0.084,12,1,0,0,35,0.833,7,0.167,75,0.904,8,0.096,122,0.819,27,0.181,26,0.839,5,0.161,97,0.843,18,0.157,4,1
Cumbria,0,-,0,-,84,0.8,21,0.2,10,1,0,0,10,0.769,3,0.231,3,1,0,0,94,0.959,4,0.041,6,0.75,2,0.25,33,1,0,0,35,0.972,1,0.028,59,0.908,6,0.092,52,0.839,10,0.161,98,0.916,9,0.084,3,1
Derbyshire,0,-,0,-,155,0.749,52,0.251,15,0.938,1,0.063,17,0.773,5,0.227,22,0.88,3,0.12,194,0.919,17,0.081,5,0.714,2,0.286,41,0.788,11,0.212,84,0.944,5,0.056,56,0.903,6,0.097,49,0.778,14,0.222,222,0.933,16,0.067,7,1
Devon and Cornwall,0,-,0,-,171,0.722,66,0.278,7,0.875,1,0.125,17,0.895,2,0.105,5,0.833,1,0.167,166,0.938,11,0.062,13,0.929,1,0.071,54,0.915,5,0.085,68,0.895,8,0.105,69,0.784,19,0.216,95,0.864,15,0.136,188,0.945,11,0.055,13,1
Dorset,0,-,0,-,100,0.775,29,0.225,7,0.7,3,0.3,18,0.947,1,0.053,5,1,0,0,80,0.86,13,0.14,10,0.833,2,0.167,38,0.974,1,0.026,37,0.974,1,0.026,54,0.844,10,0.156,40,0.816,9,0.184,95,0.905,10,0.095,5,1
Durham,0,-,0,-,96,0.716,38,0.284,13,0.867,2,0.133,19,0.826,4,0.174,3,0.6,2,0.4,165,0.892,20,0.108,12,0.923,1,0.077,40,0.851,7,0.149,30,0.968,1,0.032,63,0.84,12,0.16,20,0.8,5,0.2,80,0.92,7,0.08,2,1
