location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,0,-,0,-,83,0.79,22,0.21,9,0.818,2,0.182,9,1,0,0,1,1,0,0,49,0.803,12,0.197,4,1,0,0,21,0.875,3,0.125,53,0.964,2,0.036,49,0.778,14,0.222,6,0.857,1,0.143,201,0.914,19,0.086,3,1
Essex,1,1,0,0,334,0.85,59,0.15,39,0.722,15,0.278,38,0.792,10,0.208,10,0.833,2,0.167,274,0.938,18,0.062,20,0.87,3,0.13,73,0.913,7,0.088,119,0.944,7,0.056,72,0.878,10,0.122,61,0.836,12,0.164,209,0.917,19,0.083,25,1
Gloucestershire,1,1,0,0,56,0.602,37,0.398,3,1,0,0,7,0.875,1,0.125,1,1,0,0,86,0.925,7,0.075,5,0.833,1,0.167,17,0.81,4,0.19,25,0.962,1,0.038,7,0.778,2,0.222,27,0.75,9,0.25,53,0.93,4,0.07,7,1
GreaterManchester,1,1,0,0,645,0.758,206,0.242,51,0.646,28,0.354,77,0.846,14,0.154,43,0.768,13,0.232,459,0.914,43,0.086,37,0.925,3,0.075,169,0.876,24,0.124,228,0.946,13,0.054,310,0.909,31,0.091,125,0.767,38,0.233,367,0.872,54,0.128,47,1
Gwent,0,-,0,-,71,0.807,17,0.193,1,1,0,0,10,0.667,5,0.333,4,1,0,0,81,0.964,3,0.036,3,1,0,0,20,0.769,6,0.231,35,0.875,5,0.125,60,0.87,9,0.13,17,0.739,6,0.261,36,0.8,9,0.2,9,1
Hampshire,0,-,0,-,298,0.739,105,0.261,26,0.619,16,0.381,37,0.841,7,0.159,7,1,0,0,294,0.907,30,0.093,16,0.762,5,0.238,79,0.849,14,0.151,131,0.929,10,0.071,106,0.855,18,0.145,81,0.764,25,0.236,231,0.882,31,0.118,31,1
Hertfordshire,0,-,0,-,185,0.837,36,0.163,14,0.875,2,0.125,15,0.75,5,0.25,7,0.467,8,0.533,192,0.928,15,0.072,20,0.833,4,0.167,26,0.839,5,0.161,63,0.9,7,0.1,71,0.763,22,0.237,14,0.824,3,0.176,157,0.892,19,0.108,23,1
Humberside,1,1,0,0,214,0.833,43,0.167,21,0.7,9,0.3,40,0.755,13,0.245,5,0.5,5,0.5,216,0.878,30,0.122,25,0.833,5,0.167,44,0.746,15,0.254,80,0.976,2,0.024,100,0.87,15,0.13,34,0.85,6,0.15,139,0.885,18,0.115,12,1
Kent,2,1,0,0,244,0.733,89,0.267,26,0.65,14,0.35,50,0.877,7,0.123,11,0.917,1,0.083,352,0.867,54,0.133,26,0.897,3,0.103,74,0.804,18,0.196,115,0.943,7,0.057,65,0.739,23,0.261,130,0.818,29,0.182,221,0.88,30,0.12,30,1
Lancashire,1,1,0,0,307,0.711,125,0.289,28,0.7,12,0.3,74,0.86,12,0.14,23,0.958,1,0.042,307,0.939,20,0.061,20,0.909,2,0.091,98,0.838,19,0.162,138,0.965,5,0.035,189,0.9,21,0.1,128,0.901,14,0.099,253,0.838,49,0.162,24,1
Leicestershire,1,1,0,0,121,0.752,40,0.248,10,0.833,2,0.167,26,0.743,9,0.257,15,0.789,4,0.211,127,0.934,9,0.066,7,0.875,1,0.125,27,0.844,5,0.156,29,0.879,4,0.121,61,0.884,8,0.116,20,0.909,2,0.091,134,0.882,18,0.118,7,1
Lincolnshire,2,1,0,0,99,0.846,18,0.154,12,0.923,1,0.077,21,0.875,3,0.125,8,1,0,0,158,0.903,17,0.097,5,1,0,0,26,0.963,1,0.037,44,0.957,2,0.043,60,0.822,13,0.178,43,0.86,7,0.14,178,0.899,20,0.101,7,1
Merseyside,0,-,0,-,370,0.768,112,0.232,32,0.727,12,0.273,47,0.87,7,0.13,16,0.762,5,0.238,424,0.932,31,0.068,26,0.963,1,0.037,70,0.824,15,0.176,313,0.957,14,0.043,170,0.833,34,0.167,138,0.868,21,0.132,260,0.909,26,0.091,30,1
Metropolitan and City,12,0.75,4,0.25,1266,0.698,548,0.302,129,0.648,70,0.352,214,0.764,66,0.236,161,0.756,52,0.244,1206,0.889,150,0.111,190,0.892,23,0.108,311,0.843,58,0.157,1013,0.931,75,0.069,648,0.827,136,0.173,498,0.844,92,0.156,1360,0.759,431,0.241,211,1
Norfolk,0,-,0,-,188,0.803,46,0.197,16,0.842,3,0.158,17,0.85,3,0.15,5,1,0,0,162,0.89,20,0.11,9,1,0,0,56,0.918,5,0.082,63,0.9,7,0.1,121,0.903,13,0.097,17,0.739,6,0.261,110,0.909,11,0.091,10,1
Northamptonshire,1,1,0,0,105,0.778,30,0.222,15,0.75,5,0.25,22,0.815,5,0.185,10,1,0,0,98,0.845,18,0.155,13,0.722,5,0.278,31,0.838,6,0.162,37,0.925,3,0.075,46,0.885,6,0.115,8,0.5,8,0.5,121,0.917,11,0.083,7,1
Northumbria,0,-,0,-,263,0.631,154,0.369,25,0.735,9,0.265,48,0.857,8,0.143,17,0.81,4,0.19,422,0.892,51,0.108,19,0.95,1,0.05,82,0.788,22,0.212,80,0.842,15,0.158,172,0.741,60,0.259,66,0.742,23,0.258,202,0.831,41,0.169,15,1
North Wales,1,1,0,0,146,0.807,35,0.193,7,0.538,6,0.462,20,0.8,5,0.2,2,1,0,0,181,0.928,14,0.072,3,0.75,1,0.25,60,0.938,4,0.063,41,0.976,1,0.024,61,0.924,5,0.076,64,0.865,10,0.135,109,0.858,18,0.142,2,1
North Yorkshire,1,1,0,0,126,0.716,50,0.284,7,0.875,1,0.125,18,0.692,8,0.308,1,0.5,1,0.5,178,0.908,18,0.092,15,0.833,3,0.167,47,0.94,3,0.06,48,0.941,3,0.059,94,0.862,15,0.138,27,0.771,8,0.229,144,0.9,16,0.1,12,1
Nottinghamshire,1,0.5,1,0.5,215,0.694,95,0.306,8,0.667,4,0.333,28,0.903,3,0.097,16,0.762,5,0.238,248,0.908,25,0.092,7,0.875,1,0.125,69,0.793,18,0.207,122,0.953,6,0.047,87,0.845,16,0.155,79,0.832,16,0.168,174,0.87,26,0.13,21,1
South Wales,0,-,0,-,229,0.694,101,0.306,17,0.68,8,0.32,46,0.868,7,0.132,10,0.833,2,0.167,227,0.934,16,0.066,10,1,0,0,70,0.886,9,0.114,136,0.971,4,0.029,124,0.873,18,0.127,29,0.829,6,0.171,958,0.966,34,0.034,20,1
South Yorkshire,1,1,0,0,264,0.729,98,0.271,16,0.842,3,0.158,50,0.877,7,0.123,6,0.6,4,0.4,373,0.923,31,0.077,12,0.667,6,0.333,81,0.827,17,0.173,131,0.956,6,0.044,133,0.899,15,0.101,46,0.902,5,0.098,155,0.856,26,0.144,17,1
Staffordshire,3,1,0,0,199,0.706,83,0.294,15,0.833,3,0.167,21,0.778,6,0.222,10,0.714,4,0.286,185,0.925,15,0.075,11,0.647,6,0.353,49,0.817,11,0.183,71,0.91,7,0.09,106,0.848,19,0.152,38,0.809,9,0.191,115,0.833,23,0.167,10,1
Suffolk,0,-,0,-,145,0.858,24,0.142,9,1,0,0,9,0.692,4,0.308,6,0.6,4,0.4,106,0.972,3,0.028,14,0.824,3,0.176,37,0.902,4,0.098,43,0.977,1,0.023,91,0.91,9,0.09,5,0.5,5,0.5,94,0.895,11,0.105,4,1
Surrey,0,-,0,-,106,0.663,54,0.338,9,0.692,4,0.308,17,0.654,9,0.346,3,0.429,4,0.571,139,0.891,17,0.109,15,0.789,4,0.211,26,0.743,9,0.257,54,0.857,9,0.143,53,0.768,16,0.232,55,0.655,29,0.345,152,0.854,26,0.146,10,1
Sussex,0,-,0,-,214,0.733,78,0.267,25,0.694,11,0.306,25,0.781,7,0.219,15,0.833,3,0.167,242,0.9,27,0.1,19,0.905,2,0.095,53,0.779,15,0.221,106,0.93,8,0.07,84,0.8,21,0.2,107,0.829,22,0.171,197,0.879,27,0.121,11,1
Thames Valley,1,0.25,3,0.75,301,0.717,119,0.283,30,0.732,11,0.268,36,0.837,7,0.163,9,0.6,6,0.4,296,0.908,30,0.092,24,0.857,4,0.143,51,0.864,8,0.136,150,0.943,9,0.057,91,0.813,21,0.188,18,0.9,2,0.1,231,0.84,44,0.16,40,1
Warwickshire,0,-,0,-,56,0.778,16,0.222,6,0.857,1,0.143,12,0.923,1,0.077,1,1,0,0,64,0.955,3,0.045,6,1,0,0,11,1,0,0,23,0.958,1,0.042,25,0.758,8,0.242,20,0.87,3,0.13,86,0.86,14,0.14,2,1
West Mercia,1,1,0,0,155,0.756,50,0.244,13,0.929,1,0.071,23,0.92,2,0.08,6,0.857,1,0.143,202,0.944,12,0.056,10,0.833,2,0.167,49,0.891,6,0.109,50,0.862,8,0.138,74,0.831,15,0.169,30,0.968,1,0.032,201,0.893,24,0.107,2,1
West Midlands,4,1,0,0,502,0.751,166,0.249,41,0.804,10,0.196,85,0.817,19,0.183,71,0.657,37,0.343,532,0.891,65,0.109,44,0.83,9,0.17,100,0.885,13,0.115,174,0.961,7,0.039,151,0.825,32,0.175,150,0.815,34,0.185,292,0.861,47,0.139,17,1
West Yorkshire,5,1,0,0,414,0.711,168,0.289,47,0.58,34,0.42,100,0.813,23,0.187,30,0.732,11,0.268,439,0.896,51,0.104,39,0.929,3,0.071,109,0.865,17,0.135,168,0.894,20,0.106,140,0.791,37,0.209,60,0.857,10,0.143,290,0.822,63,0.178,32,1
Wiltshire,0,-,0,-,85,0.825,18,0.175,16,0.762,5,0.238,11,0.786,3,0.214,4,0.8,1,0.2,95,0.941,6,0.059,5,1,0,0,28,0.824,6,0.176,31,0.939,2,0.061,36,0.878,5,0.122,43,0.896,5,0.104,67,0.931,5,0.069,7,1
