location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,1,1,0,0,83,0.716,33,0.284,9,0.75,3,0.25,20,0.769,6,0.231,6,1,0,0,161,0.904,17,0.096,4,1,0,0,48,0.923,4,0.077,30,0.968,1,0.032,69,0.873,10,0.127,14,0.7,6,0.3,74,0.892,9,0.108,1,1
Dyfed Powys,1,1,0,0,73,0.753,24,0.247,4,0.8,1,0.2,13,0.929,1,0.071,1,1,0,0,64,0.941,4,0.059,12,1,0,0,17,0.773,5,0.227,96,0.97,3,0.03,51,0.895,6,0.105,30,0.938,2,0.063,145,0.863,23,0.137,4,1
Essex,0,-,0,-,324,0.788,87,0.212,12,0.75,4,0.25,33,0.846,6,0.154,3,0.429,4,0.571,257,0.902,28,0.098,19,0.864,3,0.136,58,0.853,10,0.147,79,0.94,5,0.06,59,0.868,9,0.132,86,0.956,4,0.044,220,0.898,25,0.102,23,1
Gloucestershire,0,0,1,1,52,0.722,20,0.278,2,0.667,1,0.333,11,1,0,0,2,0.667,1,0.333,62,0.912,6,0.088,3,1,0,0,16,0.842,3,0.158,34,1,0,0,34,0.944,2,0.056,9,0.9,1,0.1,128,0.889,16,0.111,14,1
GreaterManchester,0,0,2,1,505,0.808,120,0.192,38,0.603,25,0.397,86,0.887,11,0.113,32,0.865,5,0.135,485,0.929,37,0.071,23,0.885,3,0.115,157,0.902,17,0.098,235,0.959,10,0.041,235,0.9,26,0.1,146,0.854,25,0.146,1160,0.957,52,0.043,22,1
Gwent,0,-,0,-,83,0.634,48,0.366,10,0.526,9,0.474,26,0.929,2,0.071,12,0.75,4,0.25,103,0.928,8,0.072,11,0.786,3,0.214,41,0.837,8,0.163,58,0.906,6,0.094,89,0.832,18,0.168,24,0.96,1,0.04,80,0.762,25,0.238,4,1
Hampshire,0,0,1,1,234,0.727,88,0.273,22,0.629,13,0.371,39,0.848,7,0.152,8,0.571,6,0.429,286,0.908,29,0.092,16,0.889,2,0.111,60,0.759,19,0.241,132,0.91,13,0.09,99,0.853,17,0.147,201,0.897,23,0.103,187,0.878,26,0.122,23,1
Hertfordshire,2,1,0,0,99,0.773,29,0.227,2,0.5,2,0.5,15,0.833,3,0.167,0,0,0,0,106,0.906,11,0.094,14,0.778,4,0.222,25,0.758,8,0.242,76,0.938,5,0.062,32,0.78,9,0.22,8,0.667,4,0.333,68,0.84,13,0.16,12,1
Humberside,1,1,0,0,188,0.832,38,0.168,23,0.719,9,0.281,37,0.925,3,0.075,7,0.636,4,0.364,260,0.949,14,0.051,3,1,0,0,49,0.925,4,0.075,75,0.962,3,0.038,87,0.861,14,0.139,39,0.867,6,0.133,265,0.943,16,0.057,16,1
Kent,2,0.667,1,0.333,200,0.68,94,0.32,14,0.737,5,0.263,43,0.896,5,0.104,7,0.875,1,0.125,359,0.861,58,0.139,13,0.722,5,0.278,67,0.761,21,0.239,113,0.934,8,0.066,55,0.775,16,0.225,203,0.839,39,0.161,137,0.761,43,0.239,35,1
Lancashire,2,1,0,0,340,0.771,101,0.229,24,0.706,10,0.294,60,0.882,8,0.118,24,1,0,0,396,0.925,32,0.075,15,0.882,2,0.118,97,0.829,20,0.171,118,0.922,10,0.078,174,0.935,12,0.065,103,0.844,19,0.156,254,0.879,35,0.121,29,1
Leicestershire,2,1,0,0,152,0.792,40,0.208,17,0.85,3,0.15,10,0.714,4,0.286,6,0.857,1,0.143,183,0.897,21,0.103,6,1,0,0,33,0.786,9,0.214,32,0.865,5,0.135,38,0.826,8,0.174,16,0.889,2,0.111,354,0.954,17,0.046,35,1
Lincolnshire,0,-,0,-,89,0.781,25,0.219,11,0.846,2,0.154,24,0.774,7,0.226,2,1,0,0,103,0.945,6,0.055,9,0.9,1,0.1,21,0.913,2,0.087,26,0.929,2,0.071,57,0.851,10,0.149,18,0.818,4,0.182,107,0.817,24,0.183,14,1
Merseyside,4,0.8,1,0.2,242,0.786,66,0.214,25,0.893,3,0.107,48,0.906,5,0.094,22,0.815,5,0.185,329,0.959,14,0.041,53,0.981,1,0.019,55,0.887,7,0.113,333,0.96,14,0.04,112,0.842,21,0.158,120,0.839,23,0.161,474,0.937,32,0.063,25,1
Metropolitan and City,20,0.769,6,0.231,1331,0.693,589,0.307,114,0.597,77,0.403,246,0.786,67,0.214,173,0.759,55,0.241,1426,0.897,164,0.103,232,0.903,25,0.097,346,0.81,81,0.19,1054,0.93,79,0.07,630,0.808,150,0.192,452,0.786,123,0.214,1642,0.795,423,0.205,194,1
Norfolk,0,-,0,-,143,0.777,41,0.223,10,0.833,2,0.167,22,0.88,3,0.12,7,1,0,0,132,0.93,10,0.07,13,0.929,1,0.071,42,0.933,3,0.067,63,0.969,2,0.031,70,0.897,8,0.103,57,0.934,4,0.066,86,0.878,12,0.122,8,1
Northamptonshire,1,1,0,0,83,0.728,31,0.272,6,0.667,3,0.333,21,0.913,2,0.087,4,0.667,2,0.333,102,0.887,13,0.113,3,0.6,2,0.4,24,0.75,8,0.25,46,0.92,4,0.08,38,0.844,7,0.156,26,0.813,6,0.188,100,0.926,8,0.074,27,1
Northumbria,0,-,0,-,267,0.746,91,0.254,15,0.789,4,0.211,56,0.812,13,0.188,17,0.81,4,0.19,462,0.89,57,0.11,16,0.667,8,0.333,84,0.848,15,0.152,109,0.886,14,0.114,160,0.851,28,0.149,229,0.806,55,0.194,382,0.901,42,0.099,9,1
North Wales,2,0.667,1,0.333,106,0.752,35,0.248,9,0.643,5,0.357,29,0.906,3,0.094,4,0.8,1,0.2,145,0.929,11,0.071,8,1,0,0,42,0.955,2,0.045,32,0.914,3,0.086,37,0.86,6,0.14,79,0.868,12,0.132,168,0.898,19,0.102,4,1
North Yorkshire,1,1,0,0,101,0.754,33,0.246,3,1,0,0,20,0.714,8,0.286,0,0,0,0,115,0.927,9,0.073,9,0.818,2,0.182,28,0.933,2,0.067,41,0.932,3,0.068,68,0.85,12,0.15,28,0.933,2,0.067,129,0.935,9,0.065,7,1
Nottinghamshire,1,1,0,0,193,0.785,53,0.215,12,0.75,4,0.25,29,0.879,4,0.121,17,0.944,1,0.056,216,0.904,23,0.096,22,0.957,1,0.043,44,0.8,11,0.2,89,0.937,6,0.063,73,0.768,22,0.232,97,0.89,12,0.11,157,0.918,14,0.082,12,1
South Wales,1,1,0,0,291,0.782,81,0.218,17,0.739,6,0.261,46,0.939,3,0.061,15,0.714,6,0.286,312,0.969,10,0.031,11,0.917,1,0.083,78,0.963,3,0.037,161,0.988,2,0.012,170,0.89,21,0.11,85,0.904,9,0.096,1198,0.94,77,0.06,9,1
South Yorkshire,3,1,0,0,232,0.766,71,0.234,7,0.7,3,0.3,40,0.851,7,0.149,6,0.75,2,0.25,329,0.924,27,0.076,17,0.81,4,0.19,83,0.912,8,0.088,109,0.932,8,0.068,89,0.918,8,0.082,44,0.83,9,0.17,281,0.912,27,0.088,12,1
Staffordshire,0,-,0,-,132,0.653,70,0.347,17,0.81,4,0.19,19,0.792,5,0.208,19,0.864,3,0.136,203,0.902,22,0.098,5,0.714,2,0.286,68,0.861,11,0.139,78,0.907,8,0.093,95,0.798,24,0.202,43,0.878,6,0.122,521,0.932,38,0.068,8,1
Suffolk,0,0,1,1,133,0.831,27,0.169,7,0.778,2,0.222,17,0.895,2,0.105,0,0,0,0,108,0.956,5,0.044,13,0.929,1,0.071,43,0.915,4,0.085,45,1,0,0,53,0.828,11,0.172,38,1,0,0,64,0.865,10,0.135,11,1
Surrey,0,-,0,-,108,0.735,39,0.265,17,0.81,4,0.19,21,0.955,1,0.045,1,1,0,0,140,0.927,11,0.073,10,0.833,2,0.167,27,0.9,3,0.1,78,0.975,2,0.025,16,0.696,7,0.304,68,0.782,19,0.218,116,0.899,13,0.101,21,1
Sussex,0,-,0,-,191,0.718,75,0.282,24,0.8,6,0.2,23,0.821,5,0.179,4,0.667,2,0.333,210,0.925,17,0.075,16,0.8,4,0.2,48,0.828,10,0.172,104,0.972,3,0.028,67,0.817,15,0.183,76,0.697,33,0.303,288,0.929,22,0.071,13,1
Thames Valley,3,1,0,0,231,0.666,116,0.334,29,0.806,7,0.194,43,0.915,4,0.085,16,0.842,3,0.158,274,0.878,38,0.122,18,0.6,12,0.4,61,0.859,10,0.141,114,0.927,9,0.073,82,0.766,25,0.234,44,0.759,14,0.241,699,0.942,43,0.058,29,1
Warwickshire,0,-,0,-,43,0.768,13,0.232,3,1,0,0,6,0.545,5,0.455,2,0.5,2,0.5,75,0.962,3,0.038,8,0.889,1,0.111,17,1,0,0,11,0.917,1,0.083,20,0.952,1,0.048,24,0.96,1,0.04,225,0.915,21,0.085,3,1
West Mercia,4,0.8,1,0.2,130,0.778,37,0.222,19,0.731,7,0.269,26,0.929,2,0.071,11,0.688,5,0.313,158,0.952,8,0.048,7,0.875,1,0.125,45,0.9,5,0.1,48,0.98,1,0.02,80,0.842,15,0.158,28,0.848,5,0.152,268,0.89,33,0.11,7,1
West Midlands,6,1,0,0,419,0.687,191,0.313,26,0.703,11,0.297,72,0.766,22,0.234,50,0.758,16,0.242,563,0.923,47,0.077,22,0.846,4,0.154,116,0.806,28,0.194,236,0.933,17,0.067,106,0.797,27,0.203,243,0.871,36,0.129,357,0.881,48,0.119,40,1
West Yorkshire,2,0.5,2,0.5,379,0.763,118,0.237,23,0.676,11,0.324,103,0.88,14,0.12,21,0.875,3,0.125,458,0.914,43,0.086,31,0.861,5,0.139,112,0.836,22,0.164,143,0.929,11,0.071,152,0.809,36,0.191,71,0.826,15,0.174,291,0.846,53,0.154,32,1
Wiltshire,0,-,0,-,81,0.827,17,0.173,5,0.833,1,0.167,11,1,0,0,0,0,3,1,63,0.926,5,0.074,4,0.667,2,0.333,24,0.96,1,0.04,32,0.941,2,0.059,21,0.955,1,0.045,41,0.804,10,0.196,76,0.864,12,0.136,5,1
