location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,120,0.828,25,0.172,13,0.813,3,0.188,21,0.808,5,0.192,5,0.833,1,0.167,167,0.908,17,0.092,9,0.75,3,0.25,36,0.72,14,0.28,34,0.944,2,0.056,67,0.859,11,0.141,16,0.842,3,0.158,76,0.916,7,0.084,3,1
Dyfed Powys,0,-,0,-,72,0.766,22,0.234,9,0.9,1,0.1,16,0.8,4,0.2,0,0,0,0,57,0.934,4,0.066,3,1,0,0,28,0.824,6,0.176,84,0.977,2,0.023,54,0.844,10,0.156,33,0.917,3,0.083,209,0.905,22,0.095,1,1
Essex,0,-,0,-,293,0.825,62,0.175,24,0.632,14,0.368,46,0.868,7,0.132,9,0.692,4,0.308,259,0.952,13,0.048,26,0.929,2,0.071,78,0.857,13,0.143,86,0.956,4,0.044,84,0.884,11,0.116,61,0.836,12,0.164,201,0.914,19,0.086,13,1
Gloucestershire,1,1,0,0,81,0.802,20,0.198,5,1,0,0,15,0.882,2,0.118,1,1,0,0,101,0.91,10,0.09,8,1,0,0,18,0.818,4,0.182,44,0.936,3,0.064,17,0.895,2,0.105,24,0.889,3,0.111,73,0.89,9,0.11,21,1
GreaterManchester,3,1,0,0,668,0.788,180,0.212,64,0.744,22,0.256,96,0.842,18,0.158,26,0.867,4,0.133,513,0.936,35,0.064,34,1,0,0,211,0.913,20,0.087,218,0.94,14,0.06,307,0.898,35,0.102,125,0.845,23,0.155,386,0.896,45,0.104,52,1
Gwent,1,1,0,0,97,0.829,20,0.171,10,0.714,4,0.286,26,0.897,3,0.103,5,0.714,2,0.286,117,0.944,7,0.056,6,0.857,1,0.143,56,0.862,9,0.138,51,0.927,4,0.073,69,0.821,15,0.179,19,0.864,3,0.136,81,0.827,17,0.173,3,1
Hampshire,4,0.667,2,0.333,350,0.734,127,0.266,28,0.778,8,0.222,35,0.761,11,0.239,21,0.724,8,0.276,336,0.896,39,0.104,18,0.667,9,0.333,104,0.832,21,0.168,138,0.965,5,0.035,100,0.806,24,0.194,73,0.82,16,0.18,277,0.874,40,0.126,26,1
Hertfordshire,1,0.5,1,0.5,147,0.808,35,0.192,8,0.571,6,0.429,33,0.786,9,0.214,5,0.714,2,0.286,152,0.899,17,0.101,32,0.667,16,0.333,32,0.78,9,0.22,75,0.949,4,0.051,58,0.806,14,0.194,19,0.826,4,0.174,140,0.848,25,0.152,11,1
Humberside,1,1,0,0,236,0.877,33,0.123,29,0.744,10,0.256,35,0.946,2,0.054,10,0.909,1,0.091,290,0.906,30,0.094,22,0.846,4,0.154,54,0.871,8,0.129,80,0.952,4,0.048,138,0.952,7,0.048,25,0.893,3,0.107,119,0.869,18,0.131,12,1
Kent,4,0.667,2,0.333,240,0.755,78,0.245,28,0.778,8,0.222,51,0.864,8,0.136,12,0.857,2,0.143,331,0.887,42,0.113,23,0.852,4,0.148,98,0.875,14,0.125,135,0.964,5,0.036,79,0.814,18,0.186,123,0.774,36,0.226,190,0.88,26,0.12,32,1
Lancashire,3,1,0,0,341,0.748,115,0.252,33,0.623,20,0.377,50,0.781,14,0.219,24,1,0,0,414,0.965,15,0.035,16,0.941,1,0.059,114,0.809,27,0.191,130,0.956,6,0.044,224,0.922,19,0.078,138,0.879,19,0.121,249,0.819,55,0.181,16,1
Leicestershire,0,-,0,-,163,0.832,33,0.168,11,0.917,1,0.083,24,0.75,8,0.25,6,1,0,0,160,0.914,15,0.086,17,0.81,4,0.19,36,0.9,4,0.1,39,1,0,0,60,0.857,10,0.143,13,0.813,3,0.188,122,0.871,18,0.129,8,1
Lincolnshire,3,1,0,0,125,0.714,50,0.286,11,0.786,3,0.214,19,0.905,2,0.095,5,0.625,3,0.375,155,0.912,15,0.088,10,0.909,1,0.091,28,0.8,7,0.2,49,0.961,2,0.039,71,0.877,10,0.123,16,0.667,8,0.333,154,0.832,31,0.168,11,1
Merseyside,9,1,0,0,223,0.761,70,0.239,27,0.871,4,0.129,33,0.846,6,0.154,17,0.85,3,0.15,328,0.937,22,0.063,15,0.882,2,0.118,59,0.797,15,0.203,314,0.946,18,0.054,123,0.848,22,0.152,162,0.91,16,0.09,215,0.86,35,0.14,19,1
Metropolitan and City,10,0.526,9,0.474,1322,0.687,601,0.313,141,0.635,81,0.365,262,0.834,52,0.166,209,0.774,61,0.226,1411,0.901,155,0.099,206,0.824,44,0.176,312,0.864,49,0.136,1115,0.937,75,0.063,724,0.853,125,0.147,551,0.824,118,0.176,1464,0.784,404,0.216,174,1
Norfolk,2,0.5,2,0.5,196,0.76,62,0.24,10,0.769,3,0.231,14,0.737,5,0.263,8,0.889,1,0.111,138,0.879,19,0.121,7,0.875,1,0.125,38,0.826,8,0.174,80,1,0,0,113,0.904,12,0.096,15,0.75,5,0.25,103,0.88,14,0.12,7,1
Northamptonshire,0,-,0,-,117,0.692,52,0.308,8,0.727,3,0.273,15,0.652,8,0.348,8,0.8,2,0.2,106,0.848,19,0.152,9,0.643,5,0.357,20,0.667,10,0.333,37,0.925,3,0.075,39,0.796,10,0.204,15,0.882,2,0.118,131,0.929,10,0.071,7,1
Northumbria,1,1,0,0,293,0.696,128,0.304,34,0.829,7,0.171,70,0.875,10,0.125,17,0.773,5,0.227,473,0.889,59,0.111,29,0.829,6,0.171,106,0.752,35,0.248,125,0.868,19,0.132,159,0.746,54,0.254,147,0.86,24,0.14,235,0.855,40,0.145,17,1
North Wales,1,1,0,0,96,0.711,39,0.289,12,0.545,10,0.455,18,0.783,5,0.217,5,0.556,4,0.444,165,0.965,6,0.035,7,0.875,1,0.125,41,0.953,2,0.047,30,0.968,1,0.032,57,0.934,4,0.066,99,0.884,13,0.116,100,0.893,12,0.107,11,1
North Yorkshire,2,1,0,0,125,0.828,26,0.172,7,1,0,0,23,0.958,1,0.042,3,0.6,2,0.4,142,0.866,22,0.134,8,1,0,0,29,0.829,6,0.171,48,0.906,5,0.094,106,0.914,10,0.086,34,0.895,4,0.105,108,0.871,16,0.129,7,1
Nottinghamshire,7,0.875,1,0.125,253,0.731,93,0.269,23,0.719,9,0.281,35,0.833,7,0.167,26,0.867,4,0.133,256,0.898,29,0.102,11,0.846,2,0.154,48,0.716,19,0.284,140,0.909,14,0.091,91,0.875,13,0.125,45,0.789,12,0.211,161,0.885,21,0.115,31,1
South Wales,1,1,0,0,310,0.711,126,0.289,16,0.533,14,0.467,46,0.939,3,0.061,7,0.467,8,0.533,334,0.952,17,0.048,8,0.889,1,0.111,95,0.864,15,0.136,177,0.962,7,0.038,218,0.908,22,0.092,56,0.812,13,0.188,1231,0.953,61,0.047,9,1
South Yorkshire,4,1,0,0,266,0.743,92,0.257,14,0.824,3,0.176,49,0.754,16,0.246,18,0.783,5,0.217,432,0.925,35,0.075,21,0.955,1,0.045,63,0.829,13,0.171,170,0.977,4,0.023,80,0.842,15,0.158,47,0.887,6,0.113,164,0.937,11,0.063,16,1
Staffordshire,1,1,0,0,188,0.707,78,0.293,12,0.8,3,0.2,29,0.829,6,0.171,4,0.5,4,0.5,185,0.916,17,0.084,9,0.9,1,0.1,35,0.714,14,0.286,66,0.957,3,0.043,103,0.851,18,0.149,40,0.833,8,0.167,118,0.787,32,0.213,7,1
Suffolk,1,1,0,0,158,0.863,25,0.137,8,0.889,1,0.111,16,0.941,1,0.059,5,0.833,1,0.167,116,0.943,7,0.057,12,1,0,0,35,0.946,2,0.054,54,0.964,2,0.036,63,0.926,5,0.074,8,0.667,4,0.333,93,0.894,11,0.106,6,1
Surrey,0,-,0,-,115,0.642,64,0.358,12,0.75,4,0.25,23,1,0,0,7,0.875,1,0.125,129,0.872,19,0.128,17,0.944,1,0.056,29,0.763,9,0.237,72,0.9,8,0.1,50,0.862,8,0.138,50,0.694,22,0.306,120,0.784,33,0.216,23,1
Sussex,0,-,0,-,250,0.751,83,0.249,23,0.605,15,0.395,37,0.86,6,0.14,10,0.833,2,0.167,281,0.94,18,0.06,13,1,0,0,44,0.733,16,0.267,95,0.95,5,0.05,83,0.806,20,0.194,109,0.807,26,0.193,232,0.862,37,0.138,17,1
Thames Valley,3,1,0,0,252,0.649,136,0.351,23,0.639,13,0.361,44,0.815,10,0.185,11,0.579,8,0.421,332,0.927,26,0.073,15,0.833,3,0.167,80,0.92,7,0.08,145,0.935,10,0.065,149,0.856,25,0.144,33,0.825,7,0.175,297,0.868,45,0.132,53,1
Warwickshire,0,-,0,-,63,0.797,16,0.203,9,0.692,4,0.308,16,0.842,3,0.158,0,0,0,0,92,0.958,4,0.042,7,1,0,0,16,1,0,0,28,0.966,1,0.034,20,0.69,9,0.31,15,0.75,5,0.25,76,0.817,17,0.183,3,1
West Mercia,0,-,0,-,158,0.76,50,0.24,27,0.844,5,0.156,30,0.857,5,0.143,16,0.8,4,0.2,185,0.92,16,0.08,9,0.9,1,0.1,52,0.929,4,0.071,60,0.923,5,0.077,86,0.869,13,0.131,33,0.971,1,0.029,189,0.859,31,0.141,3,1
West Midlands,2,0.333,4,0.667,478,0.702,203,0.298,42,0.656,22,0.344,101,0.795,26,0.205,58,0.69,26,0.31,636,0.888,80,0.112,26,0.788,7,0.212,128,0.842,24,0.158,233,0.907,24,0.093,165,0.797,42,0.203,211,0.824,45,0.176,326,0.789,87,0.211,14,1
West Yorkshire,6,0.6,4,0.4,394,0.764,122,0.236,45,0.662,23,0.338,84,0.923,7,0.077,20,0.952,1,0.048,460,0.9,51,0.1,27,0.75,9,0.25,111,0.854,19,0.146,182,0.91,18,0.09,195,0.899,22,0.101,57,0.792,15,0.208,287,0.857,48,0.143,32,1
Wiltshire,0,-,0,-,93,0.769,28,0.231,7,0.778,2,0.222,7,1,0,0,10,0.909,1,0.091,78,0.886,10,0.114,4,1,0,0,37,0.86,6,0.14,51,0.962,2,0.038,26,0.867,4,0.133,30,0.811,7,0.189,91,0.892,11,0.108,7,1
