location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,1,1,0,0,77,0.811,18,0.189,5,0.625,3,0.375,9,0.9,1,0.1,0,0,0,0,70,0.909,7,0.091,6,0.75,2,0.25,28,0.8,7,0.2,103,0.972,3,0.028,56,0.903,6,0.097,4,1,0,0,75,0.872,11,0.128,4,1
Essex,2,1,0,0,326,0.797,83,0.203,32,0.653,17,0.347,44,0.88,6,0.12,7,0.538,6,0.462,279,0.946,16,0.054,23,0.92,2,0.08,55,0.809,13,0.191,89,0.947,5,0.053,97,0.933,7,0.067,38,0.826,8,0.174,231,0.856,39,0.144,31,1
Gloucestershire,1,1,0,0,61,0.792,16,0.208,4,0.667,2,0.333,12,0.923,1,0.077,0,0,0,0,103,0.92,9,0.08,8,0.889,1,0.111,23,0.958,1,0.042,38,0.974,1,0.026,30,0.938,2,0.063,20,0.769,6,0.231,58,0.921,5,0.079,8,1
GreaterManchester,4,1,0,0,660,0.789,176,0.211,56,0.718,22,0.282,83,0.883,11,0.117,17,0.895,2,0.105,446,0.929,34,0.071,59,0.855,10,0.145,148,0.902,16,0.098,165,0.954,8,0.046,290,0.884,38,0.116,66,0.75,22,0.25,420,0.866,65,0.134,37,1
Gwent,3,1,0,0,114,0.797,29,0.203,7,0.778,2,0.222,17,0.773,5,0.227,3,0.6,2,0.4,116,0.943,7,0.057,8,1,0,0,44,0.898,5,0.102,58,0.935,4,0.065,62,0.899,7,0.101,2,0.5,2,0.5,86,0.878,12,0.122,9,1
Hampshire,0,-,0,-,348,0.787,94,0.213,38,0.792,10,0.208,29,0.879,4,0.121,10,1,0,0,318,0.896,37,0.104,29,0.853,5,0.147,71,0.899,8,0.101,126,0.92,11,0.08,126,0.851,22,0.149,21,0.808,5,0.192,262,0.856,44,0.144,35,1
Hertfordshire,0,-,0,-,186,0.759,59,0.241,9,0.9,1,0.1,19,0.679,9,0.321,11,0.688,5,0.313,159,0.909,16,0.091,23,0.821,5,0.179,43,0.86,7,0.14,81,0.91,8,0.09,62,0.873,9,0.127,11,0.688,5,0.313,167,0.865,26,0.135,15,1
Humberside,1,0.25,3,0.75,193,0.839,37,0.161,42,0.808,10,0.192,22,0.786,6,0.214,5,0.833,1,0.167,222,0.945,13,0.055,16,0.889,2,0.111,50,0.806,12,0.194,67,0.971,2,0.029,99,0.892,12,0.108,22,0.917,2,0.083,133,0.875,19,0.125,9,1
Kent,2,1,0,0,231,0.702,98,0.298,25,0.758,8,0.242,37,0.881,5,0.119,10,0.833,2,0.167,257,0.868,39,0.132,13,0.722,5,0.278,71,0.763,22,0.237,105,0.938,7,0.063,82,0.804,20,0.196,69,0.75,23,0.25,192,0.835,38,0.165,49,1
Lancashire,0,-,0,-,283,0.784,78,0.216,29,0.853,5,0.147,73,0.811,17,0.189,33,0.868,5,0.132,243,0.931,18,0.069,22,0.846,4,0.154,95,0.856,16,0.144,106,0.972,3,0.028,156,0.886,20,0.114,89,0.881,12,0.119,270,0.891,33,0.109,16,1
Leicestershire,1,1,0,0,160,0.773,47,0.227,20,0.833,4,0.167,21,0.778,6,0.222,11,0.846,2,0.154,195,0.929,15,0.071,14,0.778,4,0.222,35,0.875,5,0.125,39,0.907,4,0.093,56,0.889,7,0.111,25,0.862,4,0.138,122,0.865,19,0.135,3,1
Lincolnshire,1,1,0,0,98,0.81,23,0.19,6,0.857,1,0.143,20,0.909,2,0.091,5,1,0,0,145,0.924,12,0.076,3,0.75,1,0.25,28,0.933,2,0.067,29,0.935,2,0.065,64,0.928,5,0.072,8,0.615,5,0.385,133,0.899,15,0.101,7,1
Merseyside,3,1,0,0,284,0.751,94,0.249,26,0.839,5,0.161,46,0.979,1,0.021,22,0.815,5,0.185,276,0.932,20,0.068,13,0.867,2,0.133,66,0.786,18,0.214,265,0.953,13,0.047,126,0.913,12,0.087,97,0.829,20,0.171,200,0.922,17,0.078,23,1
Metropolitan and City,9,0.5,9,0.5,1382,0.676,662,0.324,130,0.674,63,0.326,228,0.789,61,0.211,134,0.691,60,0.309,1210,0.894,143,0.106,203,0.799,51,0.201,309,0.84,59,0.16,1040,0.932,76,0.068,568,0.824,121,0.176,478,0.799,120,0.201,1238,0.785,339,0.215,211,1
Norfolk,0,-,0,-,205,0.788,55,0.212,11,0.846,2,0.154,12,0.923,1,0.077,3,1,0,0,149,0.876,21,0.124,11,0.786,3,0.214,57,0.851,10,0.149,71,1,0,0,92,0.885,12,0.115,13,0.565,10,0.435,115,0.865,18,0.135,11,1
Northamptonshire,0,-,0,-,90,0.643,50,0.357,13,0.813,3,0.188,10,0.714,4,0.286,5,0.556,4,0.444,117,0.914,11,0.086,4,0.8,1,0.2,14,0.583,10,0.417,47,0.922,4,0.078,41,0.854,7,0.146,10,0.769,3,0.231,88,0.854,15,0.146,10,1
Northumbria,2,1,0,0,255,0.675,123,0.325,17,0.607,11,0.393,34,0.895,4,0.105,4,0.8,1,0.2,439,0.876,62,0.124,20,0.909,2,0.091,100,0.775,29,0.225,94,0.847,17,0.153,195,0.823,42,0.177,61,0.678,29,0.322,186,0.713,75,0.287,24,1
North Wales,0,-,0,-,137,0.774,40,0.226,14,0.667,7,0.333,17,0.944,1,0.056,3,1,0,0,133,0.957,6,0.043,6,1,0,0,50,0.943,3,0.057,26,0.963,1,0.037,94,0.959,4,0.041,13,0.867,2,0.133,110,0.924,9,0.076,2,1
North Yorkshire,1,1,0,0,110,0.815,25,0.185,7,1,0,0,8,0.615,5,0.385,2,1,0,0,129,0.902,14,0.098,8,1,0,0,32,0.865,5,0.135,33,0.943,2,0.057,78,0.876,11,0.124,18,0.72,7,0.28,110,0.909,11,0.091,8,1
Nottinghamshire,0,-,0,-,237,0.798,60,0.202,14,0.824,3,0.176,29,0.806,7,0.194,4,0.333,8,0.667,235,0.929,18,0.071,12,0.923,1,0.077,60,0.882,8,0.118,98,0.951,5,0.049,64,0.821,14,0.179,38,0.826,8,0.174,151,0.888,19,0.112,19,1
South Wales,0,-,0,-,326,0.733,119,0.267,18,0.692,8,0.308,60,0.923,5,0.077,8,1,0,0,305,0.941,19,0.059,16,0.889,2,0.111,100,0.862,16,0.138,198,0.961,8,0.039,217,0.835,43,0.165,13,0.813,3,0.188,771,0.928,60,0.072,26,1
South Yorkshire,2,1,0,0,204,0.708,84,0.292,7,0.7,3,0.3,32,0.78,9,0.22,12,0.923,1,0.077,346,0.972,10,0.028,9,1,0,0,66,0.917,6,0.083,103,0.928,8,0.072,115,0.943,7,0.057,49,0.891,6,0.109,166,0.892,20,0.108,23,1
Staffordshire,0,-,0,-,181,0.721,70,0.279,16,0.696,7,0.304,30,0.789,8,0.211,6,0.667,3,0.333,198,0.904,21,0.096,12,0.923,1,0.077,45,0.882,6,0.118,71,0.855,12,0.145,71,0.74,25,0.26,37,0.925,3,0.075,146,0.816,33,0.184,3,1
Suffolk,1,1,0,0,158,0.873,23,0.127,9,0.643,5,0.357,11,0.846,2,0.154,4,1,0,0,98,0.951,5,0.049,6,1,0,0,33,0.846,6,0.154,43,0.956,2,0.044,57,0.891,7,0.109,14,0.933,1,0.067,96,0.857,16,0.143,4,1
Surrey,0,-,0,-,117,0.718,46,0.282,6,0.429,8,0.571,24,0.889,3,0.111,3,1,0,0,99,0.846,18,0.154,6,0.667,3,0.333,25,0.781,7,0.219,52,0.981,1,0.019,44,0.898,5,0.102,41,0.672,20,0.328,160,0.894,19,0.106,11,1
Sussex,0,-,0,-,206,0.736,74,0.264,22,0.667,11,0.333,21,0.808,5,0.192,6,1,0,0,243,0.935,17,0.065,19,0.95,1,0.05,56,0.862,9,0.138,111,0.925,9,0.075,65,0.765,20,0.235,60,0.723,23,0.277,231,0.906,24,0.094,48,1
Thames Valley,0,-,0,-,334,0.697,145,0.303,32,0.604,21,0.396,29,0.725,11,0.275,17,0.773,5,0.227,319,0.904,34,0.096,28,0.966,1,0.034,62,0.849,11,0.151,145,0.924,12,0.076,138,0.821,30,0.179,20,0.69,9,0.31,296,0.853,51,0.147,30,1
Warwickshire,0,-,0,-,59,0.808,14,0.192,3,1,0,0,10,0.714,4,0.286,5,0.714,2,0.286,64,0.877,9,0.123,1,1,0,0,28,0.933,2,0.067,14,0.933,1,0.067,24,0.857,4,0.143,26,0.839,5,0.161,81,0.786,22,0.214,3,1
West Mercia,1,1,0,0,172,0.741,60,0.259,27,0.794,7,0.206,17,0.944,1,0.056,7,1,0,0,167,0.923,14,0.077,4,0.8,1,0.2,31,0.838,6,0.162,62,0.969,2,0.031,82,0.863,13,0.137,34,0.919,3,0.081,164,0.882,22,0.118,1,1
West Midlands,1,0.5,1,0.5,500,0.72,194,0.28,35,0.729,13,0.271,95,0.76,30,0.24,49,0.778,14,0.222,567,0.909,57,0.091,27,0.844,5,0.156,117,0.842,22,0.158,187,0.89,23,0.11,159,0.859,26,0.141,128,0.853,22,0.147,349,0.839,67,0.161,53,1
West Yorkshire,7,1,0,0,417,0.755,135,0.245,55,0.743,19,0.257,123,0.925,10,0.075,32,0.941,2,0.059,395,0.906,41,0.094,27,0.794,7,0.206,109,0.79,29,0.21,106,0.93,8,0.07,140,0.795,36,0.205,58,0.841,11,0.159,314,0.783,87,0.217,25,1
Wiltshire,0,-,0,-,101,0.863,16,0.137,4,0.8,1,0.2,6,1,0,0,2,1,0,0,88,0.917,8,0.083,4,0.8,1,0.2,21,0.875,3,0.125,20,0.952,1,0.048,33,0.75,11,0.25,5,1,0,0,63,0.887,8,0.113,6,1
