location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,49,0.778,14,0.222,9627,0.748,3235,0.252,859,0.73,317,0.27,1405,0.832,283,0.168,495,0.773,145,0.227,9751,0.912,938,0.088,761,0.848,136,0.152,2489,0.848,446,0.152,4370,0.937,293,0.063,4211,0.851,739,0.149,1934,0.804,471,0.196,8408,0.854,1439,0.146,904,1
Avon and Somerset,0,-,0,-,262,0.794,68,0.206,29,0.69,13,0.31,26,0.839,5,0.161,12,1,0,0,290,0.921,25,0.079,25,0.862,4,0.138,89,0.918,8,0.082,105,0.929,8,0.071,124,0.827,26,0.173,90,0.833,18,0.167,242,0.804,59,0.196,45,1
Bedfordshire,1,1,0,0,105,0.745,36,0.255,11,0.846,2,0.154,9,0.75,3,0.25,2,1,0,0,110,0.833,22,0.167,5,1,0,0,20,0.714,8,0.286,33,0.917,3,0.083,28,0.875,4,0.125,12,0.857,2,0.143,84,0.824,18,0.176,14,1
Cambridgeshire,0,-,0,-,94,0.887,12,0.113,6,1,0,0,2,0.5,2,0.5,1,0.167,5,0.833,88,0.926,7,0.074,5,1,0,0,21,0.75,7,0.25,48,0.96,2,0.04,32,0.889,4,0.111,6,0.6,4,0.4,64,0.928,5,0.072,10,1
Cheshire,1,1,0,0,195,0.826,41,0.174,19,0.905,2,0.095,27,0.964,1,0.036,8,0.889,1,0.111,179,0.904,19,0.096,18,0.72,7,0.28,40,0.93,3,0.07,80,0.952,4,0.048,74,0.871,11,0.129,46,0.836,9,0.164,140,0.892,17,0.108,11,1
Cleveland,1,1,0,0,130,0.793,34,0.207,6,0.667,3,0.333,29,0.763,9,0.237,6,0.857,1,0.143,283,0.913,27,0.087,7,0.778,2,0.222,38,0.745,13,0.255,79,0.975,2,0.025,96,0.711,39,0.289,11,0.611,7,0.389,69,0.863,11,0.138,5,1
Cumbria,0,0,1,1,97,0.866,15,0.134,9,0.9,1,0.1,7,1,0,0,0,0,1,1,101,0.918,9,0.082,11,1,0,0,32,0.889,4,0.111,37,1,0,0,35,0.795,9,0.205,58,0.866,9,0.134,102,0.85,18,0.15,7,1
Derbyshire,1,1,0,0,153,0.75,51,0.25,12,0.667,6,0.333,20,0.8,5,0.2,7,0.583,5,0.417,157,0.94,10,0.06,6,1,0,0,47,0.839,9,0.161,69,0.92,6,0.08,63,0.875,9,0.125,27,0.75,9,0.25,120,0.923,10,0.077,20,1
Devon and Cornwall,1,1,0,0,165,0.743,57,0.257,14,0.875,2,0.125,25,0.893,3,0.107,8,1,0,0,151,0.873,22,0.127,6,1,0,0,52,0.881,7,0.119,67,0.971,2,0.029,78,0.813,18,0.188,75,0.862,12,0.138,222,0.91,22,0.09,15,1
Dorset,0,-,0,-,96,0.706,40,0.294,7,0.778,2,0.222,10,0.667,5,0.333,8,0.889,1,0.111,124,0.969,4,0.031,6,1,0,0,23,0.821,5,0.179,32,0.97,1,0.03,43,0.915,4,0.085,13,1,0,0,81,0.871,12,0.129,8,1
Durham,1,1,0,0,118,0.776,34,0.224,7,0.636,4,0.364,22,0.815,5,0.185,3,0.75,1,0.25,138,0.863,22,0.138,12,1,0,0,55,0.948,3,0.052,28,0.933,2,0.067,55,0.846,10,0.154,8,0.8,2,0.2,100,0.917,9,0.083,5,1
