location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,84,0.778,24,0.222,14,0.824,3,0.176,17,0.85,3,0.15,3,1,0,0,153,0.916,14,0.084,1,0.5,1,0.5,35,0.875,5,0.125,29,0.935,2,0.065,62,0.886,8,0.114,22,0.815,5,0.185,80,0.92,7,0.08,1,1
Dyfed Powys,0,-,0,-,66,0.805,16,0.195,3,1,0,0,11,1,0,0,2,0.5,2,0.5,53,0.93,4,0.07,0,0,1,1,21,0.778,6,0.222,84,0.955,4,0.045,34,0.773,10,0.227,10,0.769,3,0.231,178,0.922,15,0.078,2,1
Essex,0,-,0,-,260,0.798,66,0.202,28,0.683,13,0.317,31,0.939,2,0.061,8,0.8,2,0.2,257,0.938,17,0.062,17,0.944,1,0.056,69,0.852,12,0.148,73,0.948,4,0.052,94,0.879,13,0.121,47,0.825,10,0.175,222,0.881,30,0.119,10,1
Gloucestershire,0,-,0,-,52,0.765,16,0.235,5,1,0,0,6,0.75,2,0.25,2,1,0,0,85,0.904,9,0.096,5,1,0,0,15,0.882,2,0.118,18,0.947,1,0.053,14,0.778,4,0.222,17,0.773,5,0.227,58,0.967,2,0.033,14,1
GreaterManchester,1,1,0,0,547,0.772,162,0.228,49,0.598,33,0.402,87,0.916,8,0.084,35,0.946,2,0.054,478,0.934,34,0.066,44,0.863,7,0.137,201,0.882,27,0.118,225,0.915,21,0.085,273,0.878,38,0.122,125,0.744,43,0.256,350,0.854,60,0.146,34,1
Gwent,3,0.75,1,0.25,62,0.765,19,0.235,5,0.714,2,0.286,17,0.68,8,0.32,0,0,1,1,94,0.949,5,0.051,2,0.667,1,0.333,27,0.794,7,0.206,52,0.981,1,0.019,55,0.902,6,0.098,17,0.68,8,0.32,66,0.917,6,0.083,4,1
Hampshire,0,-,0,-,305,0.738,108,0.262,23,0.575,17,0.425,32,0.889,4,0.111,6,0.857,1,0.143,295,0.925,24,0.075,16,0.842,3,0.158,74,0.787,20,0.213,102,0.872,15,0.128,110,0.887,14,0.113,63,0.829,13,0.171,195,0.837,38,0.163,15,1
Hertfordshire,0,-,0,-,163,0.795,42,0.205,16,0.667,8,0.333,18,0.75,6,0.25,10,0.769,3,0.231,190,0.892,23,0.108,16,0.696,7,0.304,33,0.892,4,0.108,77,0.951,4,0.049,53,0.803,13,0.197,15,0.882,2,0.118,143,0.813,33,0.188,8,1
Humberside,2,1,0,0,200,0.909,20,0.091,18,0.667,9,0.333,31,0.969,1,0.031,6,0.857,1,0.143,192,0.941,12,0.059,11,1,0,0,52,0.912,5,0.088,53,0.981,1,0.019,90,0.978,2,0.022,39,0.848,7,0.152,92,0.939,6,0.061,10,1
Kent,0,0,1,1,248,0.699,107,0.301,23,0.767,7,0.233,55,0.887,7,0.113,15,0.833,3,0.167,352,0.865,55,0.135,19,0.95,1,0.05,94,0.803,23,0.197,135,0.957,6,0.043,86,0.905,9,0.095,120,0.686,55,0.314,215,0.9,24,0.1,28,1
Lancashire,0,-,0,-,264,0.721,102,0.279,26,0.65,14,0.35,72,0.867,11,0.133,14,0.933,1,0.067,350,0.936,24,0.064,17,0.895,2,0.105,119,0.838,23,0.162,144,0.941,9,0.059,173,0.901,19,0.099,146,0.896,17,0.104,281,0.831,57,0.169,11,1
Leicestershire,0,-,0,-,162,0.831,33,0.169,6,0.75,2,0.25,27,0.844,5,0.156,6,0.545,5,0.455,138,0.841,26,0.159,6,1,0,0,50,0.943,3,0.057,31,0.861,5,0.139,86,0.851,15,0.149,15,0.882,2,0.118,142,0.893,17,0.107,8,1
Lincolnshire,0,-,0,-,80,0.808,19,0.192,5,0.714,2,0.286,27,1,0,0,3,1,0,0,105,0.861,17,0.139,8,1,0,0,13,0.813,3,0.188,30,1,0,0,43,0.768,13,0.232,6,0.857,1,0.143,119,0.838,23,0.162,2,1
Merseyside,1,0.5,1,0.5,265,0.768,80,0.232,23,0.821,5,0.179,37,0.949,2,0.051,20,0.952,1,0.048,296,0.931,22,0.069,17,0.708,7,0.292,54,0.857,9,0.143,285,0.956,13,0.044,183,0.884,24,0.116,181,0.892,22,0.108,250,0.877,35,0.123,16,1
Metropolitan and City,13,0.684,6,0.316,1252,0.678,594,0.322,125,0.683,58,0.317,226,0.774,66,0.226,174,0.757,56,0.243,1356,0.887,172,0.113,204,0.876,29,0.124,303,0.83,62,0.17,1102,0.942,68,0.058,697,0.839,134,0.161,496,0.816,112,0.184,1404,0.78,395,0.22,189,1
Norfolk,0,-,0,-,210,0.82,46,0.18,15,0.75,5,0.25,19,0.864,3,0.136,3,1,0,0,164,0.916,15,0.084,9,0.75,3,0.25,65,0.903,7,0.097,71,0.934,5,0.066,112,0.918,10,0.082,17,0.708,7,0.292,101,0.918,9,0.082,13,1
Northamptonshire,0,-,0,-,95,0.779,27,0.221,10,0.909,1,0.091,11,0.786,3,0.214,6,1,0,0,82,0.837,16,0.163,8,1,0,0,18,0.643,10,0.357,21,0.808,5,0.192,33,0.702,14,0.298,19,0.905,2,0.095,96,0.889,12,0.111,13,1
Northumbria,1,1,0,0,257,0.687,117,0.313,22,0.759,7,0.241,59,0.868,9,0.132,6,0.462,7,0.538,446,0.859,73,0.141,20,0.741,7,0.259,91,0.843,17,0.157,122,0.904,13,0.096,103,0.66,53,0.34,202,0.831,41,0.169,233,0.841,44,0.159,6,1
North Wales,0,-,0,-,131,0.804,32,0.196,6,0.429,8,0.571,17,0.739,6,0.261,2,0.667,1,0.333,191,0.965,7,0.035,6,0.857,1,0.143,64,0.941,4,0.059,44,0.978,1,0.022,63,0.829,13,0.171,119,0.902,13,0.098,273,0.922,23,0.078,5,1
North Yorkshire,1,1,0,0,129,0.872,19,0.128,2,0.667,1,0.333,28,0.824,6,0.176,3,1,0,0,167,0.923,14,0.077,17,0.85,3,0.15,44,0.957,2,0.043,43,0.977,1,0.023,93,0.903,10,0.097,26,0.839,5,0.161,123,0.939,8,0.061,13,1
Nottinghamshire,13,1,0,0,163,0.751,54,0.249,13,0.65,7,0.35,30,0.882,4,0.118,9,0.75,3,0.25,221,0.932,16,0.068,4,1,0,0,46,0.807,11,0.193,102,0.911,10,0.089,72,0.878,10,0.122,54,0.831,11,0.169,127,0.882,17,0.118,9,1
South Wales,1,1,0,0,242,0.722,93,0.278,18,0.6,12,0.4,37,0.881,5,0.119,15,0.882,2,0.118,296,0.955,14,0.045,6,0.6,4,0.4,79,0.963,3,0.037,122,0.917,11,0.083,133,0.858,22,0.142,54,0.885,7,0.115,556,0.928,43,0.072,12,1
South Yorkshire,0,0,1,1,195,0.704,82,0.296,11,0.688,5,0.313,53,0.898,6,0.102,6,1,0,0,332,0.946,19,0.054,16,0.842,3,0.158,55,0.833,11,0.167,94,0.979,2,0.021,96,0.842,18,0.158,52,0.852,9,0.148,145,0.81,34,0.19,10,1
Staffordshire,0,-,0,-,156,0.719,61,0.281,10,0.625,6,0.375,29,0.707,12,0.293,5,1,0,0,167,0.865,26,0.135,10,0.714,4,0.286,51,0.739,18,0.261,69,0.932,5,0.068,76,0.745,26,0.255,35,0.854,6,0.146,116,0.879,16,0.121,8,1
Suffolk,0,-,0,-,158,0.863,25,0.137,6,0.857,1,0.143,10,0.714,4,0.286,2,0.667,1,0.333,133,0.964,5,0.036,5,1,0,0,49,1,0,0,52,0.981,1,0.019,74,0.949,4,0.051,23,1,0,0,94,0.887,12,0.113,7,1
Surrey,0,-,0,-,97,0.638,55,0.362,8,0.571,6,0.429,13,0.765,4,0.235,6,1,0,0,107,0.87,16,0.13,12,0.8,3,0.2,32,0.744,11,0.256,84,0.884,11,0.116,40,0.678,19,0.322,71,0.899,8,0.101,158,0.854,27,0.146,5,1
Sussex,0,-,0,-,186,0.744,64,0.256,29,0.725,11,0.275,38,0.864,6,0.136,6,0.75,2,0.25,236,0.897,27,0.103,27,0.931,2,0.069,50,0.82,11,0.18,98,0.942,6,0.058,63,0.75,21,0.25,53,0.803,13,0.197,197,0.921,17,0.079,13,1
Thames Valley,7,0.636,4,0.364,302,0.726,114,0.274,38,0.745,13,0.255,53,0.841,10,0.159,12,0.923,1,0.077,336,0.911,33,0.089,15,0.833,3,0.167,59,0.808,14,0.192,180,0.918,16,0.082,123,0.826,26,0.174,27,0.711,11,0.289,335,0.863,53,0.137,30,1
Warwickshire,2,1,0,0,49,0.845,9,0.155,2,0.333,4,0.667,8,0.8,2,0.2,4,0.667,2,0.333,69,0.945,4,0.055,2,0.4,3,0.6,18,0.75,6,0.25,14,0.933,1,0.067,11,0.917,1,0.083,25,0.962,1,0.038,69,0.697,30,0.303,8,1
West Mercia,1,1,0,0,143,0.777,41,0.223,15,0.882,2,0.118,29,0.935,2,0.065,8,1,0,0,140,0.903,15,0.097,16,0.941,1,0.059,39,0.929,3,0.071,56,0.982,1,0.018,64,0.914,6,0.086,38,0.884,5,0.116,180,0.909,18,0.091,6,1
West Midlands,2,1,0,0,385,0.649,208,0.351,48,0.787,13,0.213,55,0.655,29,0.345,49,0.778,14,0.222,497,0.94,32,0.06,37,0.949,2,0.051,96,0.835,19,0.165,221,0.917,20,0.083,144,0.832,29,0.168,159,0.883,21,0.117,324,0.853,56,0.147,36,1
West Yorkshire,3,1,0,0,356,0.761,112,0.239,46,0.868,7,0.132,85,0.904,9,0.096,19,0.679,9,0.321,402,0.92,35,0.08,19,0.864,3,0.136,86,0.851,15,0.149,126,0.926,10,0.074,112,0.855,19,0.145,49,0.778,14,0.222,268,0.873,39,0.127,27,1
Wiltshire,0,-,0,-,62,0.697,27,0.303,5,0.833,1,0.167,3,0.75,1,0.25,3,0.6,2,0.4,73,0.901,8,0.099,2,1,0,0,27,0.844,5,0.156,34,0.971,1,0.029,13,0.722,5,0.278,25,0.781,7,0.219,70,0.795,18,0.205,7,1
