location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gwent,1,0.5,1,0.5,83,0.79,22,0.21,8,0.889,1,0.111,23,0.92,2,0.08,8,0.8,2,0.2,151,0.95,8,0.05,4,0.8,1,0.2,40,0.833,8,0.167,68,0.944,4,0.056,68,0.85,12,0.15,9,0.75,3,0.25,70,0.854,12,0.146,4,1
Hampshire,1,1,0,0,312,0.741,109,0.259,44,0.71,18,0.29,41,0.837,8,0.163,5,0.714,2,0.286,295,0.916,27,0.084,13,0.813,3,0.188,59,0.831,12,0.169,121,0.931,9,0.069,112,0.848,20,0.152,17,0.586,12,0.414,208,0.863,33,0.137,18,1
Hertfordshire,0,-,0,-,161,0.732,59,0.268,4,0.667,2,0.333,21,0.778,6,0.222,5,0.833,1,0.167,156,0.902,17,0.098,9,0.9,1,0.1,29,0.879,4,0.121,68,0.919,6,0.081,47,0.839,9,0.161,15,0.938,1,0.063,123,0.848,22,0.152,13,1
Humberside,0,0,1,1,157,0.77,47,0.23,30,0.811,7,0.189,29,0.879,4,0.121,7,1,0,0,201,0.918,18,0.082,15,0.833,3,0.167,47,0.887,6,0.113,63,0.94,4,0.06,69,0.873,10,0.127,26,0.813,6,0.188,110,0.833,22,0.167,10,1
Kent,1,1,0,0,199,0.737,71,0.263,21,0.636,12,0.364,39,0.78,11,0.22,11,0.786,3,0.214,274,0.881,37,0.119,25,0.806,6,0.194,67,0.817,15,0.183,83,0.943,5,0.057,87,0.821,19,0.179,68,0.829,14,0.171,190,0.888,24,0.112,23,1
Lancashire,1,0.5,1,0.5,265,0.775,77,0.225,31,0.738,11,0.262,64,0.853,11,0.147,23,0.852,4,0.148,277,0.942,17,0.058,15,0.833,3,0.167,81,0.827,17,0.173,98,0.933,7,0.067,175,0.926,14,0.074,116,0.892,14,0.108,264,0.852,46,0.148,12,1
Leicestershire,0,-,0,-,173,0.794,45,0.206,15,0.938,1,0.063,22,0.88,3,0.12,4,0.667,2,0.333,164,0.959,7,0.041,12,0.857,2,0.143,41,0.854,7,0.146,39,1,0,0,68,0.907,7,0.093,17,0.895,2,0.105,116,0.885,15,0.115,23,1
Lincolnshire,3,1,0,0,97,0.802,24,0.198,10,0.769,3,0.231,11,0.688,5,0.313,3,0.75,1,0.25,103,0.912,10,0.088,12,0.923,1,0.077,23,0.885,3,0.115,27,1,0,0,50,0.847,9,0.153,19,0.76,6,0.24,124,0.805,30,0.195,14,1
Merseyside,2,1,0,0,285,0.762,89,0.238,32,0.653,17,0.347,39,0.886,5,0.114,15,0.789,4,0.211,292,0.945,17,0.055,31,0.969,1,0.031,76,0.927,6,0.073,264,0.933,19,0.067,153,0.864,24,0.136,81,0.835,16,0.165,191,0.91,19,0.09,19,1
Metropolitan and City,14,0.933,1,0.067,1327,0.681,621,0.319,109,0.606,71,0.394,278,0.81,65,0.19,140,0.791,37,0.209,1220,0.9,135,0.1,225,0.872,33,0.128,314,0.846,57,0.154,1025,0.946,58,0.054,588,0.826,124,0.174,483,0.809,114,0.191,1231,0.783,341,0.217,148,1
Norfolk,0,-,0,-,149,0.713,60,0.287,13,0.867,2,0.133,15,0.714,6,0.286,1,0.333,2,0.667,143,0.935,10,0.065,14,0.875,2,0.125,46,0.807,11,0.193,74,0.961,3,0.039,90,0.918,8,0.082,18,0.857,3,0.143,89,0.824,19,0.176,14,1
Northamptonshire,0,-,0,-,105,0.795,27,0.205,10,0.769,3,0.231,13,0.619,8,0.381,0,0,0,0,99,0.908,10,0.092,6,0.75,2,0.25,27,0.794,7,0.206,39,0.975,1,0.025,30,0.769,9,0.231,15,0.789,4,0.211,121,0.903,13,0.097,11,1
Northumbria,1,1,0,0,282,0.754,92,0.246,13,0.722,5,0.278,64,0.831,13,0.169,13,0.722,5,0.278,422,0.898,48,0.102,23,0.885,3,0.115,77,0.755,25,0.245,76,0.884,10,0.116,197,0.732,72,0.268,59,0.843,11,0.157,219,0.811,51,0.189,6,1
North Wales,1,1,0,0,161,0.813,37,0.187,16,0.696,7,0.304,22,0.88,3,0.12,3,0.75,1,0.25,139,0.952,7,0.048,7,1,0,0,45,0.818,10,0.182,59,0.922,5,0.078,65,0.956,3,0.044,12,0.8,3,0.2,78,0.876,11,0.124,2,1
North Yorkshire,1,1,0,0,102,0.767,31,0.233,9,1,0,0,22,0.957,1,0.043,3,1,0,0,144,0.96,6,0.04,7,0.875,1,0.125,34,0.895,4,0.105,35,0.972,1,0.028,64,0.901,7,0.099,28,0.778,8,0.222,112,0.889,14,0.111,12,1
Nottinghamshire,1,1,0,0,233,0.756,75,0.244,18,0.857,3,0.143,23,0.622,14,0.378,9,0.692,4,0.308,273,0.898,31,0.102,17,0.85,3,0.15,63,0.768,19,0.232,123,0.976,3,0.024,78,0.876,11,0.124,51,0.836,10,0.164,172,0.873,25,0.127,16,1
South Wales,1,1,0,0,339,0.742,118,0.258,26,0.667,13,0.333,44,0.863,7,0.137,12,0.923,1,0.077,300,0.94,19,0.06,17,0.944,1,0.056,69,0.852,12,0.148,169,0.96,7,0.04,167,0.865,26,0.135,14,0.933,1,0.067,643,0.893,77,0.107,13,1
South Yorkshire,5,1,0,0,227,0.775,66,0.225,9,1,0,0,49,0.961,2,0.039,10,0.625,6,0.375,283,0.904,30,0.096,11,0.917,1,0.083,64,0.842,12,0.158,87,0.935,6,0.065,99,0.853,17,0.147,24,0.75,8,0.25,141,0.887,18,0.113,15,1
Staffordshire,0,-,0,-,157,0.744,54,0.256,10,0.667,5,0.333,31,0.861,5,0.139,7,0.778,2,0.222,196,0.903,21,0.097,14,0.933,1,0.067,40,0.755,13,0.245,66,0.957,3,0.043,75,0.872,11,0.128,21,0.808,5,0.192,186,0.795,48,0.205,9,1
Suffolk,0,0,1,1,110,0.797,28,0.203,6,0.857,1,0.143,9,0.75,3,0.25,2,0.4,3,0.6,135,0.957,6,0.043,8,1,0,0,42,0.955,2,0.045,66,1,0,0,66,0.904,7,0.096,9,0.9,1,0.1,87,0.798,22,0.202,4,1
Surrey,0,-,0,-,111,0.677,53,0.323,10,0.667,5,0.333,16,1,0,0,1,1,0,0,83,0.865,13,0.135,11,0.917,1,0.083,20,0.769,6,0.231,67,0.944,4,0.056,41,0.719,16,0.281,32,0.762,10,0.238,132,0.857,22,0.143,12,1
Sussex,0,-,0,-,261,0.757,84,0.243,25,0.641,14,0.359,34,0.81,8,0.19,2,1,0,0,241,0.92,21,0.08,23,0.852,4,0.148,60,0.87,9,0.13,97,0.898,11,0.102,89,0.802,22,0.198,40,0.741,14,0.259,225,0.9,25,0.1,15,1
Thames Valley,3,1,0,0,300,0.68,141,0.32,35,0.686,16,0.314,40,0.8,10,0.2,11,0.647,6,0.353,330,0.924,27,0.076,32,0.914,3,0.086,62,0.861,10,0.139,133,0.957,6,0.043,121,0.871,18,0.129,34,0.708,14,0.292,235,0.858,39,0.142,21,1
Warwickshire,2,1,0,0,60,0.789,16,0.211,10,0.909,1,0.091,7,1,0,0,5,0.625,3,0.375,65,0.97,2,0.03,4,1,0,0,12,0.923,1,0.077,12,0.923,1,0.077,25,0.893,3,0.107,14,0.824,3,0.176,85,0.787,23,0.213,8,1
West Mercia,0,-,0,-,206,0.783,57,0.217,13,0.52,12,0.48,23,0.821,5,0.179,1,0.25,3,0.75,164,0.948,9,0.052,17,0.85,3,0.15,27,0.931,2,0.069,61,0.984,1,0.016,67,0.87,10,0.13,25,0.862,4,0.138,139,0.885,18,0.115,6,1
West Midlands,0,0,2,1,461,0.75,154,0.25,41,0.759,13,0.241,79,0.849,14,0.151,42,0.764,13,0.236,647,0.919,57,0.081,35,0.778,10,0.222,88,0.88,12,0.12,216,0.923,18,0.077,137,0.862,22,0.138,132,0.81,31,0.19,310,0.883,41,0.117,23,1
West Yorkshire,4,1,0,0,466,0.787,126,0.213,42,0.724,16,0.276,78,0.796,20,0.204,24,1,0,0,378,0.92,33,0.08,22,0.733,8,0.267,104,0.846,19,0.154,116,0.943,7,0.057,115,0.793,30,0.207,52,0.8,13,0.2,302,0.821,66,0.179,17,1
Wiltshire,0,-,0,-,108,0.806,26,0.194,9,0.643,5,0.357,6,0.75,2,0.25,0,0,1,1,94,0.895,11,0.105,3,0.75,1,0.25,33,0.892,4,0.108,26,1,0,0,59,0.922,5,0.078,5,0.833,1,0.167,66,0.892,8,0.108,3,1
