location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,51,0.864,8,0.136,9394,0.753,3074,0.247,816,0.696,356,0.304,1494,0.835,296,0.165,494,0.798,125,0.202,9788,0.921,841,0.079,778,0.86,127,0.14,2321,0.845,426,0.155,4352,0.944,256,0.056,3927,0.849,696,0.151,1820,0.813,418,0.187,7844,0.849,1396,0.151,735,1
Avon and Somerset,0,-,0,-,264,0.805,64,0.195,36,0.706,15,0.294,39,0.848,7,0.152,21,0.955,1,0.045,273,0.958,12,0.042,9,0.6,6,0.4,64,0.821,14,0.179,97,0.915,9,0.085,75,0.843,14,0.157,61,0.792,16,0.208,223,0.764,69,0.236,54,1
Bedfordshire,0,-,0,-,84,0.75,28,0.25,4,1,0,0,9,0.9,1,0.1,8,0.889,1,0.111,70,0.909,7,0.091,5,1,0,0,20,0.909,2,0.091,38,0.95,2,0.05,25,0.862,4,0.138,17,1,0,0,63,0.875,9,0.125,22,1
Cambridgeshire,1,1,0,0,125,0.796,32,0.204,14,0.933,1,0.067,15,1,0,0,8,0.667,4,0.333,108,0.923,9,0.077,5,1,0,0,20,0.769,6,0.231,56,1,0,0,46,0.902,5,0.098,3,0.333,6,0.667,84,0.875,12,0.125,33,1
Cheshire,1,1,0,0,197,0.9,22,0.1,11,0.846,2,0.154,31,0.939,2,0.061,6,1,0,0,203,0.931,15,0.069,10,0.909,1,0.091,35,0.854,6,0.146,86,0.925,7,0.075,95,0.913,9,0.087,39,0.951,2,0.049,164,0.911,16,0.089,14,1
Cleveland,0,-,0,-,126,0.768,38,0.232,10,0.625,6,0.375,35,0.897,4,0.103,7,0.875,1,0.125,273,0.925,22,0.075,8,1,0,0,53,0.883,7,0.117,64,0.955,3,0.045,79,0.79,21,0.21,13,0.867,2,0.133,63,0.955,3,0.045,5,1
Cumbria,0,-,0,-,109,0.879,15,0.121,2,0.5,2,0.5,10,1,0,0,2,0.333,4,0.667,105,0.955,5,0.045,4,0.5,4,0.5,27,0.931,2,0.069,39,1,0,0,71,0.934,5,0.066,31,0.838,6,0.162,93,0.903,10,0.097,1,1
Derbyshire,1,1,0,0,163,0.751,54,0.249,12,0.75,4,0.25,19,0.792,5,0.208,12,1,0,0,218,0.92,19,0.08,13,0.929,1,0.071,52,0.867,8,0.133,82,0.943,5,0.057,63,0.851,11,0.149,43,0.782,12,0.218,133,0.881,18,0.119,18,1
Devon and Cornwall,0,0,1,1,150,0.698,65,0.302,13,0.929,1,0.071,15,0.882,2,0.118,1,1,0,0,144,0.935,10,0.065,6,0.857,1,0.143,50,0.781,14,0.219,59,0.922,5,0.078,43,0.896,5,0.104,52,0.8,13,0.2,174,0.866,27,0.134,26,1
Dorset,0,-,0,-,85,0.733,31,0.267,6,0.545,5,0.455,6,0.6,4,0.4,2,0.667,1,0.333,93,0.903,10,0.097,3,1,0,0,27,0.871,4,0.129,29,1,0,0,34,0.791,9,0.209,5,0.833,1,0.167,82,0.911,8,0.089,10,1
Durham,0,-,0,-,106,0.736,38,0.264,7,0.5,7,0.5,16,0.667,8,0.333,5,1,0,0,139,0.874,20,0.126,6,0.857,1,0.143,47,0.797,12,0.203,21,0.84,4,0.16,52,0.881,7,0.119,6,0.545,5,0.455,73,0.924,6,0.076,1,1
Dyfed Powys,0,-,0,-,62,0.66,32,0.34,4,0.8,1,0.2,2,0.667,1,0.333,0,0,0,0,47,0.94,3,0.06,3,1,0,0,30,0.882,4,0.118,78,0.963,3,0.037,26,0.788,7,0.212,1,0.5,1,0.5,61,0.803,15,0.197,2,1
Essex,1,1,0,0,346,0.814,79,0.186,27,0.563,21,0.438,42,0.913,4,0.087,8,0.727,3,0.273,246,0.918,22,0.082,19,0.905,2,0.095,53,0.815,12,0.185,89,0.978,2,0.022,52,0.813,12,0.188,45,0.957,2,0.043,190,0.888,24,0.112,12,1
Gloucestershire,2,1,0,0,56,0.727,21,0.273,6,0.75,2,0.25,14,0.824,3,0.176,9,1,0,0,100,0.917,9,0.083,16,0.696,7,0.304,10,0.833,2,0.167,35,0.946,2,0.054,14,0.636,8,0.364,23,0.793,6,0.207,72,0.9,8,0.1,20,1
GreaterManchester,3,1,0,0,624,0.81,146,0.19,45,0.643,25,0.357,99,0.876,14,0.124,38,0.905,4,0.095,500,0.954,24,0.046,39,0.867,6,0.133,143,0.877,20,0.123,201,0.931,15,0.069,250,0.88,34,0.12,45,0.763,14,0.237,400,0.857,67,0.143,26,1
