location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Merseyside,1,1,0,0,271,0.842,51,0.158,35,0.814,8,0.186,34,0.919,3,0.081,8,0.727,3,0.273,303,0.929,23,0.071,33,0.971,1,0.029,58,0.892,7,0.108,256,0.945,15,0.055,167,0.831,34,0.169,90,0.833,18,0.167,226,0.89,28,0.11,21,1
Metropolitan and City,12,0.923,1,0.077,1256,0.662,642,0.338,131,0.618,81,0.382,243,0.794,63,0.206,136,0.731,50,0.269,1307,0.878,182,0.122,214,0.873,31,0.127,322,0.866,50,0.134,1077,0.923,90,0.077,671,0.827,140,0.173,527,0.803,129,0.197,1353,0.791,357,0.209,210,1
Norfolk,2,1,0,0,193,0.865,30,0.135,12,0.923,1,0.077,18,0.818,4,0.182,2,0.333,4,0.667,146,0.924,12,0.076,5,0.833,1,0.167,48,0.941,3,0.059,86,0.915,8,0.085,116,0.935,8,0.065,7,0.636,4,0.364,105,0.913,10,0.087,9,1
Northamptonshire,0,-,0,-,110,0.809,26,0.191,6,0.857,1,0.143,11,0.786,3,0.214,1,0.333,2,0.667,119,0.888,15,0.112,8,0.727,3,0.273,23,0.767,7,0.233,34,0.944,2,0.056,43,0.827,9,0.173,10,0.833,2,0.167,114,0.877,16,0.123,16,1
Northumbria,1,1,0,0,296,0.648,161,0.352,22,0.629,13,0.371,53,0.855,9,0.145,15,0.938,1,0.063,517,0.902,56,0.098,25,0.806,6,0.194,88,0.682,41,0.318,125,0.919,11,0.081,175,0.72,68,0.28,76,0.792,20,0.208,253,0.814,58,0.186,10,1
North Wales,0,-,0,-,111,0.799,28,0.201,10,0.556,8,0.444,25,0.926,2,0.074,3,0.75,1,0.25,208,0.95,11,0.05,8,1,0,0,42,0.824,9,0.176,56,0.966,2,0.034,47,0.922,4,0.078,149,0.937,10,0.063,78,0.886,10,0.114,4,1
North Yorkshire,0,-,0,-,116,0.853,20,0.147,4,1,0,0,15,0.789,4,0.211,1,0.333,2,0.667,164,0.896,19,0.104,11,0.917,1,0.083,33,0.767,10,0.233,47,0.922,4,0.078,90,0.833,18,0.167,15,0.833,3,0.167,92,0.92,8,0.08,4,1
Nottinghamshire,2,0.667,1,0.333,231,0.752,76,0.248,16,0.8,4,0.2,49,0.86,8,0.14,17,0.81,4,0.19,221,0.921,19,0.079,10,1,0,0,70,0.864,11,0.136,109,0.886,14,0.114,87,0.861,14,0.139,72,0.783,20,0.217,170,0.944,10,0.056,29,1
South Wales,2,1,0,0,389,0.72,151,0.28,12,0.6,8,0.4,53,0.779,15,0.221,7,0.778,2,0.222,386,0.923,32,0.077,11,0.786,3,0.214,118,0.861,19,0.139,188,0.94,12,0.06,214,0.853,37,0.147,92,0.844,17,0.156,739,0.869,111,0.131,22,1
South Yorkshire,1,0.5,1,0.5,241,0.817,54,0.183,10,0.714,4,0.286,41,0.854,7,0.146,16,0.941,1,0.059,342,0.95,18,0.05,25,0.962,1,0.038,74,0.841,14,0.159,126,0.977,3,0.023,122,0.878,17,0.122,33,0.846,6,0.154,154,0.951,8,0.049,13,1
Staffordshire,1,1,0,0,192,0.719,75,0.281,23,0.821,5,0.179,33,0.892,4,0.108,6,0.545,5,0.455,175,0.897,20,0.103,4,1,0,0,50,0.877,7,0.123,86,0.915,8,0.085,67,0.905,7,0.095,39,0.813,9,0.188,162,0.827,34,0.173,2,1
Suffolk,0,-,0,-,128,0.805,31,0.195,5,1,0,0,17,0.944,1,0.056,1,1,0,0,113,0.904,12,0.096,4,0.8,1,0.2,33,0.892,4,0.108,53,0.946,3,0.054,72,0.911,7,0.089,15,0.938,1,0.063,65,0.89,8,0.11,13,1
Surrey,0,-,0,-,108,0.551,88,0.449,14,0.667,7,0.333,23,0.821,5,0.179,7,0.7,3,0.3,113,0.774,33,0.226,21,0.7,9,0.3,29,0.63,17,0.37,83,0.912,8,0.088,58,0.753,19,0.247,75,0.721,29,0.279,145,0.838,28,0.162,14,1
Sussex,1,1,0,0,244,0.77,73,0.23,25,0.694,11,0.306,42,0.875,6,0.125,5,0.714,2,0.286,266,0.937,18,0.063,26,0.813,6,0.188,47,0.783,13,0.217,112,0.966,4,0.034,116,0.866,18,0.134,70,0.769,21,0.231,187,0.835,37,0.165,25,1
Thames Valley,4,1,0,0,355,0.711,144,0.289,40,0.741,14,0.259,44,0.786,12,0.214,12,0.706,5,0.294,301,0.883,40,0.117,24,0.774,7,0.226,68,0.829,14,0.171,141,0.922,12,0.078,132,0.835,26,0.165,22,0.71,9,0.29,245,0.795,63,0.205,43,1
Warwickshire,1,1,0,0,76,0.768,23,0.232,6,0.75,2,0.25,19,0.731,7,0.269,3,1,0,0,94,0.969,3,0.031,7,0.875,1,0.125,15,1,0,0,17,1,0,0,26,0.839,5,0.161,20,0.833,4,0.167,70,0.722,27,0.278,0,-
West Mercia,1,1,0,0,171,0.76,54,0.24,20,0.769,6,0.231,22,0.957,1,0.043,6,0.857,1,0.143,197,0.921,17,0.079,10,1,0,0,37,0.841,7,0.159,44,0.978,1,0.022,84,0.84,16,0.16,46,0.836,9,0.164,177,0.868,27,0.132,4,1
West Midlands,1,1,0,0,477,0.701,203,0.299,35,0.7,15,0.3,77,0.755,25,0.245,55,0.743,19,0.257,603,0.904,64,0.096,28,0.933,2,0.067,125,0.856,21,0.144,206,0.924,17,0.076,127,0.841,24,0.159,185,0.826,39,0.174,343,0.821,75,0.179,9,1
West Yorkshire,9,0.818,2,0.182,380,0.758,121,0.242,44,0.698,19,0.302,78,0.839,15,0.161,30,0.909,3,0.091,387,0.935,27,0.065,28,0.757,9,0.243,97,0.836,19,0.164,173,0.901,19,0.099,125,0.828,26,0.172,64,0.842,12,0.158,270,0.863,43,0.137,26,1
Wiltshire,0,-,0,-,85,0.72,33,0.28,14,0.667,7,0.333,6,0.667,3,0.333,5,0.833,1,0.167,81,0.942,5,0.058,11,0.846,2,0.154,26,0.867,4,0.133,36,0.973,1,0.027,52,0.881,7,0.119,26,0.813,6,0.188,76,0.874,11,0.126,2,1
