location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,59,0.881,8,0.119,9506,0.744,3271,0.256,853,0.693,377,0.307,1576,0.836,310,0.164,492,0.774,144,0.226,10554,0.911,1025,0.089,810,0.859,133,0.141,2605,0.849,465,0.151,4741,0.932,346,0.068,4481,0.855,757,0.145,2780,0.822,603,0.178,8695,0.855,1473,0.145,789,1
Avon and Somerset,2,1,0,0,237,0.765,73,0.235,28,0.583,20,0.417,61,0.938,4,0.062,3,0.75,1,0.25,298,0.943,18,0.057,20,0.952,1,0.048,80,0.941,5,0.059,128,0.941,8,0.059,96,0.873,14,0.127,89,0.832,18,0.168,224,0.806,54,0.194,28,1
Bedfordshire,2,1,0,0,84,0.718,33,0.282,10,0.667,5,0.333,12,0.857,2,0.143,10,0.769,3,0.231,85,0.934,6,0.066,5,0.714,2,0.286,21,0.75,7,0.25,40,0.909,4,0.091,24,0.923,2,0.077,11,0.733,4,0.267,72,0.837,14,0.163,16,1
Cambridgeshire,0,-,0,-,87,0.806,21,0.194,10,0.833,2,0.167,16,0.8,4,0.2,7,0.778,2,0.222,97,0.874,14,0.126,11,1,0,0,24,0.923,2,0.077,33,0.971,1,0.029,36,0.837,7,0.163,20,0.87,3,0.13,67,0.761,21,0.239,12,1
Cheshire,0,-,0,-,196,0.797,50,0.203,17,0.81,4,0.19,31,0.838,6,0.162,5,0.833,1,0.167,239,0.945,14,0.055,21,0.808,5,0.192,44,0.863,7,0.137,76,0.938,5,0.062,106,0.922,9,0.078,48,0.941,3,0.059,162,0.926,13,0.074,2,1
Cleveland,1,1,0,0,139,0.813,32,0.187,12,0.857,2,0.143,34,0.81,8,0.19,3,1,0,0,380,0.943,23,0.057,8,0.8,2,0.2,39,0.696,17,0.304,73,0.89,9,0.11,119,0.869,18,0.131,44,0.759,14,0.241,181,0.896,21,0.104,3,1
Cumbria,0,-,0,-,108,0.871,16,0.129,4,0.8,1,0.2,5,0.714,2,0.286,0,0,0,0,95,0.95,5,0.05,4,1,0,0,37,0.771,11,0.229,47,0.94,3,0.06,63,0.9,7,0.1,67,0.931,5,0.069,80,0.899,9,0.101,2,1
Derbyshire,1,1,0,0,167,0.742,58,0.258,14,0.737,5,0.263,21,0.84,4,0.16,10,0.769,3,0.231,206,0.941,13,0.059,13,0.813,3,0.188,39,0.75,13,0.25,63,0.984,1,0.016,78,0.867,12,0.133,50,0.758,16,0.242,148,0.925,12,0.075,12,1
Devon and Cornwall,0,-,0,-,198,0.756,64,0.244,16,1,0,0,24,0.889,3,0.111,11,0.786,3,0.214,178,0.947,10,0.053,16,0.889,2,0.111,59,0.855,10,0.145,59,0.952,3,0.048,64,0.914,6,0.086,76,0.8,19,0.2,203,0.902,22,0.098,16,1
Dorset,0,-,0,-,101,0.783,28,0.217,7,0.636,4,0.364,15,1,0,0,2,0.25,6,0.75,96,0.932,7,0.068,4,0.667,2,0.333,28,0.966,1,0.034,46,0.958,2,0.042,48,0.906,5,0.094,44,0.88,6,0.12,99,0.908,10,0.092,1,1
Durham,1,1,0,0,121,0.84,23,0.16,9,0.563,7,0.438,25,0.833,5,0.167,4,1,0,0,153,0.869,23,0.131,6,0.857,1,0.143,50,0.877,7,0.123,45,0.938,3,0.063,59,0.868,9,0.132,18,0.818,4,0.182,93,0.903,10,0.097,2,1
Dyfed Powys,0,-,0,-,74,0.705,31,0.295,2,0.667,1,0.333,6,0.6,4,0.4,1,1,0,0,58,0.921,5,0.079,8,0.889,1,0.111,28,0.875,4,0.125,56,0.933,4,0.067,55,0.873,8,0.127,31,0.939,2,0.061,234,0.918,21,0.082,10,1
Essex,0,-,0,-,275,0.809,65,0.191,34,0.694,15,0.306,36,0.818,8,0.182,9,0.6,6,0.4,236,0.929,18,0.071,29,0.935,2,0.065,50,0.794,13,0.206,87,0.906,9,0.094,89,0.864,14,0.136,48,0.787,13,0.213,217,0.875,31,0.125,17,1
Gloucestershire,2,1,0,0,69,0.802,17,0.198,2,1,0,0,15,0.938,1,0.063,0,0,0,0,86,0.869,13,0.131,1,1,0,0,31,0.969,1,0.031,22,0.957,1,0.043,12,0.8,3,0.2,20,0.952,1,0.048,49,0.831,10,0.169,6,1
GreaterManchester,0,0,1,1,649,0.777,186,0.223,50,0.61,32,0.39,100,0.909,10,0.091,30,0.882,4,0.118,483,0.931,36,0.069,36,0.9,4,0.1,181,0.91,18,0.09,264,0.94,17,0.06,254,0.891,31,0.109,132,0.81,31,0.19,318,0.876,45,0.124,66,1
Gwent,2,1,0,0,124,0.795,32,0.205,9,0.563,7,0.438,19,0.95,1,0.05,0,0,1,1,177,0.947,10,0.053,3,0.75,1,0.25,48,0.923,4,0.077,76,0.987,1,0.013,95,0.922,8,0.078,35,0.854,6,0.146,192,0.877,27,0.123,4,1
Hampshire,2,1,0,0,286,0.73,106,0.27,27,0.659,14,0.341,44,0.815,10,0.185,5,1,0,0,332,0.92,29,0.08,30,0.769,9,0.231,105,0.82,23,0.18,145,0.935,10,0.065,121,0.883,16,0.117,108,0.864,17,0.136,271,0.86,44,0.14,15,1
Hertfordshire,0,-,0,-,207,0.726,78,0.274,14,0.875,2,0.125,27,0.844,5,0.156,7,0.778,2,0.222,205,0.865,32,0.135,13,0.813,3,0.188,41,0.872,6,0.128,71,0.922,6,0.078,63,0.829,13,0.171,17,0.68,8,0.32,183,0.871,27,0.129,23,1
Humberside,0,-,0,-,158,0.859,26,0.141,27,0.587,19,0.413,29,0.829,6,0.171,11,1,0,0,204,0.953,10,0.047,13,1,0,0,47,0.94,3,0.06,70,0.986,1,0.014,121,0.924,10,0.076,12,0.857,2,0.143,96,0.923,8,0.077,9,1
Kent,2,0.667,1,0.333,217,0.7,93,0.3,30,0.882,4,0.118,56,0.778,16,0.222,17,0.944,1,0.056,340,0.856,57,0.144,22,0.815,5,0.185,80,0.842,15,0.158,89,0.89,11,0.11,85,0.85,15,0.15,108,0.783,30,0.217,231,0.888,29,0.112,29,1
Lancashire,2,0.667,1,0.333,343,0.764,106,0.236,24,0.649,13,0.351,64,0.928,5,0.072,11,0.846,2,0.154,306,0.933,22,0.067,10,0.769,3,0.231,108,0.923,9,0.077,128,0.962,5,0.038,187,0.908,19,0.092,132,0.874,19,0.126,260,0.852,45,0.148,28,1
Leicestershire,2,1,0,0,144,0.832,29,0.168,12,0.75,4,0.25,14,0.7,6,0.3,8,1,0,0,148,0.902,16,0.098,18,0.9,2,0.1,37,0.822,8,0.178,30,0.857,5,0.143,56,0.789,15,0.211,11,0.647,6,0.353,151,0.95,8,0.05,10,1
Lincolnshire,1,1,0,0,92,0.821,20,0.179,11,0.846,2,0.154,19,0.864,3,0.136,2,1,0,0,109,0.858,18,0.142,6,0.857,1,0.143,25,0.862,4,0.138,38,0.927,3,0.073,59,0.831,12,0.169,26,0.765,8,0.235,140,0.859,23,0.141,2,1
