location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Northamptonshire,0,-,0,-,128,0.771,38,0.229,13,0.5,13,0.5,14,0.7,6,0.3,6,1,0,0,130,0.897,15,0.103,6,0.857,1,0.143,22,0.759,7,0.241,56,0.903,6,0.097,40,0.784,11,0.216,9,0.818,2,0.182,109,0.852,19,0.148,6,1
Northumbria,4,1,0,0,303,0.687,138,0.313,24,0.727,9,0.273,60,0.87,9,0.13,10,0.714,4,0.286,462,0.887,59,0.113,27,0.871,4,0.129,110,0.803,27,0.197,134,0.931,10,0.069,262,0.804,64,0.196,56,0.778,16,0.222,208,0.782,58,0.218,8,1
North Wales,1,1,0,0,198,0.789,53,0.211,16,0.842,3,0.158,16,0.842,3,0.158,1,0.5,1,0.5,140,0.946,8,0.054,4,0.667,2,0.333,36,0.818,8,0.182,48,0.923,4,0.077,45,0.849,8,0.151,10,1,0,0,88,0.807,21,0.193,2,1
North Yorkshire,2,0.667,1,0.333,138,0.885,18,0.115,3,1,0,0,16,0.941,1,0.059,1,0.5,1,0.5,140,0.946,8,0.054,14,0.824,3,0.176,33,0.846,6,0.154,47,0.904,5,0.096,63,0.913,6,0.087,21,0.913,2,0.087,135,0.925,11,0.075,13,1
Nottinghamshire,4,1,0,0,241,0.735,87,0.265,18,0.72,7,0.28,39,0.929,3,0.071,8,0.8,2,0.2,253,0.948,14,0.052,14,0.933,1,0.067,51,0.718,20,0.282,112,0.933,8,0.067,113,0.897,13,0.103,60,0.845,11,0.155,166,0.888,21,0.112,23,1
South Wales,1,1,0,0,346,0.765,106,0.235,27,0.692,12,0.308,52,0.839,10,0.161,13,0.813,3,0.188,323,0.944,19,0.056,25,0.893,3,0.107,86,0.915,8,0.085,156,0.94,10,0.06,153,0.869,23,0.131,19,0.905,2,0.095,643,0.919,57,0.081,8,1
South Yorkshire,4,1,0,0,261,0.746,89,0.254,6,0.857,1,0.143,53,0.883,7,0.117,8,0.8,2,0.2,397,0.939,26,0.061,30,0.882,4,0.118,74,0.841,14,0.159,120,0.976,3,0.024,97,0.836,19,0.164,28,0.933,2,0.067,170,0.885,22,0.115,11,1
Staffordshire,0,-,0,-,172,0.735,62,0.265,15,0.833,3,0.167,24,0.75,8,0.25,5,1,0,0,167,0.944,10,0.056,10,0.667,5,0.333,54,0.844,10,0.156,85,1,0,0,62,0.861,10,0.139,34,0.872,5,0.128,169,0.761,53,0.239,30,1
Suffolk,0,-,0,-,134,0.802,33,0.198,2,0.667,1,0.333,9,0.692,4,0.308,9,0.9,1,0.1,98,0.925,8,0.075,4,0.8,1,0.2,31,0.721,12,0.279,49,0.961,2,0.039,59,0.868,9,0.132,15,0.938,1,0.063,115,0.885,15,0.115,11,1
Surrey,0,-,0,-,150,0.75,50,0.25,15,0.789,4,0.211,13,0.929,1,0.071,4,1,0,0,116,0.906,12,0.094,13,1,0,0,14,0.583,10,0.417,71,0.888,9,0.113,35,0.875,5,0.125,16,0.727,6,0.273,128,0.948,7,0.052,10,1
Sussex,1,1,0,0,277,0.761,87,0.239,31,0.738,11,0.262,27,0.931,2,0.069,6,1,0,0,238,0.919,21,0.081,22,0.815,5,0.185,46,0.78,13,0.22,107,0.93,8,0.07,72,0.828,15,0.172,28,0.757,9,0.243,240,0.842,45,0.158,29,1
Thames Valley,1,1,0,0,348,0.706,145,0.294,52,0.675,25,0.325,41,0.695,18,0.305,8,0.727,3,0.273,336,0.913,32,0.087,34,0.919,3,0.081,70,0.875,10,0.125,160,0.941,10,0.059,117,0.807,28,0.193,59,0.686,27,0.314,321,0.849,57,0.151,27,1
Warwickshire,0,-,0,-,74,0.779,21,0.221,5,0.833,1,0.167,9,1,0,0,3,0.75,1,0.25,64,0.928,5,0.072,1,1,0,0,18,0.75,6,0.25,20,1,0,0,22,0.917,2,0.083,11,0.846,2,0.154,82,0.812,19,0.188,22,1
West Mercia,2,1,0,0,181,0.77,54,0.23,26,0.839,5,0.161,15,0.789,4,0.211,7,0.778,2,0.222,171,0.945,10,0.055,8,0.889,1,0.111,45,0.833,9,0.167,71,1,0,0,62,0.849,11,0.151,27,1,0,0,173,0.892,21,0.108,18,1
West Midlands,5,0.625,3,0.375,577,0.752,190,0.248,60,0.741,21,0.259,94,0.817,21,0.183,68,0.872,10,0.128,662,0.936,45,0.064,21,0.808,5,0.192,109,0.838,21,0.162,196,0.951,10,0.049,191,0.893,23,0.107,116,0.899,13,0.101,378,0.822,82,0.178,89,1
West Yorkshire,4,0.8,1,0.2,518,0.735,187,0.265,72,0.75,24,0.25,88,0.838,17,0.162,18,0.783,5,0.217,380,0.9,42,0.1,34,0.791,9,0.209,110,0.815,25,0.185,173,0.945,10,0.055,146,0.811,34,0.189,49,0.907,5,0.093,305,0.782,85,0.218,34,1
Wiltshire,0,-,0,-,105,0.868,16,0.132,11,1,0,0,8,0.727,3,0.273,1,1,0,0,95,0.99,1,0.01,4,0.571,3,0.429,28,0.875,4,0.125,29,1,0,0,39,0.848,7,0.152,5,1,0,0,86,0.925,7,0.075,4,1
