location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,72,0.758,23,0.242,10524,0.747,3568,0.253,975,0.717,385,0.283,1411,0.834,281,0.166,477,0.81,112,0.19,9711,0.912,940,0.088,748,0.832,151,0.168,2431,0.838,471,0.162,4326,0.934,305,0.066,3865,0.845,709,0.155,1759,0.831,358,0.169,8644,0.835,1703,0.165,845,1
Avon and Somerset,6,1,0,0,267,0.752,88,0.248,39,0.565,30,0.435,25,0.893,3,0.107,11,0.786,3,0.214,278,0.955,13,0.045,17,1,0,0,67,0.788,18,0.212,112,0.949,6,0.051,93,0.886,12,0.114,40,0.889,5,0.111,225,0.862,36,0.138,32,1
Bedfordshire,1,1,0,0,81,0.743,28,0.257,5,0.625,3,0.375,17,1,0,0,13,0.929,1,0.071,85,0.934,6,0.066,10,0.833,2,0.167,33,0.846,6,0.154,37,0.925,3,0.075,34,0.791,9,0.209,16,0.696,7,0.304,83,0.892,10,0.108,13,1
Cambridgeshire,0,-,0,-,96,0.733,35,0.267,6,0.75,2,0.25,21,0.913,2,0.087,5,0.556,4,0.444,52,0.897,6,0.103,10,0.909,1,0.091,23,0.92,2,0.08,29,0.906,3,0.094,13,1,0,0,15,0.833,3,0.167,81,0.89,10,0.11,10,1
Cheshire,0,-,0,-,201,0.834,40,0.166,18,0.857,3,0.143,14,0.778,4,0.222,3,0.75,1,0.25,156,0.872,23,0.128,13,0.867,2,0.133,39,0.813,9,0.188,84,0.913,8,0.087,55,0.887,7,0.113,32,0.821,7,0.179,157,0.892,19,0.108,13,1
Cleveland,1,1,0,0,109,0.686,50,0.314,19,0.905,2,0.095,39,0.886,5,0.114,5,0.833,1,0.167,297,0.905,31,0.095,10,0.833,2,0.167,46,0.902,5,0.098,66,0.917,6,0.083,103,0.873,15,0.127,14,0.737,5,0.263,84,0.913,8,0.087,6,1
Cumbria,0,-,0,-,92,0.814,21,0.186,9,0.75,3,0.25,10,0.714,4,0.286,2,1,0,0,93,0.949,5,0.051,7,1,0,0,31,0.969,1,0.031,52,1,0,0,36,0.923,3,0.077,34,0.872,5,0.128,81,0.88,11,0.12,4,1
Derbyshire,0,0,1,1,215,0.762,67,0.238,11,0.611,7,0.389,28,0.875,4,0.125,5,0.714,2,0.286,211,0.942,13,0.058,20,0.952,1,0.048,41,0.788,11,0.212,92,0.929,7,0.071,101,0.795,26,0.205,17,0.739,6,0.261,125,0.899,14,0.101,12,1
Devon and Cornwall,0,-,0,-,190,0.722,73,0.278,4,0.571,3,0.429,19,0.731,7,0.269,8,1,0,0,173,0.945,10,0.055,6,0.75,2,0.25,45,0.918,4,0.082,77,0.939,5,0.061,47,0.825,10,0.175,58,0.967,2,0.033,200,0.897,23,0.103,14,1
Dorset,1,1,0,0,123,0.826,26,0.174,13,0.765,4,0.235,21,0.955,1,0.045,1,1,0,0,111,0.874,16,0.126,8,1,0,0,15,0.789,4,0.211,47,0.94,3,0.06,44,0.898,5,0.102,8,0.889,1,0.111,84,0.894,10,0.106,8,1
Durham,0,-,0,-,114,0.814,26,0.186,8,0.889,1,0.111,35,0.946,2,0.054,3,1,0,0,129,0.908,13,0.092,5,0.714,2,0.286,41,0.854,7,0.146,22,1,0,0,70,0.864,11,0.136,15,0.75,5,0.25,75,0.926,6,0.074,1,1
Dyfed Powys,0,-,0,-,101,0.828,21,0.172,9,0.818,2,0.182,5,1,0,0,1,1,0,0,51,0.944,3,0.056,3,1,0,0,22,0.88,3,0.12,78,0.975,2,0.025,44,0.863,7,0.137,5,0.833,1,0.167,67,0.838,13,0.163,2,1
Essex,2,1,0,0,249,0.743,86,0.257,37,0.649,20,0.351,23,0.92,2,0.08,11,0.733,4,0.267,158,0.873,23,0.127,12,0.75,4,0.25,56,0.862,9,0.138,67,0.827,14,0.173,38,0.704,16,0.296,28,0.8,7,0.2,195,0.709,80,0.291,20,1
Gloucestershire,0,-,0,-,87,0.784,24,0.216,6,0.857,1,0.143,9,1,0,0,1,1,0,0,64,0.941,4,0.059,4,0.8,1,0.2,16,1,0,0,24,0.96,1,0.04,15,0.789,4,0.211,15,0.938,1,0.063,58,0.906,6,0.094,11,1
GreaterManchester,2,0.667,1,0.333,705,0.764,218,0.236,59,0.628,35,0.372,83,0.902,9,0.098,30,0.882,4,0.118,495,0.924,41,0.076,48,0.828,10,0.172,185,0.911,18,0.089,169,0.939,11,0.061,196,0.875,28,0.125,93,0.903,10,0.097,477,0.798,121,0.202,28,1
Gwent,3,0.75,1,0.25,145,0.815,33,0.185,8,0.667,4,0.333,14,0.875,2,0.125,6,0.857,1,0.143,106,0.906,11,0.094,4,1,0,0,32,0.889,4,0.111,51,0.981,1,0.019,52,0.912,5,0.088,9,0.9,1,0.1,67,0.918,6,0.082,4,1
Hampshire,2,1,0,0,320,0.78,90,0.22,38,0.704,16,0.296,28,0.903,3,0.097,25,0.893,3,0.107,236,0.904,25,0.096,15,0.882,2,0.118,58,0.817,13,0.183,79,0.952,4,0.048,108,0.857,18,0.143,24,0.96,1,0.04,225,0.879,31,0.121,10,1
Hertfordshire,1,1,0,0,181,0.718,71,0.282,6,0.857,1,0.143,29,0.879,4,0.121,8,0.889,1,0.111,191,0.888,24,0.112,20,0.87,3,0.13,42,0.808,10,0.192,86,0.956,4,0.044,52,0.825,11,0.175,30,0.811,7,0.189,189,0.822,41,0.178,21,1
Humberside,0,-,0,-,206,0.855,35,0.145,26,0.667,13,0.333,23,0.852,4,0.148,8,1,0,0,203,0.91,20,0.09,11,0.917,1,0.083,34,0.895,4,0.105,60,0.923,5,0.077,87,0.906,9,0.094,30,0.789,8,0.211,126,0.857,21,0.143,11,1
Kent,2,1,0,0,302,0.742,105,0.258,22,0.647,12,0.353,50,0.877,7,0.123,14,0.737,5,0.263,280,0.821,61,0.179,24,0.923,2,0.077,54,0.771,16,0.229,87,0.926,7,0.074,72,0.867,11,0.133,46,0.767,14,0.233,258,0.838,50,0.162,26,1
Lancashire,0,-,0,-,272,0.756,88,0.244,38,0.809,9,0.191,50,0.862,8,0.138,11,0.917,1,0.083,296,0.928,23,0.072,20,0.769,6,0.231,85,0.904,9,0.096,123,0.946,7,0.054,173,0.878,24,0.122,103,0.896,12,0.104,300,0.888,38,0.112,9,1
Leicestershire,1,0.5,1,0.5,167,0.766,51,0.234,6,0.4,9,0.6,15,1,0,0,2,0.5,2,0.5,121,0.89,15,0.11,5,0.833,1,0.167,36,0.818,8,0.182,47,0.94,3,0.06,37,0.86,6,0.14,11,0.579,8,0.421,127,0.784,35,0.216,17,1
Lincolnshire,0,-,0,-,114,0.77,34,0.23,7,0.875,1,0.125,12,0.8,3,0.2,2,1,0,0,140,0.94,9,0.06,5,1,0,0,32,0.914,3,0.086,46,0.958,2,0.042,68,0.883,9,0.117,10,0.833,2,0.167,141,0.82,31,0.18,6,1
Merseyside,6,1,0,0,303,0.765,93,0.235,30,0.857,5,0.143,19,0.826,4,0.174,5,0.625,3,0.375,218,0.94,14,0.06,17,0.944,1,0.056,49,0.79,13,0.21,167,0.893,20,0.107,88,0.838,17,0.162,50,0.725,19,0.275,165,0.851,29,0.149,12,1
Metropolitan and City,15,0.517,14,0.483,1562,0.683,725,0.317,149,0.716,59,0.284,227,0.732,83,0.268,116,0.739,41,0.261,1240,0.871,183,0.129,179,0.765,55,0.235,365,0.833,73,0.167,955,0.917,86,0.083,550,0.793,144,0.207,479,0.804,117,0.196,1418,0.768,429,0.232,198,1
Norfolk,0,-,0,-,171,0.722,66,0.278,6,1,0,0,17,0.85,3,0.15,5,1,0,0,155,0.923,13,0.077,4,0.571,3,0.429,47,0.81,11,0.19,35,0.946,2,0.054,111,0.888,14,0.112,14,0.933,1,0.067,120,0.828,25,0.172,12,1
