location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,107,0.811,25,0.189,5,0.625,3,0.375,24,0.774,7,0.226,2,0.667,1,0.333,145,0.901,16,0.099,7,0.875,1,0.125,41,0.804,10,0.196,22,1,0,0,45,0.849,8,0.151,17,0.895,2,0.105,90,0.957,4,0.043,1,1
Dyfed Powys,0,-,0,-,66,0.776,19,0.224,1,0.5,1,0.5,12,1,0,0,2,0.667,1,0.333,73,0.973,2,0.027,2,1,0,0,29,0.806,7,0.194,70,0.986,1,0.014,52,0.881,7,0.119,22,0.917,2,0.083,151,0.893,18,0.107,7,1
Essex,1,1,0,0,239,0.813,55,0.187,28,0.737,10,0.263,40,0.976,1,0.024,11,1,0,0,195,0.933,14,0.067,29,0.853,5,0.147,65,0.833,13,0.167,80,0.941,5,0.059,60,0.923,5,0.077,46,0.852,8,0.148,186,0.912,18,0.088,14,1
Gloucestershire,1,1,0,0,49,0.845,9,0.155,3,1,0,0,5,1,0,0,2,1,0,0,66,0.892,8,0.108,5,0.833,1,0.167,16,0.762,5,0.238,35,0.946,2,0.054,14,0.778,4,0.222,17,0.895,2,0.105,44,0.88,6,0.12,14,1
GreaterManchester,7,1,0,0,609,0.799,153,0.201,26,0.52,24,0.48,110,0.982,2,0.018,33,0.868,5,0.132,516,0.931,38,0.069,32,0.865,5,0.135,173,0.869,26,0.131,178,0.932,13,0.068,271,0.906,28,0.094,111,0.841,21,0.159,341,0.826,72,0.174,51,1
Gwent,2,1,0,0,95,0.841,18,0.159,8,0.727,3,0.273,22,1,0,0,4,1,0,0,114,0.942,7,0.058,3,1,0,0,41,0.976,1,0.024,30,1,0,0,64,0.914,6,0.086,20,0.833,4,0.167,82,0.854,14,0.146,1,1
Hampshire,0,-,0,-,291,0.724,111,0.276,26,0.703,11,0.297,23,0.852,4,0.148,3,0.75,1,0.25,299,0.934,21,0.066,20,0.741,7,0.259,77,0.794,20,0.206,128,0.962,5,0.038,115,0.906,12,0.094,64,0.831,13,0.169,223,0.861,36,0.139,15,1
Hertfordshire,0,-,0,-,179,0.821,39,0.179,11,0.786,3,0.214,39,0.907,4,0.093,1,0.5,1,0.5,144,0.878,20,0.122,18,0.75,6,0.25,39,0.813,9,0.188,72,0.947,4,0.053,70,0.805,17,0.195,26,0.839,5,0.161,143,0.888,18,0.112,13,1
Humberside,3,1,0,0,178,0.781,50,0.219,18,0.581,13,0.419,38,0.905,4,0.095,8,0.8,2,0.2,203,0.89,25,0.11,12,0.923,1,0.077,42,0.778,12,0.222,71,0.934,5,0.066,126,0.894,15,0.106,32,0.842,6,0.158,118,0.881,16,0.119,17,1
Kent,2,1,0,0,188,0.777,54,0.223,18,0.692,8,0.308,29,0.829,6,0.171,4,0.8,1,0.2,276,0.882,37,0.118,12,0.667,6,0.333,66,0.846,12,0.154,97,0.933,7,0.067,49,0.721,19,0.279,133,0.811,31,0.189,152,0.869,23,0.131,53,1
Lancashire,0,-,0,-,281,0.713,113,0.287,27,0.675,13,0.325,65,0.878,9,0.122,21,0.875,3,0.125,280,0.909,28,0.091,9,0.818,2,0.182,89,0.809,21,0.191,109,0.956,5,0.044,121,0.871,18,0.129,179,0.947,10,0.053,237,0.849,42,0.151,3,1
Leicestershire,0,-,0,-,123,0.774,36,0.226,14,0.778,4,0.222,21,1,0,0,10,0.909,1,0.091,135,0.906,14,0.094,9,0.9,1,0.1,34,0.944,2,0.056,33,0.892,4,0.108,51,0.85,9,0.15,24,0.96,1,0.04,125,0.893,15,0.107,9,1
Lincolnshire,0,-,0,-,82,0.828,17,0.172,7,0.778,2,0.222,8,0.571,6,0.429,5,1,0,0,99,0.9,11,0.1,4,1,0,0,15,0.75,5,0.25,29,0.935,2,0.065,48,0.889,6,0.111,16,0.667,8,0.333,112,0.812,26,0.188,7,1
Merseyside,1,1,0,0,202,0.745,69,0.255,27,0.871,4,0.129,35,0.921,3,0.079,16,0.8,4,0.2,213,0.899,24,0.101,11,0.846,2,0.154,57,0.792,15,0.208,180,0.947,10,0.053,111,0.895,13,0.105,108,0.931,8,0.069,153,0.845,28,0.155,32,1
Metropolitan and City,8,0.615,5,0.385,1230,0.704,516,0.296,122,0.682,57,0.318,237,0.84,45,0.16,155,0.731,57,0.269,1227,0.875,176,0.125,208,0.878,29,0.122,319,0.881,43,0.119,1024,0.928,79,0.072,608,0.823,131,0.177,448,0.793,117,0.207,1207,0.781,339,0.219,184,1
Norfolk,0,-,0,-,185,0.801,46,0.199,8,0.8,2,0.2,13,0.765,4,0.235,7,0.7,3,0.3,161,0.953,8,0.047,6,0.857,1,0.143,47,0.904,5,0.096,72,1,0,0,118,0.915,11,0.085,24,0.727,9,0.273,93,0.838,18,0.162,7,1
Northamptonshire,3,1,0,0,84,0.706,35,0.294,14,1,0,0,21,0.724,8,0.276,4,0.571,3,0.429,110,0.902,12,0.098,7,0.583,5,0.417,24,0.667,12,0.333,36,0.923,3,0.077,52,0.867,8,0.133,13,0.765,4,0.235,118,0.915,11,0.085,10,1
Northumbria,0,-,0,-,265,0.744,91,0.256,22,0.786,6,0.214,58,0.841,11,0.159,5,1,0,0,440,0.88,60,0.12,27,0.964,1,0.036,96,0.807,23,0.193,106,0.883,14,0.117,222,0.796,57,0.204,68,0.791,18,0.209,220,0.809,52,0.191,10,1
North Wales,0,-,0,-,83,0.748,28,0.252,9,0.6,6,0.4,21,1,0,0,2,1,0,0,119,0.96,5,0.04,4,0.571,3,0.429,30,0.938,2,0.063,38,0.974,1,0.026,53,0.914,5,0.086,72,0.947,4,0.053,55,0.809,13,0.191,5,1
North Yorkshire,0,0,1,1,103,0.769,31,0.231,4,0.667,2,0.333,29,0.935,2,0.065,7,0.875,1,0.125,148,0.881,20,0.119,8,0.727,3,0.273,30,0.811,7,0.189,58,0.892,7,0.108,81,0.92,7,0.08,16,0.696,7,0.304,99,0.925,8,0.075,10,1
Nottinghamshire,2,1,0,0,188,0.749,63,0.251,9,0.818,2,0.182,47,0.904,5,0.096,16,0.842,3,0.158,225,0.911,22,0.089,9,0.818,2,0.182,43,0.843,8,0.157,98,0.951,5,0.049,75,0.852,13,0.148,39,0.907,4,0.093,151,0.921,13,0.079,16,1
South Wales,0,-,0,-,285,0.722,110,0.278,20,0.667,10,0.333,36,0.8,9,0.2,5,0.385,8,0.615,277,0.939,18,0.061,20,0.952,1,0.048,75,0.852,13,0.148,153,0.922,13,0.078,149,0.856,25,0.144,64,0.928,5,0.072,363,0.866,56,0.134,18,1
South Yorkshire,1,1,0,0,223,0.796,57,0.204,15,0.882,2,0.118,37,0.822,8,0.178,2,0.4,3,0.6,285,0.95,15,0.05,6,0.6,4,0.4,74,0.871,11,0.129,107,0.922,9,0.078,102,0.903,11,0.097,35,0.875,5,0.125,121,0.917,11,0.083,13,1
Staffordshire,0,-,0,-,156,0.706,65,0.294,25,0.893,3,0.107,20,0.833,4,0.167,8,1,0,0,167,0.954,8,0.046,9,0.6,6,0.4,46,0.821,10,0.179,69,0.932,5,0.068,80,0.833,16,0.167,45,0.918,4,0.082,135,0.828,28,0.172,3,1
Suffolk,0,-,0,-,149,0.837,29,0.163,5,0.833,1,0.167,19,0.826,4,0.174,4,0.571,3,0.429,109,0.956,5,0.044,9,1,0,0,36,0.973,1,0.027,46,0.902,5,0.098,88,0.967,3,0.033,10,0.833,2,0.167,79,0.919,7,0.081,8,1
Surrey,0,0,1,1,98,0.645,54,0.355,11,0.55,9,0.45,17,0.85,3,0.15,0,0,1,1,126,0.887,16,0.113,11,0.733,4,0.267,42,0.875,6,0.125,76,0.905,8,0.095,30,0.6,20,0.4,55,0.724,21,0.276,120,0.851,21,0.149,15,1
Sussex,1,1,0,0,214,0.775,62,0.225,14,0.56,11,0.44,27,0.818,6,0.182,8,0.727,3,0.273,139,0.885,18,0.115,20,0.952,1,0.048,36,0.8,9,0.2,84,0.903,9,0.097,89,0.788,24,0.212,70,0.769,21,0.231,154,0.885,20,0.115,11,1
Thames Valley,1,1,0,0,305,0.676,146,0.324,30,0.769,9,0.231,75,0.852,13,0.148,25,0.862,4,0.138,297,0.874,43,0.126,20,0.8,5,0.2,42,0.824,9,0.176,145,0.948,8,0.052,143,0.905,15,0.095,37,0.881,5,0.119,285,0.831,58,0.169,30,1
Warwickshire,0,-,0,-,54,0.818,12,0.182,9,0.818,2,0.182,5,0.833,1,0.167,1,1,0,0,62,0.912,6,0.088,3,1,0,0,7,0.778,2,0.222,19,0.905,2,0.095,15,0.833,3,0.167,11,0.733,4,0.267,81,0.853,14,0.147,1,1
West Mercia,0,-,0,-,150,0.794,39,0.206,13,0.765,4,0.235,24,0.828,5,0.172,5,0.714,2,0.286,186,0.925,15,0.075,7,0.636,4,0.364,46,0.836,9,0.164,32,1,0,0,66,0.857,11,0.143,25,0.833,5,0.167,150,0.815,34,0.185,3,1
West Midlands,1,0.5,1,0.5,426,0.675,205,0.325,31,0.62,19,0.38,80,0.842,15,0.158,36,0.679,17,0.321,492,0.899,55,0.101,29,0.725,11,0.275,93,0.816,21,0.184,173,0.906,18,0.094,132,0.852,23,0.148,149,0.856,25,0.144,270,0.836,53,0.164,14,1
West Yorkshire,2,0.5,2,0.5,369,0.71,151,0.29,48,0.814,11,0.186,92,0.8,23,0.2,27,0.931,2,0.069,440,0.856,74,0.144,29,0.744,10,0.256,92,0.786,25,0.214,149,0.898,17,0.102,116,0.795,30,0.205,59,0.831,12,0.169,294,0.808,70,0.192,31,1
Wiltshire,0,-,0,-,73,0.88,10,0.12,7,0.7,3,0.3,13,0.765,4,0.235,1,1,0,0,88,0.926,7,0.074,4,1,0,0,17,0.739,6,0.261,27,1,0,0,27,0.964,1,0.036,32,0.889,4,0.111,78,0.886,10,0.114,5,1
