location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,101,0.783,28,0.217,8,0.8,2,0.2,14,0.875,2,0.125,1,1,0,0,118,0.915,11,0.085,9,1,0,0,26,0.839,5,0.161,21,1,0,0,25,0.641,14,0.359,18,0.621,11,0.379,57,0.95,3,0.05,3,1
Dyfed Powys,1,1,0,0,62,0.667,31,0.333,7,0.875,1,0.125,12,0.75,4,0.25,4,1,0,0,55,0.833,11,0.167,6,0.857,1,0.143,21,0.875,3,0.125,63,0.969,2,0.031,28,0.903,3,0.097,15,0.882,2,0.118,153,0.89,19,0.11,4,1
Essex,0,0,1,1,267,0.783,74,0.217,37,0.685,17,0.315,32,0.889,4,0.111,3,0.5,3,0.5,250,0.912,24,0.088,12,0.706,5,0.294,58,0.817,13,0.183,102,0.944,6,0.056,72,0.857,12,0.143,46,0.868,7,0.132,206,0.869,31,0.131,17,1
Gloucestershire,0,-,0,-,62,0.849,11,0.151,3,0.6,2,0.4,9,1,0,0,11,0.786,3,0.214,72,0.973,2,0.027,6,1,0,0,21,0.778,6,0.222,42,0.955,2,0.045,10,0.769,3,0.231,15,0.882,2,0.118,50,0.926,4,0.074,7,1
GreaterManchester,1,0.333,2,0.667,622,0.821,136,0.179,41,0.603,27,0.397,70,0.897,8,0.103,50,0.893,6,0.107,415,0.935,29,0.065,31,0.969,1,0.031,153,0.9,17,0.1,159,0.914,15,0.086,286,0.929,22,0.071,102,0.823,22,0.177,350,0.868,53,0.132,49,1
Gwent,0,-,0,-,64,0.744,22,0.256,7,0.875,1,0.125,16,0.842,3,0.158,0,0,0,0,102,0.962,4,0.038,7,0.875,1,0.125,35,0.972,1,0.028,48,0.941,3,0.059,73,0.973,2,0.027,25,0.862,4,0.138,103,0.936,7,0.064,7,1
Hampshire,1,1,0,0,277,0.763,86,0.237,24,0.632,14,0.368,31,0.756,10,0.244,9,0.75,3,0.25,259,0.935,18,0.065,19,0.864,3,0.136,65,0.915,6,0.085,104,0.904,11,0.096,92,0.807,22,0.193,100,0.935,7,0.065,222,0.854,38,0.146,16,1
Hertfordshire,0,-,0,-,185,0.734,67,0.266,8,1,0,0,26,0.813,6,0.188,5,0.714,2,0.286,166,0.86,27,0.14,10,1,0,0,39,0.83,8,0.17,66,0.917,6,0.083,74,0.902,8,0.098,6,0.667,3,0.333,157,0.793,41,0.207,16,1
Humberside,0,-,0,-,184,0.868,28,0.132,24,0.727,9,0.273,26,0.867,4,0.133,3,0.429,4,0.571,223,0.945,13,0.055,7,0.778,2,0.222,60,0.952,3,0.048,83,0.922,7,0.078,116,0.943,7,0.057,12,0.923,1,0.077,88,0.815,20,0.185,12,1
Kent,1,1,0,0,227,0.686,104,0.314,37,0.771,11,0.229,52,0.8,13,0.2,13,0.929,1,0.071,301,0.846,55,0.154,30,0.789,8,0.211,86,0.768,26,0.232,134,0.931,10,0.069,65,0.813,15,0.188,108,0.766,33,0.234,175,0.825,37,0.175,43,1
Lancashire,1,1,0,0,309,0.737,110,0.263,33,0.66,17,0.34,80,0.941,5,0.059,22,0.917,2,0.083,276,0.958,12,0.042,18,0.9,2,0.1,94,0.839,18,0.161,103,0.963,4,0.037,171,0.895,20,0.105,84,0.778,24,0.222,223,0.864,35,0.136,15,1
Leicestershire,1,1,0,0,167,0.819,37,0.181,13,0.619,8,0.381,31,0.969,1,0.031,11,0.917,1,0.083,104,0.937,7,0.063,4,0.571,3,0.429,30,0.811,7,0.189,37,0.881,5,0.119,54,0.818,12,0.182,15,0.938,1,0.063,108,0.864,17,0.136,12,1
Lincolnshire,0,-,0,-,101,0.777,29,0.223,11,0.846,2,0.154,13,0.929,1,0.071,2,1,0,0,123,0.946,7,0.054,7,0.875,1,0.125,23,0.92,2,0.08,22,0.88,3,0.12,46,0.902,5,0.098,19,0.76,6,0.24,120,0.784,33,0.216,9,1
Merseyside,0,-,0,-,277,0.782,77,0.218,29,0.853,5,0.147,29,0.879,4,0.121,18,0.783,5,0.217,270,0.938,18,0.063,20,0.909,2,0.091,55,0.887,7,0.113,215,0.947,12,0.053,111,0.782,31,0.218,123,0.898,14,0.102,213,0.888,27,0.113,28,1
Metropolitan and City,13,0.813,3,0.188,1281,0.689,577,0.311,94,0.553,76,0.447,246,0.757,79,0.243,153,0.773,45,0.227,1250,0.897,144,0.103,166,0.83,34,0.17,319,0.864,50,0.136,1019,0.949,55,0.051,696,0.822,151,0.178,478,0.827,100,0.173,1246,0.793,325,0.207,258,1
Norfolk,0,-,0,-,157,0.77,47,0.23,18,0.947,1,0.053,15,1,0,0,6,1,0,0,164,0.901,18,0.099,6,1,0,0,44,0.88,6,0.12,48,0.96,2,0.04,107,0.907,11,0.093,18,0.818,4,0.182,118,0.908,12,0.092,4,1
Northamptonshire,0,-,0,-,95,0.779,27,0.221,9,0.692,4,0.308,15,0.75,5,0.25,5,0.625,3,0.375,94,0.862,15,0.138,7,0.583,5,0.417,21,0.808,5,0.192,44,0.88,6,0.12,35,0.897,4,0.103,8,0.727,3,0.273,99,0.9,11,0.1,10,1
Northumbria,1,1,0,0,280,0.729,104,0.271,18,0.6,12,0.4,52,0.897,6,0.103,11,1,0,0,365,0.843,68,0.157,30,0.698,13,0.302,76,0.679,36,0.321,87,0.87,13,0.13,168,0.75,56,0.25,68,0.773,20,0.227,198,0.783,55,0.217,10,1
North Wales,0,-,0,-,117,0.741,41,0.259,12,0.667,6,0.333,23,0.767,7,0.233,6,0.667,3,0.333,146,0.967,5,0.033,13,1,0,0,37,0.822,8,0.178,26,1,0,0,57,0.919,5,0.081,20,0.8,5,0.2,106,0.815,24,0.185,6,1
North Yorkshire,2,1,0,0,105,0.784,29,0.216,3,0.5,3,0.5,17,1,0,0,3,1,0,0,128,0.901,14,0.099,10,1,0,0,26,0.813,6,0.188,31,0.886,4,0.114,72,0.809,17,0.191,12,0.8,3,0.2,140,0.903,15,0.097,9,1
Nottinghamshire,0,0,1,1,233,0.74,82,0.26,13,0.765,4,0.235,40,0.952,2,0.048,6,0.75,2,0.25,188,0.931,14,0.069,5,0.556,4,0.444,53,0.93,4,0.07,118,0.983,2,0.017,66,0.868,10,0.132,40,0.889,5,0.111,150,0.926,12,0.074,14,1
South Wales,0,-,0,-,263,0.701,112,0.299,30,0.769,9,0.231,47,0.87,7,0.13,8,0.889,1,0.111,246,0.925,20,0.075,13,1,0,0,72,0.857,12,0.143,139,0.952,7,0.048,167,0.811,39,0.189,37,0.822,8,0.178,745,0.932,54,0.068,16,1
South Yorkshire,0,-,0,-,240,0.738,85,0.262,14,0.933,1,0.067,36,0.766,11,0.234,19,0.864,3,0.136,345,0.932,25,0.068,12,0.857,2,0.143,75,0.798,19,0.202,113,0.966,4,0.034,106,0.855,18,0.145,20,0.714,8,0.286,141,0.934,10,0.066,13,1
Staffordshire,1,1,0,0,169,0.744,58,0.256,12,0.667,6,0.333,25,0.833,5,0.167,3,0.6,2,0.4,113,0.926,9,0.074,10,0.909,1,0.091,43,0.86,7,0.14,69,0.908,7,0.092,64,0.8,16,0.2,36,0.818,8,0.182,126,0.797,32,0.203,3,1
Suffolk,0,-,0,-,134,0.775,39,0.225,11,0.786,3,0.214,12,1,0,0,2,1,0,0,100,0.943,6,0.057,6,1,0,0,34,0.919,3,0.081,39,0.907,4,0.093,66,0.88,9,0.12,9,0.818,2,0.182,106,0.922,9,0.078,8,1
Surrey,0,-,0,-,78,0.591,54,0.409,14,0.7,6,0.3,8,0.5,8,0.5,1,1,0,0,92,0.8,23,0.2,16,1,0,0,16,0.762,5,0.238,82,0.953,4,0.047,24,0.828,5,0.172,36,0.766,11,0.234,107,0.836,21,0.164,9,1
Sussex,1,1,0,0,222,0.721,86,0.279,14,0.56,11,0.44,33,0.75,11,0.25,8,0.889,1,0.111,192,0.914,18,0.086,21,0.955,1,0.045,49,0.845,9,0.155,94,0.887,12,0.113,61,0.847,11,0.153,70,0.833,14,0.167,201,0.922,17,0.078,12,1
Thames Valley,5,0.833,1,0.167,300,0.674,145,0.326,49,0.71,20,0.29,49,0.831,10,0.169,17,0.895,2,0.105,288,0.883,38,0.117,25,0.893,3,0.107,67,0.807,16,0.193,137,0.856,23,0.144,155,0.812,36,0.188,30,0.75,10,0.25,272,0.832,55,0.168,18,1
Warwickshire,0,-,0,-,49,0.731,18,0.269,5,0.714,2,0.286,16,0.8,4,0.2,3,1,0,0,75,0.882,10,0.118,3,0.6,2,0.4,14,0.824,3,0.176,14,1,0,0,15,0.789,4,0.211,35,0.921,3,0.079,92,0.876,13,0.124,2,1
West Mercia,0,0,3,1,131,0.804,32,0.196,27,0.871,4,0.129,20,0.952,1,0.048,5,0.833,1,0.167,150,0.904,16,0.096,7,0.778,2,0.222,33,0.846,6,0.154,55,0.982,1,0.018,51,0.962,2,0.038,24,0.923,2,0.077,157,0.877,22,0.123,0,-
West Midlands,1,1,0,0,443,0.738,157,0.262,36,0.692,16,0.308,49,0.731,18,0.269,37,0.661,19,0.339,578,0.9,64,0.1,23,0.719,9,0.281,115,0.891,14,0.109,196,0.942,12,0.058,131,0.712,53,0.288,152,0.8,38,0.2,317,0.857,53,0.143,17,1
West Yorkshire,2,0.5,2,0.5,381,0.782,106,0.218,42,0.778,12,0.222,67,0.848,12,0.152,18,0.783,5,0.217,398,0.95,21,0.05,16,0.842,3,0.158,85,0.817,19,0.183,93,0.93,7,0.07,118,0.901,13,0.099,28,0.718,11,0.282,209,0.846,38,0.154,25,1
Wiltshire,0,-,0,-,70,0.833,14,0.167,6,0.667,3,0.333,11,0.786,3,0.214,4,0.8,1,0.2,64,0.914,6,0.086,4,1,0,0,24,0.857,4,0.143,24,1,0,0,28,0.737,10,0.263,14,0.933,1,0.067,65,0.915,6,0.085,1,1
