location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,76,0.826,16,0.174,10958,0.755,3547,0.245,981,0.692,437,0.308,1430,0.832,288,0.168,446,0.756,144,0.244,9248,0.914,866,0.086,822,0.846,150,0.154,2530,0.849,449,0.151,4402,0.937,294,0.063,3875,0.842,725,0.158,1700,0.815,387,0.185,8936,0.849,1585,0.151,1051,1
Avon and Somerset,7,1,0,0,300,0.771,89,0.229,52,0.743,18,0.257,30,0.968,1,0.032,8,0.889,1,0.111,246,0.939,16,0.061,18,0.857,3,0.143,81,0.88,11,0.12,121,0.91,12,0.09,98,0.838,19,0.162,52,0.776,15,0.224,196,0.831,40,0.169,24,1
Bedfordshire,0,-,0,-,93,0.782,26,0.218,4,0.571,3,0.429,16,0.889,2,0.111,5,1,0,0,89,0.947,5,0.053,23,0.958,1,0.042,29,0.829,6,0.171,32,0.914,3,0.086,31,0.775,9,0.225,8,0.5,8,0.5,72,0.911,7,0.089,21,1
Cambridgeshire,0,-,0,-,154,0.837,30,0.163,12,0.857,2,0.143,12,0.8,3,0.2,7,0.583,5,0.417,87,0.897,10,0.103,7,0.875,1,0.125,40,0.87,6,0.13,58,0.951,3,0.049,19,0.864,3,0.136,17,0.708,7,0.292,103,0.928,8,0.072,20,1
Cheshire,1,1,0,0,262,0.856,44,0.144,27,0.9,3,0.1,26,0.867,4,0.133,3,0.75,1,0.25,187,0.935,13,0.065,14,0.933,1,0.067,62,0.925,5,0.075,80,0.976,2,0.024,72,0.837,14,0.163,22,0.815,5,0.185,143,0.905,15,0.095,8,1
Cleveland,0,-,0,-,120,0.75,40,0.25,10,0.588,7,0.412,36,0.9,4,0.1,14,0.824,3,0.176,243,0.935,17,0.065,12,1,0,0,51,0.823,11,0.177,41,0.953,2,0.047,80,0.777,23,0.223,9,0.563,7,0.438,68,0.919,6,0.081,6,1
Cumbria,0,-,0,-,117,0.867,18,0.133,7,0.875,1,0.125,16,0.889,2,0.111,3,1,0,0,81,0.931,6,0.069,14,0.933,1,0.067,42,0.977,1,0.023,45,0.918,4,0.082,16,0.889,2,0.111,42,0.933,3,0.067,89,0.856,15,0.144,2,1
Derbyshire,0,-,0,-,198,0.77,59,0.23,26,0.897,3,0.103,28,0.933,2,0.067,10,0.769,3,0.231,141,0.87,21,0.13,11,0.733,4,0.267,52,0.839,10,0.161,71,0.934,5,0.066,85,0.885,11,0.115,14,0.7,6,0.3,110,0.833,22,0.167,16,1
Devon and Cornwall,0,-,0,-,185,0.777,53,0.223,12,0.923,1,0.077,20,1,0,0,0,0,0,0,148,0.943,9,0.057,9,0.818,2,0.182,61,0.91,6,0.09,64,0.955,3,0.045,54,0.771,16,0.229,71,0.816,16,0.184,249,0.919,22,0.081,20,1
Dorset,0,-,0,-,149,0.784,41,0.216,13,0.722,5,0.278,10,0.769,3,0.231,2,1,0,0,137,0.958,6,0.042,10,1,0,0,26,0.839,5,0.161,51,0.962,2,0.038,62,0.899,7,0.101,4,0.8,1,0.2,90,0.874,13,0.126,15,1
Durham,1,1,0,0,106,0.731,39,0.269,6,0.375,10,0.625,19,0.905,2,0.095,2,1,0,0,98,0.883,13,0.117,8,0.889,1,0.111,35,0.814,8,0.186,16,1,0,0,57,0.919,5,0.081,11,0.846,2,0.154,86,0.935,6,0.065,3,1
