location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Dyfed Powys,0,-,0,-,95,0.704,40,0.296,9,0.563,7,0.438,7,0.778,2,0.222,0,0,0,0,59,0.967,2,0.033,5,0.833,1,0.167,27,0.844,5,0.156,81,0.953,4,0.047,33,0.868,5,0.132,3,0.75,1,0.25,87,0.806,21,0.194,9,1
Essex,4,1,0,0,293,0.704,123,0.296,45,0.726,17,0.274,37,0.787,10,0.213,24,0.667,12,0.333,206,0.928,16,0.072,34,0.872,5,0.128,63,0.863,10,0.137,81,0.9,9,0.1,49,0.891,6,0.109,30,0.698,13,0.302,236,0.771,70,0.229,41,1
Gloucestershire,0,-,0,-,68,0.708,28,0.292,4,1,0,0,11,0.917,1,0.083,5,1,0,0,84,0.955,4,0.045,3,1,0,0,28,0.848,5,0.152,24,0.96,1,0.04,15,0.882,2,0.118,13,0.765,4,0.235,55,0.948,3,0.052,7,1
GreaterManchester,2,0.667,1,0.333,690,0.805,167,0.195,60,0.632,35,0.368,73,0.924,6,0.076,41,0.854,7,0.146,403,0.924,33,0.076,37,0.881,5,0.119,142,0.855,24,0.145,175,0.902,19,0.098,275,0.851,48,0.149,102,0.872,15,0.128,485,0.857,81,0.143,34,1
Gwent,2,1,0,0,141,0.766,43,0.234,6,0.75,2,0.25,13,0.591,9,0.409,4,0.8,1,0.2,112,0.949,6,0.051,6,0.75,2,0.25,40,0.833,8,0.167,56,0.903,6,0.097,40,0.851,7,0.149,7,0.467,8,0.533,99,0.934,7,0.066,6,1
Hampshire,3,1,0,0,323,0.808,77,0.193,33,0.673,16,0.327,41,0.891,5,0.109,2,0.286,5,0.714,264,0.91,26,0.09,23,0.885,3,0.115,57,0.838,11,0.162,97,0.96,4,0.04,114,0.884,15,0.116,13,0.619,8,0.381,267,0.853,46,0.147,20,1
Hertfordshire,1,1,0,0,176,0.769,53,0.231,7,0.778,2,0.222,28,0.848,5,0.152,15,0.833,3,0.167,192,0.91,19,0.09,9,0.75,3,0.25,19,0.559,15,0.441,71,0.922,6,0.078,47,0.81,11,0.19,25,0.806,6,0.194,166,0.851,29,0.149,39,1
Humberside,2,1,0,0,180,0.861,29,0.139,36,0.766,11,0.234,28,0.966,1,0.034,1,0.5,1,0.5,174,0.941,11,0.059,13,0.765,4,0.235,44,1,0,0,54,0.947,3,0.053,74,0.892,9,0.108,19,0.95,1,0.05,130,0.85,23,0.15,13,1
Kent,1,0.5,1,0.5,260,0.722,100,0.278,23,0.605,15,0.395,58,0.829,12,0.171,9,0.563,7,0.438,273,0.861,44,0.139,29,0.879,4,0.121,65,0.844,12,0.156,122,0.946,7,0.054,75,0.852,13,0.148,45,0.714,18,0.286,215,0.892,26,0.108,29,1
Lancashire,4,0.8,1,0.2,323,0.83,66,0.17,30,0.682,14,0.318,60,0.69,27,0.31,12,0.8,3,0.2,281,0.927,22,0.073,14,0.778,4,0.222,97,0.851,17,0.149,132,0.985,2,0.015,115,0.858,19,0.142,118,0.881,16,0.119,263,0.868,40,0.132,13,1
Leicestershire,2,1,0,0,126,0.768,38,0.232,15,0.682,7,0.318,6,0.5,6,0.5,0,0,1,1,73,0.901,8,0.099,7,1,0,0,14,0.609,9,0.391,14,0.778,4,0.222,27,0.931,2,0.069,9,0.818,2,0.182,86,0.789,23,0.211,15,1
Lincolnshire,2,1,0,0,112,0.757,36,0.243,8,0.727,3,0.273,20,0.952,1,0.048,0,0,2,1,143,0.979,3,0.021,6,0.75,2,0.25,37,0.902,4,0.098,28,0.903,3,0.097,73,0.924,6,0.076,9,0.409,13,0.591,145,0.884,19,0.116,14,1
Merseyside,4,0.8,1,0.2,347,0.807,83,0.193,21,0.677,10,0.323,26,0.867,4,0.133,12,0.923,1,0.077,219,0.944,13,0.056,19,0.76,6,0.24,67,0.905,7,0.095,219,0.969,7,0.031,118,0.881,16,0.119,34,0.872,5,0.128,218,0.897,25,0.103,15,1
Metropolitan and City,14,0.875,2,0.125,1625,0.664,823,0.336,144,0.621,88,0.379,261,0.784,72,0.216,121,0.684,56,0.316,1257,0.859,206,0.141,224,0.824,48,0.176,400,0.839,77,0.161,1094,0.922,93,0.078,529,0.788,142,0.212,455,0.808,108,0.192,1483,0.765,456,0.235,287,1
Norfolk,0,-,0,-,174,0.757,56,0.243,8,0.889,1,0.111,17,0.895,2,0.105,5,0.833,1,0.167,126,0.947,7,0.053,4,0.8,1,0.2,44,0.8,11,0.2,53,0.93,4,0.07,92,0.902,10,0.098,17,0.895,2,0.105,116,0.892,14,0.108,5,1
Northamptonshire,0,-,0,-,79,0.712,32,0.288,10,0.714,4,0.286,8,0.667,4,0.333,1,0.5,1,0.5,71,0.91,7,0.09,5,1,0,0,18,0.783,5,0.217,26,0.867,4,0.133,31,0.816,7,0.184,4,0.667,2,0.333,99,0.861,16,0.139,17,1
Northumbria,1,1,0,0,306,0.718,120,0.282,19,0.576,14,0.424,62,0.925,5,0.075,11,1,0,0,441,0.896,51,0.104,18,0.643,10,0.357,125,0.812,29,0.188,98,0.951,5,0.049,226,0.813,52,0.187,50,0.847,9,0.153,281,0.849,50,0.151,21,1
North Wales,3,1,0,0,178,0.757,57,0.243,12,0.667,6,0.333,23,0.793,6,0.207,0,0,3,1,146,0.942,9,0.058,17,0.895,2,0.105,48,0.842,9,0.158,46,0.939,3,0.061,58,0.879,8,0.121,10,0.909,1,0.091,118,0.868,18,0.132,4,1
North Yorkshire,1,1,0,0,123,0.837,24,0.163,12,0.923,1,0.077,19,0.905,2,0.095,1,0.5,1,0.5,141,0.94,9,0.06,12,0.923,1,0.077,37,0.86,6,0.14,59,0.967,2,0.033,98,0.933,7,0.067,15,1,0,0,127,0.894,15,0.106,6,1
Nottinghamshire,3,0.6,2,0.4,274,0.757,88,0.243,15,0.833,3,0.167,39,0.83,8,0.17,7,0.778,2,0.222,226,0.904,24,0.096,20,0.909,2,0.091,53,0.828,11,0.172,102,0.971,3,0.029,94,0.671,46,0.329,41,0.641,23,0.359,158,0.908,16,0.092,22,1
South Wales,2,1,0,0,396,0.74,139,0.26,28,0.622,17,0.378,51,0.864,8,0.136,9,0.818,2,0.182,313,0.932,23,0.068,14,0.7,6,0.3,64,0.865,10,0.135,221,0.961,9,0.039,170,0.859,28,0.141,16,0.889,2,0.111,720,0.933,52,0.067,18,1
South Yorkshire,2,0.5,2,0.5,262,0.801,65,0.199,5,0.625,3,0.375,38,0.95,2,0.05,11,1,0,0,317,0.938,21,0.062,19,0.95,1,0.05,58,0.906,6,0.094,116,0.959,5,0.041,100,0.885,13,0.115,30,0.882,4,0.118,165,0.846,30,0.154,14,1
Staffordshire,2,0.667,1,0.333,195,0.783,54,0.217,23,0.821,5,0.179,35,0.814,8,0.186,3,0.75,1,0.25,181,0.933,13,0.067,8,0.615,5,0.385,45,0.918,4,0.082,73,0.924,6,0.076,56,0.889,7,0.111,55,0.902,6,0.098,153,0.781,43,0.219,31,1
Suffolk,0,-,0,-,124,0.761,39,0.239,5,1,0,0,10,0.769,3,0.231,1,1,0,0,78,0.907,8,0.093,7,0.875,1,0.125,26,0.867,4,0.133,37,0.974,1,0.026,36,0.878,5,0.122,7,0.778,2,0.222,90,0.849,16,0.151,4,1
Surrey,0,-,0,-,195,0.728,73,0.272,11,0.55,9,0.45,10,0.909,1,0.091,4,1,0,0,84,0.913,8,0.087,11,0.846,2,0.154,14,0.824,3,0.176,55,0.932,4,0.068,43,0.878,6,0.122,18,0.857,3,0.143,168,0.88,23,0.12,12,1
Sussex,0,-,0,-,276,0.752,91,0.248,39,0.78,11,0.22,24,0.8,6,0.2,7,0.7,3,0.3,206,0.896,24,0.104,18,0.9,2,0.1,51,0.864,8,0.136,94,0.949,5,0.051,91,0.784,25,0.216,25,0.833,5,0.167,258,0.908,26,0.092,23,1
Thames Valley,2,0.667,1,0.333,373,0.774,109,0.226,48,0.6,32,0.4,26,0.703,11,0.297,9,0.692,4,0.308,313,0.918,28,0.082,31,0.838,6,0.162,64,0.865,10,0.135,145,0.948,8,0.052,147,0.865,23,0.135,37,0.74,13,0.26,276,0.914,26,0.086,29,1
Warwickshire,1,1,0,0,92,0.876,13,0.124,5,0.833,1,0.167,5,0.833,1,0.167,3,1,0,0,71,0.934,5,0.066,5,0.833,1,0.167,14,0.824,3,0.176,21,0.955,1,0.045,17,0.81,4,0.19,17,0.895,2,0.105,66,0.776,19,0.224,6,1
West Mercia,1,1,0,0,230,0.813,53,0.187,29,0.763,9,0.237,21,0.875,3,0.125,0,0,0,0,199,0.948,11,0.052,9,0.9,1,0.1,46,0.868,7,0.132,61,0.984,1,0.016,53,0.898,6,0.102,29,0.935,2,0.065,188,0.839,36,0.161,17,1
West Midlands,4,0.571,3,0.429,674,0.755,219,0.245,55,0.764,17,0.236,75,0.815,17,0.185,45,0.882,6,0.118,648,0.918,58,0.082,37,0.974,1,0.026,115,0.793,30,0.207,231,0.939,15,0.061,202,0.856,34,0.144,130,0.884,17,0.116,406,0.812,94,0.188,104,1
West Yorkshire,4,0.8,1,0.2,455,0.742,158,0.258,36,0.632,21,0.368,75,0.824,16,0.176,27,0.794,7,0.206,392,0.942,24,0.058,23,0.793,6,0.207,105,0.868,16,0.132,118,0.915,11,0.085,164,0.845,30,0.155,62,0.925,5,0.075,337,0.851,59,0.149,37,1
Wiltshire,0,-,0,-,109,0.901,12,0.099,11,0.786,3,0.214,10,0.909,1,0.091,2,0.667,1,0.333,98,0.933,7,0.067,9,0.9,1,0.1,24,0.857,4,0.143,19,0.864,3,0.136,39,0.907,4,0.093,5,0.833,1,0.167,69,0.885,9,0.115,4,1
