location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,128,0.744,44,0.256,9,0.5,9,0.5,34,0.829,7,0.171,3,1,0,0,157,0.952,8,0.048,7,0.636,4,0.364,45,0.763,14,0.237,28,0.875,4,0.125,59,0.843,11,0.157,6,0.857,1,0.143,88,0.889,11,0.111,0,-
Dyfed Powys,1,1,0,0,64,0.653,34,0.347,8,1,0,0,10,0.769,3,0.231,0,0,0,0,51,0.836,10,0.164,6,0.6,4,0.4,14,0.7,6,0.3,69,0.958,3,0.042,31,0.939,2,0.061,2,1,0,0,68,0.81,16,0.19,1,1
Essex,0,-,0,-,294,0.76,93,0.24,38,0.704,16,0.296,45,0.9,5,0.1,12,0.75,4,0.25,233,0.917,21,0.083,23,0.958,1,0.042,73,0.936,5,0.064,109,0.982,2,0.018,51,0.85,9,0.15,36,0.766,11,0.234,222,0.871,33,0.129,20,1
Gloucestershire,0,-,0,-,74,0.804,18,0.196,4,1,0,0,27,1,0,0,5,0.714,2,0.286,74,0.892,9,0.108,6,0.667,3,0.333,22,0.917,2,0.083,35,0.946,2,0.054,9,0.643,5,0.357,26,0.788,7,0.212,61,0.897,7,0.103,8,1
GreaterManchester,3,1,0,0,700,0.817,157,0.183,52,0.65,28,0.35,91,0.91,9,0.09,33,0.805,8,0.195,473,0.956,22,0.044,43,0.896,5,0.104,140,0.897,16,0.103,207,0.941,13,0.059,267,0.856,45,0.144,47,0.839,9,0.161,373,0.844,69,0.156,21,1
Gwent,2,1,0,0,111,0.787,30,0.213,11,0.917,1,0.083,12,1,0,0,6,0.857,1,0.143,119,0.937,8,0.063,8,1,0,0,41,0.911,4,0.089,49,0.925,4,0.075,66,0.868,10,0.132,3,1,0,0,77,0.885,10,0.115,2,1
Hampshire,3,1,0,0,299,0.791,79,0.209,40,0.656,21,0.344,41,0.804,10,0.196,11,0.917,1,0.083,287,0.905,30,0.095,12,0.8,3,0.2,67,0.848,12,0.152,113,0.926,9,0.074,107,0.849,19,0.151,26,0.722,10,0.278,227,0.819,50,0.181,13,1
Hertfordshire,0,0,1,1,208,0.756,67,0.244,11,0.917,1,0.083,21,0.75,7,0.25,10,0.556,8,0.444,182,0.91,18,0.09,8,0.889,1,0.111,28,0.875,4,0.125,81,0.953,4,0.047,57,0.864,9,0.136,18,0.72,7,0.28,167,0.799,42,0.201,7,1
Humberside,1,0.5,1,0.5,193,0.846,35,0.154,23,0.793,6,0.207,36,0.878,5,0.122,11,0.917,1,0.083,237,0.937,16,0.063,14,0.933,1,0.067,49,0.86,8,0.14,66,0.904,7,0.096,80,0.899,9,0.101,20,0.909,2,0.091,123,0.866,19,0.134,17,1
Kent,0,0,1,1,267,0.756,86,0.244,33,0.786,9,0.214,68,0.895,8,0.105,15,0.75,5,0.25,324,0.931,24,0.069,25,0.781,7,0.219,67,0.827,14,0.173,99,0.925,8,0.075,82,0.739,29,0.261,77,0.906,8,0.094,202,0.91,20,0.09,25,1
Lancashire,2,1,0,0,323,0.776,93,0.224,22,0.595,15,0.405,76,0.927,6,0.073,20,0.909,2,0.091,449,0.916,41,0.084,25,0.893,3,0.107,104,0.937,7,0.063,122,0.968,4,0.032,162,0.862,26,0.138,115,0.839,22,0.161,327,0.854,56,0.146,7,1
Leicestershire,0,0,1,1,176,0.779,50,0.221,12,0.75,4,0.25,33,0.943,2,0.057,10,0.909,1,0.091,174,0.911,17,0.089,19,0.792,5,0.208,40,0.909,4,0.091,44,0.898,5,0.102,40,0.741,14,0.259,20,0.833,4,0.167,128,0.865,20,0.135,10,1
Lincolnshire,1,0.5,1,0.5,107,0.823,23,0.177,0,0,0,0,13,1,0,0,3,0.6,2,0.4,96,0.906,10,0.094,9,0.9,1,0.1,26,0.788,7,0.212,36,0.923,3,0.077,55,0.917,5,0.083,14,0.636,8,0.364,139,0.842,26,0.158,15,1
Merseyside,4,1,0,0,318,0.797,81,0.203,34,0.708,14,0.292,45,0.978,1,0.022,8,0.889,1,0.111,298,0.968,10,0.032,14,0.7,6,0.3,63,0.788,17,0.213,243,0.935,17,0.065,112,0.824,24,0.176,112,0.889,14,0.111,183,0.839,35,0.161,11,1
Metropolitan and City,13,0.722,5,0.278,1426,0.679,675,0.321,155,0.714,62,0.286,216,0.797,55,0.203,106,0.779,30,0.221,1285,0.894,153,0.106,211,0.841,40,0.159,311,0.823,67,0.177,1045,0.922,89,0.078,656,0.793,171,0.207,489,0.818,109,0.182,1358,0.793,354,0.207,146,1
Norfolk,0,-,0,-,203,0.853,35,0.147,6,1,0,0,18,0.857,3,0.143,6,1,0,0,143,0.917,13,0.083,4,0.8,1,0.2,53,0.883,7,0.117,54,0.947,3,0.053,106,0.898,12,0.102,12,0.857,2,0.143,118,0.908,12,0.092,9,1
Northamptonshire,0,-,0,-,122,0.819,27,0.181,9,0.45,11,0.55,18,0.75,6,0.25,6,0.545,5,0.455,137,0.901,15,0.099,7,1,0,0,37,0.86,6,0.14,40,1,0,0,45,0.849,8,0.151,19,0.76,6,0.24,120,0.909,12,0.091,6,1
Northumbria,2,1,0,0,254,0.661,130,0.339,25,0.806,6,0.194,55,0.821,12,0.179,10,0.833,2,0.167,460,0.904,49,0.096,24,0.857,4,0.143,113,0.843,21,0.157,108,0.915,10,0.085,243,0.789,65,0.211,73,0.802,18,0.198,248,0.827,52,0.173,25,1
North Wales,0,-,0,-,142,0.772,42,0.228,16,0.615,10,0.385,28,0.875,4,0.125,5,1,0,0,136,0.965,5,0.035,8,0.8,2,0.2,28,0.824,6,0.176,36,0.947,2,0.053,86,0.966,3,0.034,15,0.833,3,0.167,86,0.851,15,0.149,10,1
North Yorkshire,0,-,0,-,112,0.836,22,0.164,1,0.5,1,0.5,23,0.852,4,0.148,3,0.75,1,0.25,130,0.872,19,0.128,14,0.7,6,0.3,36,0.9,4,0.1,40,0.909,4,0.091,55,0.902,6,0.098,24,0.889,3,0.111,130,0.861,21,0.139,4,1
Nottinghamshire,0,-,0,-,234,0.738,83,0.262,14,0.778,4,0.222,25,0.735,9,0.265,9,0.9,1,0.1,248,0.905,26,0.095,11,0.733,4,0.267,89,0.864,14,0.136,113,0.919,10,0.081,96,0.821,21,0.179,44,0.815,10,0.185,141,0.887,18,0.113,19,1
South Wales,1,1,0,0,323,0.698,140,0.302,17,0.548,14,0.452,51,0.879,7,0.121,10,0.526,9,0.474,281,0.915,26,0.085,15,0.938,1,0.063,86,0.945,5,0.055,119,0.908,12,0.092,145,0.853,25,0.147,8,0.615,5,0.385,658,0.893,79,0.107,13,1
South Yorkshire,0,-,0,-,236,0.789,63,0.211,10,0.833,2,0.167,57,0.877,8,0.123,17,0.739,6,0.261,338,0.929,26,0.071,15,0.882,2,0.118,82,0.837,16,0.163,96,0.96,4,0.04,98,0.925,8,0.075,34,0.829,7,0.171,157,0.892,19,0.108,12,1
Staffordshire,2,1,0,0,225,0.771,67,0.229,14,0.7,6,0.3,42,0.875,6,0.125,10,0.833,2,0.167,219,0.913,21,0.088,11,0.917,1,0.083,58,0.866,9,0.134,88,0.957,4,0.043,78,0.757,25,0.243,33,0.971,1,0.029,156,0.768,47,0.232,14,1
Suffolk,0,-,0,-,139,0.837,27,0.163,8,0.889,1,0.111,16,0.842,3,0.158,1,1,0,0,98,0.951,5,0.049,5,1,0,0,38,0.927,3,0.073,37,0.949,2,0.051,52,0.852,9,0.148,7,0.778,2,0.222,107,0.863,17,0.137,5,1
Surrey,0,-,0,-,162,0.74,57,0.26,7,0.583,5,0.417,13,0.722,5,0.278,4,0.571,3,0.429,93,0.912,9,0.088,13,0.867,2,0.133,23,0.697,10,0.303,64,0.97,2,0.03,48,0.762,15,0.238,22,0.688,10,0.313,121,0.883,16,0.117,7,1
Sussex,1,1,0,0,270,0.801,67,0.199,30,0.75,10,0.25,30,0.909,3,0.091,10,0.769,3,0.231,224,0.896,26,0.104,27,0.9,3,0.1,65,0.833,13,0.167,91,0.883,12,0.117,83,0.798,21,0.202,63,0.875,9,0.125,228,0.891,28,0.109,16,1
Thames Valley,2,1,0,0,381,0.7,163,0.3,45,0.634,26,0.366,47,0.87,7,0.13,15,0.682,7,0.318,321,0.904,34,0.096,29,0.879,4,0.121,66,0.825,14,0.175,142,0.947,8,0.053,127,0.836,25,0.164,26,0.605,17,0.395,258,0.846,47,0.154,25,1
Warwickshire,0,0,1,1,66,0.776,19,0.224,5,0.833,1,0.167,9,0.9,1,0.1,2,0.333,4,0.667,73,0.89,9,0.11,6,1,0,0,10,0.833,2,0.167,26,0.929,2,0.071,16,0.696,7,0.304,25,0.862,4,0.138,81,0.802,20,0.198,3,1
West Mercia,5,1,0,0,223,0.777,64,0.223,22,0.733,8,0.267,19,0.731,7,0.269,7,0.7,3,0.3,189,0.94,12,0.06,11,0.786,3,0.214,46,0.92,4,0.08,42,0.955,2,0.045,52,0.839,10,0.161,35,0.897,4,0.103,146,0.896,17,0.104,2,1
West Midlands,2,1,0,0,513,0.725,195,0.275,38,0.717,15,0.283,84,0.884,11,0.116,46,0.719,18,0.281,683,0.938,45,0.062,31,0.795,8,0.205,120,0.845,22,0.155,208,0.924,17,0.076,152,0.889,19,0.111,135,0.888,17,0.112,335,0.829,69,0.171,47,1
West Yorkshire,8,0.889,1,0.111,470,0.745,161,0.255,51,0.75,17,0.25,61,0.701,26,0.299,22,0.733,8,0.267,447,0.905,47,0.095,34,0.739,12,0.261,102,0.911,10,0.089,152,0.933,11,0.067,145,0.873,21,0.127,56,0.862,9,0.138,314,0.828,65,0.172,24,1
Wiltshire,1,1,0,0,139,0.822,30,0.178,15,0.75,5,0.25,7,1,0,0,3,1,0,0,105,0.882,14,0.118,5,1,0,0,28,0.903,3,0.097,39,0.907,4,0.093,63,0.875,9,0.125,5,0.625,3,0.375,71,0.855,12,0.145,2,1
