location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Lancashire,1,1,0,0,293,0.769,88,0.231,25,0.758,8,0.242,56,0.875,8,0.125,16,0.727,6,0.273,301,0.912,29,0.088,16,1,0,0,102,0.85,18,0.15,99,0.943,6,0.057,192,0.928,15,0.072,121,0.938,8,0.062,255,0.836,50,0.164,26,1
Leicestershire,0,-,0,-,194,0.815,44,0.185,14,0.778,4,0.222,28,0.933,2,0.067,4,0.5,4,0.5,155,0.945,9,0.055,24,0.8,6,0.2,30,0.833,6,0.167,37,0.902,4,0.098,52,0.897,6,0.103,10,0.667,5,0.333,150,0.872,22,0.128,5,1
Lincolnshire,0,-,0,-,83,0.769,25,0.231,7,0.636,4,0.364,25,1,0,0,0,0,0,0,120,0.93,9,0.07,3,1,0,0,22,0.917,2,0.083,17,0.895,2,0.105,47,0.783,13,0.217,23,0.92,2,0.08,106,0.791,28,0.209,9,1
Merseyside,2,1,0,0,252,0.78,71,0.22,21,0.808,5,0.192,36,0.9,4,0.1,23,0.697,10,0.303,272,0.913,26,0.087,14,0.875,2,0.125,65,0.915,6,0.085,264,0.981,5,0.019,84,0.816,19,0.184,157,0.872,23,0.128,208,0.878,29,0.122,15,1
Metropolitan and City,29,0.725,11,0.275,1126,0.693,499,0.307,127,0.672,62,0.328,212,0.76,67,0.24,179,0.836,35,0.164,1254,0.897,144,0.103,215,0.878,30,0.122,301,0.843,56,0.157,1134,0.951,59,0.049,669,0.808,159,0.192,453,0.837,88,0.163,1348,0.793,351,0.207,176,1
Norfolk,0,-,0,-,133,0.778,38,0.222,15,0.882,2,0.118,18,0.857,3,0.143,8,1,0,0,122,0.917,11,0.083,6,0.75,2,0.25,38,0.927,3,0.073,66,0.971,2,0.029,84,0.866,13,0.134,54,0.885,7,0.115,98,0.867,15,0.133,9,1
Northamptonshire,0,-,0,-,92,0.687,42,0.313,7,0.636,4,0.364,16,0.889,2,0.111,9,1,0,0,100,0.833,20,0.167,8,0.727,3,0.273,19,0.679,9,0.321,38,0.864,6,0.136,41,0.932,3,0.068,13,0.722,5,0.278,99,0.917,9,0.083,11,1
Northumbria,0,-,0,-,253,0.668,126,0.332,15,0.5,15,0.5,69,0.932,5,0.068,11,0.846,2,0.154,504,0.856,85,0.144,27,0.818,6,0.182,100,0.741,35,0.259,132,0.83,27,0.17,119,0.773,35,0.227,193,0.801,48,0.199,226,0.799,57,0.201,16,1
North Wales,0,-,0,-,93,0.877,13,0.123,15,0.714,6,0.286,18,0.783,5,0.217,3,1,0,0,140,0.946,8,0.054,7,0.875,1,0.125,35,0.972,1,0.028,39,0.951,2,0.049,43,0.86,7,0.14,83,0.976,2,0.024,300,0.949,16,0.051,4,1
North Yorkshire,1,1,0,0,110,0.902,12,0.098,4,0.8,1,0.2,20,0.909,2,0.091,3,0.75,1,0.25,132,0.936,9,0.064,8,1,0,0,42,0.894,5,0.106,40,0.87,6,0.13,80,0.879,11,0.121,21,0.75,7,0.25,110,0.932,8,0.068,5,1
Nottinghamshire,6,0.545,5,0.455,199,0.748,67,0.252,8,0.471,9,0.529,47,0.87,7,0.13,12,0.75,4,0.25,222,0.929,17,0.071,16,0.8,4,0.2,48,0.842,9,0.158,90,0.947,5,0.053,66,0.742,23,0.258,66,0.868,10,0.132,160,0.899,18,0.101,9,1
South Wales,1,1,0,0,281,0.755,91,0.245,22,0.759,7,0.241,50,0.877,7,0.123,13,0.619,8,0.381,316,0.96,13,0.04,18,0.947,1,0.053,81,0.871,12,0.129,163,0.964,6,0.036,200,0.922,17,0.078,66,0.868,10,0.132,653,0.895,77,0.105,14,1
South Yorkshire,0,-,0,-,199,0.793,52,0.207,6,0.6,4,0.4,33,0.892,4,0.108,6,0.6,4,0.4,351,0.929,27,0.071,8,0.727,3,0.273,77,0.951,4,0.049,94,0.979,2,0.021,125,0.933,9,0.067,39,0.886,5,0.114,188,0.913,18,0.087,11,1
Staffordshire,1,1,0,0,150,0.714,60,0.286,9,0.692,4,0.308,32,0.889,4,0.111,6,0.462,7,0.538,182,0.892,22,0.108,9,0.692,4,0.308,46,0.821,10,0.179,65,0.942,4,0.058,92,0.786,25,0.214,43,0.86,7,0.14,134,0.793,35,0.207,7,1
Suffolk,0,-,0,-,106,0.797,27,0.203,10,0.909,1,0.091,5,1,0,0,3,0.6,2,0.4,88,0.957,4,0.043,4,0.667,2,0.333,30,1,0,0,42,0.955,2,0.045,67,0.971,2,0.029,15,0.789,4,0.211,65,0.878,9,0.122,1,1
Surrey,0,-,0,-,81,0.73,30,0.27,10,0.526,9,0.474,28,0.824,6,0.176,5,1,0,0,109,0.879,15,0.121,17,0.895,2,0.105,31,0.838,6,0.162,90,0.947,5,0.053,42,0.894,5,0.106,55,0.775,16,0.225,128,0.853,22,0.147,10,1
Sussex,1,1,0,0,162,0.701,69,0.299,26,0.667,13,0.333,25,0.758,8,0.242,7,0.7,3,0.3,219,0.876,31,0.124,22,1,0,0,46,0.807,11,0.193,83,0.892,10,0.108,83,0.79,22,0.21,67,0.798,17,0.202,173,0.874,25,0.126,16,1
Thames Valley,1,1,0,0,294,0.681,138,0.319,26,0.765,8,0.235,48,0.774,14,0.226,20,0.833,4,0.167,409,0.87,61,0.13,22,0.759,7,0.241,59,0.808,14,0.192,148,0.836,29,0.164,169,0.816,38,0.184,46,0.793,12,0.207,551,0.866,85,0.134,40,1
Warwickshire,0,-,0,-,50,0.833,10,0.167,3,0.6,2,0.4,9,0.818,2,0.182,1,0.5,1,0.5,59,0.967,2,0.033,0,0,1,1,23,0.958,1,0.042,16,0.941,1,0.059,19,0.731,7,0.269,17,0.739,6,0.261,124,0.925,10,0.075,4,1
West Mercia,1,1,0,0,172,0.819,38,0.181,19,0.864,3,0.136,37,0.804,9,0.196,4,0.333,8,0.667,194,0.946,11,0.054,10,0.556,8,0.444,37,0.86,6,0.14,61,0.91,6,0.09,73,0.869,11,0.131,26,0.839,5,0.161,187,0.858,31,0.142,7,1
West Midlands,1,1,0,0,434,0.713,175,0.287,29,0.659,15,0.341,97,0.874,14,0.126,37,0.638,21,0.362,534,0.911,52,0.089,33,0.75,11,0.25,103,0.817,23,0.183,202,0.906,21,0.094,111,0.799,28,0.201,123,0.759,39,0.241,294,0.872,43,0.128,33,1
West Yorkshire,1,1,0,0,370,0.803,91,0.197,39,0.765,12,0.235,80,0.879,11,0.121,17,0.63,10,0.37,434,0.912,42,0.088,19,0.95,1,0.05,83,0.748,28,0.252,112,0.926,9,0.074,144,0.828,30,0.172,61,0.938,4,0.062,271,0.869,41,0.131,18,1
Wiltshire,0,-,0,-,98,0.824,21,0.176,5,0.625,3,0.375,9,0.75,3,0.25,5,0.455,6,0.545,93,0.877,13,0.123,9,0.818,2,0.182,18,0.818,4,0.182,37,0.949,2,0.051,25,0.833,5,0.167,19,0.704,8,0.296,98,0.951,5,0.049,8,1
