location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,69,0.802,17,0.198,8178,0.753,2684,0.247,721,0.699,310,0.301,1562,0.854,267,0.146,532,0.764,164,0.236,10146,0.909,1017,0.091,754,0.856,127,0.144,2403,0.855,406,0.145,4510,0.935,312,0.065,4022,0.85,711,0.15,2753,0.844,510,0.156,8615,0.856,1446,0.144,726,1
Avon and Somerset,1,1,0,0,210,0.792,55,0.208,29,0.63,17,0.37,38,0.864,6,0.136,8,1,0,0,287,0.938,19,0.062,24,0.96,1,0.04,63,0.818,14,0.182,116,0.959,5,0.041,65,0.823,14,0.177,91,0.85,16,0.15,141,0.712,57,0.288,15,1
Bedfordshire,1,1,0,0,69,0.676,33,0.324,8,0.8,2,0.2,5,0.714,2,0.286,6,0.857,1,0.143,82,0.845,15,0.155,8,0.889,1,0.111,16,0.762,5,0.238,25,0.893,3,0.107,27,0.794,7,0.206,13,0.722,5,0.278,63,0.851,11,0.149,21,1
Cambridgeshire,0,-,0,-,73,0.753,24,0.247,5,0.833,1,0.167,16,0.941,1,0.059,4,1,0,0,106,0.938,7,0.062,10,0.769,3,0.231,25,0.862,4,0.138,39,0.975,1,0.025,26,0.813,6,0.188,24,1,0,0,74,0.881,10,0.119,5,1
Cheshire,1,1,0,0,167,0.839,32,0.161,10,0.909,1,0.091,34,0.944,2,0.056,0,0,1,1,194,0.951,10,0.049,9,0.818,2,0.182,40,0.909,4,0.091,73,0.913,7,0.088,60,0.938,4,0.063,61,0.938,4,0.062,154,0.906,16,0.094,19,1
Cleveland,1,1,0,0,99,0.692,44,0.308,7,0.7,3,0.3,33,0.846,6,0.154,5,1,0,0,219,0.873,32,0.127,8,0.727,3,0.273,46,0.807,11,0.193,67,0.893,8,0.107,114,0.781,32,0.219,12,0.706,5,0.294,97,0.808,23,0.192,3,1
Cumbria,0,-,0,-,67,0.798,17,0.202,8,0.889,1,0.111,14,1,0,0,0,0,0,0,86,0.935,6,0.065,2,0.667,1,0.333,32,0.914,3,0.086,49,1,0,0,25,0.962,1,0.038,75,0.962,3,0.038,71,0.877,10,0.123,8,1
Derbyshire,0,-,0,-,142,0.763,44,0.237,13,0.765,4,0.235,22,0.957,1,0.043,12,0.632,7,0.368,210,0.879,29,0.121,11,0.917,1,0.083,42,0.977,1,0.023,74,0.914,7,0.086,60,0.882,8,0.118,37,0.74,13,0.26,132,0.88,18,0.12,7,1
Devon and Cornwall,1,1,0,0,171,0.76,54,0.24,11,0.733,4,0.267,28,0.933,2,0.067,3,1,0,0,154,0.895,18,0.105,9,0.818,2,0.182,57,0.891,7,0.109,80,0.964,3,0.036,62,0.849,11,0.151,92,0.885,12,0.115,193,0.915,18,0.085,9,1
Dorset,0,-,0,-,118,0.819,26,0.181,11,0.611,7,0.389,15,0.625,9,0.375,0,0,0,0,170,0.934,12,0.066,6,1,0,0,36,0.857,6,0.143,41,0.953,2,0.047,70,0.946,4,0.054,19,0.679,9,0.321,93,0.83,19,0.17,11,1
Durham,0,-,0,-,93,0.795,24,0.205,8,0.615,5,0.385,20,0.741,7,0.259,7,1,0,0,156,0.872,23,0.128,12,0.857,2,0.143,41,0.932,3,0.068,22,0.917,2,0.083,82,0.891,10,0.109,18,0.9,2,0.1,80,0.842,15,0.158,2,1
Dyfed Powys,0,-,0,-,86,0.869,13,0.131,4,0.667,2,0.333,8,1,0,0,2,1,0,0,36,0.923,3,0.077,2,1,0,0,23,0.793,6,0.207,85,0.988,1,0.012,49,0.891,6,0.109,18,0.9,2,0.1,178,0.932,13,0.068,3,1
Essex,2,1,0,0,256,0.785,70,0.215,16,0.696,7,0.304,40,0.889,5,0.111,11,0.917,1,0.083,289,0.951,15,0.049,17,0.85,3,0.15,71,0.91,7,0.09,88,0.989,1,0.011,71,0.845,13,0.155,108,0.931,8,0.069,204,0.899,23,0.101,11,1
Gloucestershire,0,-,0,-,41,0.82,9,0.18,3,1,0,0,13,0.929,1,0.071,3,1,0,0,76,0.95,4,0.05,5,1,0,0,24,0.923,2,0.077,33,1,0,0,16,0.889,2,0.111,7,0.636,4,0.364,41,0.872,6,0.128,18,1
GreaterManchester,0,-,0,-,474,0.766,145,0.234,41,0.672,20,0.328,79,0.84,15,0.16,40,0.889,5,0.111,515,0.941,32,0.059,45,0.957,2,0.043,171,0.9,19,0.1,199,0.934,14,0.066,291,0.901,32,0.099,137,0.851,24,0.149,387,0.847,70,0.153,51,1
Gwent,0,-,0,-,77,0.713,31,0.287,10,0.714,4,0.286,28,0.875,4,0.125,5,1,0,0,96,0.906,10,0.094,9,1,0,0,28,0.933,2,0.067,55,0.932,4,0.068,50,0.847,9,0.153,29,0.725,11,0.275,82,0.911,8,0.089,4,1
Hampshire,0,-,0,-,351,0.745,120,0.255,19,0.633,11,0.367,50,0.893,6,0.107,8,0.667,4,0.333,395,0.902,43,0.098,10,0.909,1,0.091,115,0.816,26,0.184,146,0.93,11,0.07,138,0.857,23,0.143,79,0.798,20,0.202,214,0.793,56,0.207,26,1
Hertfordshire,2,1,0,0,146,0.756,47,0.244,10,0.769,3,0.231,21,0.875,3,0.125,8,0.615,5,0.385,198,0.884,26,0.116,17,0.944,1,0.056,43,0.935,3,0.065,88,0.898,10,0.102,62,0.765,19,0.235,21,0.677,10,0.323,155,0.833,31,0.167,10,1
Humberside,0,-,0,-,135,0.839,26,0.161,18,0.643,10,0.357,48,0.906,5,0.094,5,0.556,4,0.444,280,0.927,22,0.073,10,0.769,3,0.231,43,0.896,5,0.104,73,0.986,1,0.014,71,0.973,2,0.027,24,0.857,4,0.143,159,0.909,16,0.091,12,1
Kent,14,0.933,1,0.067,178,0.805,43,0.195,28,0.8,7,0.2,52,0.912,5,0.088,13,1,0,0,287,0.903,31,0.097,25,0.833,5,0.167,51,0.85,9,0.15,88,0.889,11,0.111,56,0.918,5,0.082,117,0.854,20,0.146,171,0.886,22,0.114,37,1
