location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,51,0.823,11,0.177,9087,0.756,2930,0.244,736,0.72,286,0.28,1715,0.858,284,0.142,522,0.79,139,0.21,11057,0.917,998,0.083,846,0.861,137,0.139,2693,0.851,472,0.149,4988,0.942,305,0.058,4752,0.856,797,0.144,3291,0.849,586,0.151,12945,0.898,1466,0.102,890,1
Avon and Somerset,0,-,0,-,228,0.786,62,0.214,35,0.673,17,0.327,49,0.98,1,0.02,8,1,0,0,338,0.914,32,0.086,18,1,0,0,93,0.869,14,0.131,148,0.974,4,0.026,123,0.815,28,0.185,63,0.875,9,0.125,256,0.865,40,0.135,20,1
Bedfordshire,0,0,1,1,68,0.701,29,0.299,2,0.667,1,0.333,7,0.636,4,0.364,16,0.696,7,0.304,75,0.949,4,0.051,17,0.85,3,0.15,22,0.733,8,0.267,31,0.912,3,0.088,30,0.769,9,0.231,13,0.867,2,0.133,171,0.929,13,0.071,12,1
Cambridgeshire,0,-,0,-,101,0.828,21,0.172,10,0.769,3,0.231,18,0.818,4,0.182,6,0.6,4,0.4,148,0.908,15,0.092,10,0.714,4,0.286,30,0.909,3,0.091,47,0.979,1,0.021,37,0.949,2,0.051,28,0.757,9,0.243,103,0.866,16,0.134,14,1
Cheshire,0,-,0,-,170,0.81,40,0.19,15,0.938,1,0.063,38,0.884,5,0.116,10,1,0,0,205,0.976,5,0.024,14,0.933,1,0.067,39,0.929,3,0.071,64,0.955,3,0.045,77,0.906,8,0.094,50,0.909,5,0.091,264,0.943,16,0.057,13,1
Cleveland,2,0.4,3,0.6,119,0.73,44,0.27,11,0.647,6,0.353,36,0.947,2,0.053,3,0.6,2,0.4,334,0.915,31,0.085,11,0.786,3,0.214,46,0.78,13,0.22,65,0.97,2,0.03,123,0.82,27,0.18,34,0.708,14,0.292,228,0.934,16,0.066,3,1
Cumbria,0,-,0,-,113,0.897,13,0.103,4,0.571,3,0.429,16,1,0,0,1,1,0,0,115,0.943,7,0.057,6,1,0,0,38,0.927,3,0.073,52,0.981,1,0.019,78,0.975,2,0.025,52,0.912,5,0.088,112,0.941,7,0.059,12,1
Derbyshire,0,0,1,1,135,0.699,58,0.301,22,0.759,7,0.241,36,0.9,4,0.1,5,0.714,2,0.286,194,0.919,17,0.081,15,1,0,0,53,0.815,12,0.185,86,0.905,9,0.095,59,0.797,15,0.203,28,0.7,12,0.3,251,0.965,9,0.035,13,1
Devon and Cornwall,0,-,0,-,220,0.775,64,0.225,16,0.842,3,0.158,25,0.862,4,0.138,10,1,0,0,199,0.896,23,0.104,18,0.9,2,0.1,74,0.892,9,0.108,96,0.95,5,0.05,83,0.883,11,0.117,75,0.843,14,0.157,410,0.93,31,0.07,10,1
Dorset,0,-,0,-,87,0.75,29,0.25,6,0.462,7,0.538,20,0.952,1,0.048,6,1,0,0,96,0.95,5,0.05,4,1,0,0,30,0.882,4,0.118,47,0.904,5,0.096,42,0.84,8,0.16,61,0.813,14,0.187,112,0.882,15,0.118,7,1
Durham,1,1,0,0,105,0.784,29,0.216,9,0.75,3,0.25,28,0.875,4,0.125,0,0,0,0,171,0.895,20,0.105,20,0.909,2,0.091,42,0.808,10,0.192,38,0.974,1,0.026,82,0.901,9,0.099,12,0.706,5,0.294,130,0.935,9,0.065,2,1
Dyfed Powys,0,-,0,-,69,0.821,15,0.179,4,0.571,3,0.429,8,0.889,1,0.111,3,0.5,3,0.5,79,0.908,8,0.092,4,1,0,0,30,0.938,2,0.063,82,0.943,5,0.057,81,0.92,7,0.08,19,0.95,1,0.05,274,0.942,17,0.058,2,1
Essex,3,1,0,0,331,0.784,91,0.216,11,0.647,6,0.353,42,0.75,14,0.25,7,0.778,2,0.222,327,0.929,25,0.071,31,0.939,2,0.061,101,0.894,12,0.106,111,0.965,4,0.035,135,0.944,8,0.056,83,0.912,8,0.088,215,0.837,42,0.163,14,1
Gloucestershire,0,-,0,-,71,0.826,15,0.174,4,0.8,1,0.2,20,0.952,1,0.048,3,0.75,1,0.25,89,1,0,0,9,0.9,1,0.1,14,0.778,4,0.222,31,0.939,2,0.061,25,0.962,1,0.038,5,0.833,1,0.167,97,0.933,7,0.067,7,1
GreaterManchester,2,0.667,1,0.333,478,0.791,126,0.209,52,0.722,20,0.278,94,0.904,10,0.096,34,0.919,3,0.081,495,0.934,35,0.066,39,0.867,6,0.133,143,0.846,26,0.154,200,0.943,12,0.057,297,0.889,37,0.111,179,0.895,21,0.105,772,0.936,53,0.064,32,1
Gwent,0,-,0,-,85,0.714,34,0.286,5,1,0,0,11,0.846,2,0.154,2,0.5,2,0.5,129,0.908,13,0.092,5,1,0,0,38,0.905,4,0.095,48,0.923,4,0.077,74,0.871,11,0.129,21,0.84,4,0.16,106,0.774,31,0.226,7,1
Hampshire,0,-,0,-,303,0.785,83,0.215,19,0.528,17,0.472,34,0.694,15,0.306,4,0.571,3,0.429,317,0.885,41,0.115,25,0.714,10,0.286,78,0.765,24,0.235,187,0.959,8,0.041,115,0.821,25,0.179,162,0.848,29,0.152,245,0.872,36,0.128,19,1
Hertfordshire,3,1,0,0,113,0.774,33,0.226,8,0.571,6,0.429,20,0.833,4,0.167,4,1,0,0,149,0.861,24,0.139,13,0.813,3,0.188,27,0.818,6,0.182,70,0.921,6,0.079,53,0.869,8,0.131,28,0.824,6,0.176,153,0.841,29,0.159,16,1
Humberside,0,0,1,1,217,0.828,45,0.172,16,0.762,5,0.238,29,0.853,5,0.147,7,1,0,0,271,0.916,25,0.084,16,0.842,3,0.158,79,0.94,5,0.06,82,0.953,4,0.047,128,0.928,10,0.072,47,0.94,3,0.06,390,0.949,21,0.051,10,1
Kent,0,-,0,-,230,0.721,89,0.279,19,0.826,4,0.174,59,0.952,3,0.048,10,0.909,1,0.091,356,0.913,34,0.087,21,0.808,5,0.192,87,0.791,23,0.209,85,0.955,4,0.045,38,0.826,8,0.174,200,0.881,27,0.119,142,0.866,22,0.134,30,1
