location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Lancashire,4,1,0,0,337,0.769,101,0.231,29,0.853,5,0.147,83,0.902,9,0.098,24,1,0,0,383,0.943,23,0.057,20,0.952,1,0.048,114,0.898,13,0.102,101,0.981,2,0.019,223,0.878,31,0.122,104,0.832,21,0.168,300,0.885,39,0.115,33,1
Leicestershire,2,0.667,1,0.333,142,0.835,28,0.165,15,0.714,6,0.286,13,0.722,5,0.278,4,0.8,1,0.2,155,0.945,9,0.055,12,0.857,2,0.143,23,0.821,5,0.179,34,0.944,2,0.056,50,0.833,10,0.167,32,0.914,3,0.086,307,0.965,11,0.035,18,1
Lincolnshire,1,1,0,0,117,0.848,21,0.152,5,0.714,2,0.286,14,0.933,1,0.067,2,1,0,0,128,0.901,14,0.099,3,1,0,0,26,0.897,3,0.103,28,0.966,1,0.034,71,0.934,5,0.066,8,0.444,10,0.556,155,0.852,27,0.148,10,1
Merseyside,2,0.667,1,0.333,236,0.74,83,0.26,27,0.771,8,0.229,39,0.813,9,0.188,21,0.875,3,0.125,264,0.94,17,0.06,21,0.955,1,0.045,65,0.903,7,0.097,279,0.918,25,0.082,128,0.853,22,0.147,148,0.919,13,0.081,391,0.924,32,0.076,22,1
Metropolitan and City,13,1,0,0,1306,0.704,549,0.296,108,0.632,63,0.368,266,0.811,62,0.189,147,0.714,59,0.286,1388,0.884,182,0.116,231,0.852,40,0.148,312,0.834,62,0.166,1228,0.95,64,0.05,779,0.821,170,0.179,527,0.833,106,0.167,1889,0.823,405,0.177,261,1
Norfolk,0,-,0,-,193,0.821,42,0.179,15,1,0,0,16,1,0,0,3,1,0,0,190,0.931,14,0.069,15,0.833,3,0.167,41,0.891,5,0.109,60,0.952,3,0.048,83,0.892,10,0.108,65,0.89,8,0.11,135,0.925,11,0.075,15,1
Northamptonshire,0,-,0,-,106,0.803,26,0.197,6,1,0,0,16,0.727,6,0.273,4,0.571,3,0.429,128,0.895,15,0.105,5,1,0,0,22,0.71,9,0.29,35,0.897,4,0.103,29,0.784,8,0.216,11,0.846,2,0.154,214,0.968,7,0.032,9,1
Northumbria,3,1,0,0,240,0.75,80,0.25,30,0.75,10,0.25,74,0.871,11,0.129,13,0.867,2,0.133,526,0.926,42,0.074,31,0.939,2,0.061,105,0.82,23,0.18,115,0.858,19,0.142,148,0.846,27,0.154,280,0.824,60,0.176,503,0.905,53,0.095,17,1
North Wales,1,1,0,0,118,0.776,34,0.224,10,0.714,4,0.286,26,0.929,2,0.071,2,1,0,0,165,0.948,9,0.052,7,0.875,1,0.125,45,0.9,5,0.1,57,1,0,0,75,0.872,11,0.128,118,0.944,7,0.056,268,0.95,14,0.05,7,1
North Yorkshire,0,-,0,-,98,0.695,43,0.305,8,1,0,0,18,0.947,1,0.053,1,0.333,2,0.667,171,0.929,13,0.071,8,0.667,4,0.333,39,0.83,8,0.17,48,0.873,7,0.127,100,0.909,10,0.091,28,0.933,2,0.067,137,0.913,13,0.087,3,1
Nottinghamshire,0,-,0,-,179,0.71,73,0.29,14,0.824,3,0.176,43,0.956,2,0.044,22,0.957,1,0.043,247,0.918,22,0.082,17,1,0,0,55,0.887,7,0.113,78,0.951,4,0.049,75,0.824,16,0.176,67,0.827,14,0.173,189,0.883,25,0.117,17,1
South Wales,0,-,0,-,362,0.765,111,0.235,7,0.5,7,0.5,49,0.86,8,0.14,4,1,0,0,359,0.973,10,0.027,19,0.864,3,0.136,124,0.912,12,0.088,161,0.964,6,0.036,243,0.856,41,0.144,70,0.854,12,0.146,735,0.887,94,0.113,17,1
South Yorkshire,2,0.667,1,0.333,229,0.798,58,0.202,18,0.9,2,0.1,51,0.864,8,0.136,10,0.909,1,0.091,409,0.932,30,0.068,13,0.929,1,0.071,80,0.87,12,0.13,140,0.933,10,0.067,164,0.906,17,0.094,44,0.815,10,0.185,362,0.955,17,0.045,11,1
Staffordshire,2,1,0,0,165,0.764,51,0.236,10,0.667,5,0.333,28,0.848,5,0.152,18,0.783,5,0.217,201,0.882,27,0.118,12,0.857,2,0.143,53,0.869,8,0.131,84,0.913,8,0.087,97,0.822,21,0.178,23,0.885,3,0.115,646,0.954,31,0.046,11,1
Suffolk,1,1,0,0,165,0.892,20,0.108,4,1,0,0,18,1,0,0,2,0.667,1,0.333,111,0.925,9,0.075,8,1,0,0,33,0.868,5,0.132,66,1,0,0,75,0.938,5,0.063,33,0.971,1,0.029,79,0.868,12,0.132,3,1
Surrey,0,-,0,-,139,0.72,54,0.28,7,0.636,4,0.364,30,0.833,6,0.167,1,0.5,1,0.5,114,0.838,22,0.162,11,1,0,0,24,0.8,6,0.2,79,0.94,5,0.06,66,0.904,7,0.096,74,0.881,10,0.119,201,0.905,21,0.095,21,1
Sussex,0,-,0,-,266,0.675,128,0.325,21,0.656,11,0.344,40,0.87,6,0.13,8,0.889,1,0.111,290,0.929,22,0.071,18,0.947,1,0.053,73,0.83,15,0.17,115,0.898,13,0.102,113,0.837,22,0.163,82,0.739,29,0.261,239,0.916,22,0.084,22,1
Thames Valley,4,0.8,1,0.2,276,0.719,108,0.281,24,0.8,6,0.2,41,0.82,9,0.18,13,0.65,7,0.35,336,0.903,36,0.097,24,0.857,4,0.143,59,0.881,8,0.119,147,0.948,8,0.052,117,0.813,27,0.188,47,0.783,13,0.217,429,0.929,33,0.071,44,1
Warwickshire,0,-,0,-,42,0.894,5,0.106,2,1,0,0,17,0.895,2,0.105,0,0,0,0,58,1,0,0,2,0.667,1,0.333,15,0.938,1,0.063,21,1,0,0,28,0.824,6,0.176,22,0.846,4,0.154,227,0.89,28,0.11,5,1
West Mercia,0,-,0,-,162,0.822,35,0.178,10,0.625,6,0.375,35,0.897,4,0.103,4,0.5,4,0.5,172,0.983,3,0.017,10,0.909,1,0.091,40,0.851,7,0.149,68,1,0,0,99,0.853,17,0.147,25,0.806,6,0.194,256,0.871,38,0.129,6,1
West Midlands,1,1,0,0,419,0.702,178,0.298,45,0.789,12,0.211,97,0.843,18,0.157,49,0.766,15,0.234,559,0.913,53,0.087,31,0.738,11,0.262,133,0.811,31,0.189,247,0.943,15,0.057,135,0.804,33,0.196,201,0.838,39,0.163,394,0.908,40,0.092,47,1
West Yorkshire,3,1,0,0,480,0.751,159,0.249,44,0.71,18,0.29,96,0.793,25,0.207,31,0.912,3,0.088,531,0.906,55,0.094,27,0.659,14,0.341,111,0.776,32,0.224,198,0.9,22,0.1,147,0.782,41,0.218,68,0.782,19,0.218,363,0.862,58,0.138,44,1
Wiltshire,1,1,0,0,67,0.744,23,0.256,9,0.9,1,0.1,15,0.938,1,0.063,0,0,0,0,85,0.924,7,0.076,5,1,0,0,37,0.925,3,0.075,29,0.879,4,0.121,27,0.818,6,0.182,54,0.915,5,0.085,95,0.95,5,0.05,4,1
