location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Durham,0,-,0,-,103,0.78,29,0.22,12,0.632,7,0.368,27,0.9,3,0.1,2,1,0,0,117,0.921,10,0.079,16,1,0,0,47,0.87,7,0.13,26,0.963,1,0.037,47,0.81,11,0.19,5,0.833,1,0.167,70,0.921,6,0.079,3,1
Dyfed Powys,0,-,0,-,72,0.742,25,0.258,3,0.5,3,0.5,7,0.875,1,0.125,1,1,0,0,43,0.956,2,0.044,2,1,0,0,29,0.763,9,0.237,86,0.945,5,0.055,35,0.854,6,0.146,0,0,1,1,50,0.847,9,0.153,4,1
Essex,1,1,0,0,280,0.731,103,0.269,38,0.745,13,0.255,28,0.875,4,0.125,5,0.714,2,0.286,159,0.878,22,0.122,20,0.8,5,0.2,65,0.855,11,0.145,57,0.95,3,0.05,70,0.897,8,0.103,45,0.938,3,0.063,193,0.76,61,0.24,18,1
Gloucestershire,0,-,0,-,56,0.667,28,0.333,4,1,0,0,11,0.846,2,0.154,3,1,0,0,58,0.967,2,0.033,3,1,0,0,16,0.941,1,0.059,17,0.944,1,0.056,27,0.9,3,0.1,22,0.917,2,0.083,46,0.807,11,0.193,10,1
GreaterManchester,2,0.5,2,0.5,644,0.801,160,0.199,65,0.684,30,0.316,101,0.918,9,0.082,48,0.828,10,0.172,466,0.928,36,0.072,48,0.906,5,0.094,126,0.875,18,0.125,180,0.905,19,0.095,240,0.882,32,0.118,62,0.886,8,0.114,433,0.877,61,0.123,33,1
Gwent,0,0,1,1,98,0.797,25,0.203,5,0.625,3,0.375,19,0.864,3,0.136,2,0.667,1,0.333,106,0.981,2,0.019,7,0.875,1,0.125,45,0.938,3,0.063,47,1,0,0,73,0.89,9,0.11,12,1,0,0,85,0.955,4,0.045,2,1
Hampshire,5,1,0,0,319,0.802,79,0.198,43,0.782,12,0.218,28,0.8,7,0.2,5,0.714,2,0.286,214,0.918,19,0.082,27,0.964,1,0.036,54,0.9,6,0.1,78,0.886,10,0.114,69,0.863,11,0.138,16,0.889,2,0.111,248,0.892,30,0.108,16,1
Hertfordshire,0,0,1,1,135,0.758,43,0.242,6,0.857,1,0.143,9,0.692,4,0.308,5,1,0,0,154,0.875,22,0.125,12,0.8,3,0.2,27,0.818,6,0.182,40,0.909,4,0.091,48,0.873,7,0.127,28,0.8,7,0.2,88,0.807,21,0.193,26,1
Humberside,1,1,0,0,154,0.87,23,0.13,29,0.744,10,0.256,24,0.706,10,0.294,9,0.9,1,0.1,222,0.945,13,0.055,12,1,0,0,50,0.806,12,0.194,73,0.961,3,0.039,80,0.87,12,0.13,34,0.872,5,0.128,139,0.88,19,0.12,5,1
Kent,4,1,0,0,257,0.772,76,0.228,27,0.73,10,0.27,25,0.926,2,0.074,9,0.643,5,0.357,241,0.828,50,0.172,17,0.944,1,0.056,67,0.87,10,0.13,70,0.933,5,0.067,68,0.819,15,0.181,67,0.859,11,0.141,180,0.891,22,0.109,24,1
Lancashire,1,1,0,0,290,0.795,75,0.205,25,0.833,5,0.167,45,0.957,2,0.043,26,1,0,0,218,0.92,19,0.08,16,0.8,4,0.2,77,0.811,18,0.189,84,0.923,7,0.077,109,0.865,17,0.135,96,0.889,12,0.111,234,0.836,46,0.164,16,1
Leicestershire,1,1,0,0,149,0.723,57,0.277,18,0.75,6,0.25,22,0.957,1,0.043,9,0.9,1,0.1,147,0.907,15,0.093,15,0.938,1,0.063,26,0.867,4,0.133,46,0.979,1,0.021,64,0.901,7,0.099,22,0.917,2,0.083,120,0.833,24,0.167,15,1
Lincolnshire,2,1,0,0,105,0.854,18,0.146,12,0.857,2,0.143,20,0.952,1,0.048,1,1,0,0,125,0.962,5,0.038,6,1,0,0,26,0.813,6,0.188,44,0.917,4,0.083,34,0.85,6,0.15,29,0.967,1,0.033,144,0.889,18,0.111,7,1
Merseyside,2,1,0,0,308,0.764,95,0.236,18,0.667,9,0.333,33,0.943,2,0.057,13,0.65,7,0.35,260,0.945,15,0.055,10,0.769,3,0.231,66,0.892,8,0.108,227,0.958,10,0.042,59,0.819,13,0.181,109,0.901,12,0.099,192,0.914,18,0.086,11,1
Metropolitan and City,38,0.905,4,0.095,1421,0.663,723,0.337,124,0.689,56,0.311,206,0.76,65,0.24,118,0.752,39,0.248,1230,0.89,152,0.11,201,0.87,30,0.13,335,0.821,73,0.179,1010,0.914,95,0.086,578,0.812,134,0.188,511,0.846,93,0.154,1225,0.777,351,0.223,171,1
Norfolk,0,-,0,-,183,0.803,45,0.197,6,1,0,0,13,0.867,2,0.133,2,0.667,1,0.333,133,0.917,12,0.083,19,0.864,3,0.136,46,0.958,2,0.042,48,0.96,2,0.04,99,0.884,13,0.116,18,0.857,3,0.143,125,0.906,13,0.094,12,1
Northamptonshire,0,-,0,-,122,0.758,39,0.242,3,0.75,1,0.25,4,1,0,0,6,0.75,2,0.25,123,0.898,14,0.102,7,1,0,0,28,0.757,9,0.243,37,1,0,0,42,0.857,7,0.143,15,0.938,1,0.063,117,0.951,6,0.049,6,1
Northumbria,1,1,0,0,273,0.689,123,0.311,27,0.818,6,0.182,38,0.745,13,0.255,8,0.667,4,0.333,479,0.912,46,0.088,15,0.789,4,0.211,105,0.84,20,0.16,93,0.93,7,0.07,210,0.84,40,0.16,54,0.783,15,0.217,199,0.774,58,0.226,7,1
North Wales,0,-,0,-,130,0.783,36,0.217,8,0.471,9,0.529,25,0.962,1,0.038,1,0.5,1,0.5,143,0.966,5,0.034,3,0.75,1,0.25,35,0.897,4,0.103,41,0.976,1,0.024,70,0.946,4,0.054,19,0.905,2,0.095,119,0.915,11,0.085,2,1
North Yorkshire,2,0.667,1,0.333,121,0.858,20,0.142,6,1,0,0,12,0.8,3,0.2,7,1,0,0,149,0.955,7,0.045,9,1,0,0,39,0.886,5,0.114,43,0.956,2,0.044,79,0.898,9,0.102,9,0.9,1,0.1,113,0.904,12,0.096,4,1
Nottinghamshire,0,-,0,-,200,0.709,82,0.291,13,0.65,7,0.35,21,0.808,5,0.192,5,0.385,8,0.615,183,0.893,22,0.107,29,0.935,2,0.065,58,0.892,7,0.108,103,0.945,6,0.055,74,0.822,16,0.178,41,0.788,11,0.212,120,0.896,14,0.104,20,1
South Wales,1,0.5,1,0.5,303,0.754,99,0.246,26,0.743,9,0.257,38,0.826,8,0.174,5,0.833,1,0.167,284,0.959,12,0.041,11,0.786,3,0.214,80,0.86,13,0.14,150,0.955,7,0.045,179,0.873,26,0.127,22,0.786,6,0.214,662,0.927,52,0.073,16,1
South Yorkshire,0,-,0,-,237,0.812,55,0.188,9,0.6,6,0.4,27,0.771,8,0.229,9,0.6,6,0.4,303,0.929,23,0.071,25,0.962,1,0.038,61,0.859,10,0.141,120,0.916,11,0.084,98,0.899,11,0.101,36,0.923,3,0.077,169,0.923,14,0.077,15,1
Staffordshire,4,1,0,0,151,0.696,66,0.304,17,0.81,4,0.19,22,0.733,8,0.267,5,1,0,0,171,0.955,8,0.045,9,0.75,3,0.25,39,0.848,7,0.152,59,0.967,2,0.033,59,0.808,14,0.192,31,0.838,6,0.162,163,0.823,35,0.177,6,1
Suffolk,0,-,0,-,130,0.828,27,0.172,2,0.667,1,0.333,4,0.8,1,0.2,6,1,0,0,98,0.97,3,0.03,5,0.714,2,0.286,34,0.944,2,0.056,34,0.919,3,0.081,44,0.88,6,0.12,4,0.8,1,0.2,99,0.792,26,0.208,4,1
Surrey,0,-,0,-,148,0.787,40,0.213,12,0.75,4,0.25,18,0.857,3,0.143,4,1,0,0,107,0.922,9,0.078,32,0.97,1,0.03,28,0.903,3,0.097,54,0.931,4,0.069,54,0.9,6,0.1,20,0.952,1,0.048,116,0.853,20,0.147,8,1
Sussex,0,-,0,-,269,0.773,79,0.227,28,0.683,13,0.317,36,0.857,6,0.143,6,0.857,1,0.143,235,0.922,20,0.078,11,1,0,0,52,0.839,10,0.161,92,0.939,6,0.061,63,0.9,7,0.1,41,0.82,9,0.18,214,0.892,26,0.108,16,1
Thames Valley,5,1,0,0,291,0.742,101,0.258,40,0.702,17,0.298,34,0.919,3,0.081,17,0.773,5,0.227,282,0.925,23,0.075,31,0.912,3,0.088,57,0.826,12,0.174,127,0.941,8,0.059,104,0.874,15,0.126,31,0.738,11,0.262,231,0.859,38,0.141,31,1
Warwickshire,1,1,0,0,78,0.83,16,0.17,4,0.8,1,0.2,10,0.909,1,0.091,2,0.5,2,0.5,55,0.917,5,0.083,4,1,0,0,10,1,0,0,10,1,0,0,13,0.929,1,0.071,21,0.955,1,0.045,76,0.71,31,0.29,3,1
West Mercia,2,1,0,0,165,0.737,59,0.263,17,0.81,4,0.19,23,0.885,3,0.115,4,1,0,0,139,0.897,16,0.103,11,0.846,2,0.154,44,0.88,6,0.12,57,0.919,5,0.081,51,0.85,9,0.15,24,0.889,3,0.111,152,0.884,20,0.116,6,1
West Midlands,4,1,0,0,540,0.745,185,0.255,51,0.797,13,0.203,58,0.744,20,0.256,49,0.754,16,0.246,583,0.928,45,0.072,26,0.897,3,0.103,86,0.843,16,0.157,183,0.958,8,0.042,129,0.827,27,0.173,99,0.861,16,0.139,322,0.847,58,0.153,30,1
West Yorkshire,2,0.667,1,0.333,443,0.784,122,0.216,41,0.804,10,0.196,77,0.846,14,0.154,18,0.9,2,0.1,380,0.909,38,0.091,25,0.893,3,0.107,103,0.858,17,0.142,149,0.931,11,0.069,120,0.816,27,0.184,64,0.853,11,0.147,298,0.859,49,0.141,23,1
Wiltshire,0,-,0,-,81,0.794,21,0.206,6,0.857,1,0.143,9,0.9,1,0.1,8,0.889,1,0.111,75,0.904,8,0.096,9,1,0,0,26,0.897,3,0.103,30,0.938,2,0.063,35,0.921,3,0.079,0,0,1,1,73,0.88,10,0.12,5,1
