location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,57,0.722,22,0.278,8595,0.733,3133,0.267,731,0.696,320,0.304,1618,0.871,239,0.129,569,0.798,144,0.202,10716,0.919,943,0.081,814,0.877,114,0.123,2413,0.848,432,0.152,4649,0.94,295,0.06,3920,0.845,717,0.155,2994,0.847,541,0.153,11155,0.887,1425,0.113,633,1
Avon and Somerset,1,1,0,0,230,0.78,65,0.22,30,0.652,16,0.348,39,0.929,3,0.071,14,0.824,3,0.176,371,0.894,44,0.106,19,1,0,0,81,0.853,14,0.147,139,0.946,8,0.054,107,0.823,23,0.177,94,0.922,8,0.078,723,0.903,78,0.097,19,1
Bedfordshire,2,1,0,0,102,0.734,37,0.266,4,1,0,0,26,0.867,4,0.133,11,1,0,0,147,0.875,21,0.125,9,0.9,1,0.1,28,0.875,4,0.125,61,0.897,7,0.103,20,0.714,8,0.286,20,0.909,2,0.091,89,0.856,15,0.144,8,1
Cambridgeshire,0,-,0,-,83,0.769,25,0.231,4,1,0,0,27,0.9,3,0.1,5,0.833,1,0.167,121,0.938,8,0.062,10,0.909,1,0.091,22,0.786,6,0.214,43,0.977,1,0.023,55,0.917,5,0.083,25,0.806,6,0.194,74,0.881,10,0.119,7,1
Cheshire,0,-,0,-,148,0.779,42,0.221,15,0.714,6,0.286,20,0.909,2,0.091,2,0.5,2,0.5,226,0.966,8,0.034,13,0.765,4,0.235,41,0.891,5,0.109,73,0.948,4,0.052,68,0.895,8,0.105,42,0.824,9,0.176,245,0.939,16,0.061,4,1
Cleveland,1,1,0,0,92,0.702,39,0.298,15,0.789,4,0.211,38,0.884,5,0.116,10,0.556,8,0.444,278,0.927,22,0.073,8,0.667,4,0.333,39,0.736,14,0.264,62,0.861,10,0.139,79,0.767,24,0.233,28,0.718,11,0.282,233,0.971,7,0.029,3,1
Cumbria,0,-,0,-,130,0.884,17,0.116,5,0.714,2,0.286,15,0.882,2,0.118,1,1,0,0,76,0.987,1,0.013,4,1,0,0,36,0.878,5,0.122,36,0.973,1,0.027,28,0.933,2,0.067,59,0.952,3,0.048,105,0.89,13,0.11,8,1
Derbyshire,1,1,0,0,124,0.693,55,0.307,13,0.813,3,0.188,29,0.879,4,0.121,3,0.75,1,0.25,149,0.887,19,0.113,6,1,0,0,28,0.757,9,0.243,57,0.877,8,0.123,46,0.92,4,0.08,41,0.82,9,0.18,108,0.878,15,0.122,18,1
Devon and Cornwall,1,0.5,1,0.5,221,0.734,80,0.266,11,0.846,2,0.154,35,0.833,7,0.167,0,0,0,0,202,0.962,8,0.038,5,0.714,2,0.286,57,0.826,12,0.174,72,0.923,6,0.077,76,0.835,15,0.165,82,0.845,15,0.155,374,0.923,31,0.077,6,1
Dorset,2,1,0,0,84,0.778,24,0.222,3,0.429,4,0.571,16,1,0,0,3,1,0,0,115,0.898,13,0.102,2,1,0,0,26,0.813,6,0.188,41,0.932,3,0.068,36,0.857,6,0.143,46,0.92,4,0.08,92,0.844,17,0.156,9,1
Durham,1,1,0,0,88,0.733,32,0.267,12,0.706,5,0.294,29,0.853,5,0.147,4,0.8,1,0.2,161,0.92,14,0.08,7,0.875,1,0.125,47,0.839,9,0.161,21,0.913,2,0.087,57,0.792,15,0.208,15,0.882,2,0.118,78,0.918,7,0.082,0,-
Dyfed Powys,0,-,0,-,64,0.821,14,0.179,6,0.75,2,0.25,16,0.889,2,0.111,0,0,0,0,31,0.756,10,0.244,2,1,0,0,23,0.821,5,0.179,66,0.93,5,0.07,51,0.85,9,0.15,15,0.882,2,0.118,204,0.932,15,0.068,5,1
Essex,4,1,0,0,280,0.793,73,0.207,19,0.76,6,0.24,37,0.925,3,0.075,13,0.867,2,0.133,288,0.932,21,0.068,16,0.8,4,0.2,69,0.863,11,0.138,126,0.969,4,0.031,65,0.89,8,0.11,47,0.87,7,0.13,195,0.911,19,0.089,14,1
