location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gloucestershire,0,-,0,-,64,0.821,14,0.179,3,0.75,1,0.25,21,0.955,1,0.045,2,1,0,0,100,0.926,8,0.074,8,1,0,0,22,0.957,1,0.043,58,0.951,3,0.049,23,0.852,4,0.148,5,0.833,1,0.167,80,0.909,8,0.091,7,1
GreaterManchester,4,0.8,1,0.2,553,0.779,157,0.221,42,0.538,36,0.462,100,0.952,5,0.048,41,0.911,4,0.089,530,0.964,20,0.036,47,0.825,10,0.175,136,0.877,19,0.123,242,0.949,13,0.051,270,0.909,27,0.091,118,0.901,13,0.099,1040,0.944,62,0.056,29,1
Gwent,0,-,0,-,70,0.805,17,0.195,3,0.375,5,0.625,25,0.806,6,0.194,6,0.75,2,0.25,101,0.918,9,0.082,12,0.923,1,0.077,24,0.706,10,0.294,36,0.783,10,0.217,56,0.824,12,0.176,32,0.8,8,0.2,72,0.809,17,0.191,3,1
Hampshire,0,0,1,1,249,0.697,108,0.303,26,0.553,21,0.447,35,0.814,8,0.186,7,0.636,4,0.364,284,0.925,23,0.075,13,0.722,5,0.278,79,0.859,13,0.141,108,0.947,6,0.053,105,0.784,29,0.216,148,0.876,21,0.124,188,0.883,25,0.117,14,1
Hertfordshire,1,0.333,2,0.667,195,0.789,52,0.211,16,0.727,6,0.273,30,0.811,7,0.189,17,0.895,2,0.105,187,0.899,21,0.101,34,0.723,13,0.277,41,0.911,4,0.089,121,0.931,9,0.069,66,0.75,22,0.25,22,0.71,9,0.29,155,0.787,42,0.213,9,1
Humberside,2,1,0,0,159,0.795,41,0.205,23,0.793,6,0.207,43,0.956,2,0.044,8,0.667,4,0.333,255,0.955,12,0.045,7,0.875,1,0.125,54,0.915,5,0.085,76,0.95,4,0.05,90,0.811,21,0.189,26,0.765,8,0.235,150,0.877,21,0.123,10,1
Kent,2,1,0,0,216,0.718,85,0.282,13,0.867,2,0.133,27,0.818,6,0.182,18,0.947,1,0.053,301,0.891,37,0.109,23,0.92,2,0.08,69,0.852,12,0.148,94,0.931,7,0.069,48,0.873,7,0.127,130,0.813,30,0.188,169,0.904,18,0.096,30,1
Lancashire,2,1,0,0,316,0.756,102,0.244,44,0.815,10,0.185,97,0.89,12,0.11,20,0.833,4,0.167,314,0.9,35,0.1,21,0.955,1,0.045,113,0.869,17,0.131,112,0.926,9,0.074,191,0.905,20,0.095,137,0.895,16,0.105,243,0.85,43,0.15,14,1
Leicestershire,1,1,0,0,168,0.727,63,0.273,8,0.571,6,0.429,16,0.727,6,0.273,9,0.75,3,0.25,193,0.915,18,0.085,19,1,0,0,41,0.854,7,0.146,36,0.857,6,0.143,84,0.875,12,0.125,17,0.773,5,0.227,323,0.934,23,0.066,5,1
Lincolnshire,0,0,2,1,80,0.8,20,0.2,5,0.833,1,0.167,15,1,0,0,4,1,0,0,105,0.905,11,0.095,3,0.75,1,0.25,17,0.944,1,0.056,41,0.953,2,0.047,56,0.875,8,0.125,12,0.75,4,0.25,127,0.888,16,0.112,9,1
Merseyside,1,1,0,0,229,0.776,66,0.224,23,0.742,8,0.258,39,0.975,1,0.025,21,0.84,4,0.16,339,0.966,12,0.034,42,0.977,1,0.023,59,0.843,11,0.157,279,0.933,20,0.067,89,0.84,17,0.16,135,0.871,20,0.129,417,0.935,29,0.065,14,1
Metropolitan and City,11,0.611,7,0.389,1224,0.668,607,0.332,108,0.617,67,0.383,221,0.815,50,0.185,162,0.75,54,0.25,1257,0.892,152,0.108,219,0.898,25,0.102,277,0.805,67,0.195,1084,0.949,58,0.051,631,0.835,125,0.165,496,0.844,92,0.156,1500,0.794,388,0.206,200,1
Norfolk,0,-,0,-,151,0.782,42,0.218,6,0.6,4,0.4,19,0.864,3,0.136,8,0.889,1,0.111,163,0.906,17,0.094,9,0.75,3,0.25,42,0.894,5,0.106,63,0.94,4,0.06,69,0.831,14,0.169,63,0.797,16,0.203,107,0.843,20,0.157,12,1
Northamptonshire,3,1,0,0,106,0.736,38,0.264,8,0.8,2,0.2,13,0.813,3,0.188,1,1,0,0,134,0.912,13,0.088,8,0.8,2,0.2,32,0.865,5,0.135,43,1,0,0,47,0.887,6,0.113,16,0.667,8,0.333,107,0.93,8,0.07,9,1
Northumbria,1,1,0,0,246,0.713,99,0.287,20,0.625,12,0.375,63,0.887,8,0.113,9,1,0,0,501,0.893,60,0.107,18,0.783,5,0.217,112,0.818,25,0.182,100,0.909,10,0.091,134,0.736,48,0.264,240,0.797,61,0.203,274,0.848,49,0.152,15,1
North Wales,0,-,0,-,94,0.734,34,0.266,7,0.7,3,0.3,10,0.769,3,0.231,7,0.875,1,0.125,155,0.957,7,0.043,4,0.667,2,0.333,41,0.932,3,0.068,33,0.917,3,0.083,44,0.83,9,0.17,74,0.961,3,0.039,154,0.928,12,0.072,4,1
North Yorkshire,5,1,0,0,121,0.786,33,0.214,7,1,0,0,25,0.962,1,0.038,2,0.667,1,0.333,161,0.964,6,0.036,11,0.917,1,0.083,35,0.814,8,0.186,35,0.972,1,0.028,80,0.93,6,0.07,12,0.8,3,0.2,99,0.892,12,0.108,9,1
Nottinghamshire,1,1,0,0,184,0.776,53,0.224,8,0.8,2,0.2,32,0.727,12,0.273,20,0.909,2,0.091,221,0.906,23,0.094,14,0.933,1,0.067,46,0.852,8,0.148,98,0.942,6,0.058,55,0.846,10,0.154,58,0.744,20,0.256,175,0.871,26,0.129,13,1
South Wales,1,1,0,0,240,0.672,117,0.328,13,0.65,7,0.35,57,0.95,3,0.05,5,0.833,1,0.167,287,0.944,17,0.056,34,0.944,2,0.056,67,0.893,8,0.107,152,0.974,4,0.026,160,0.904,17,0.096,66,0.917,6,0.083,431,0.852,75,0.148,13,1
South Yorkshire,0,-,0,-,207,0.787,56,0.213,17,0.85,3,0.15,31,0.939,2,0.061,15,0.833,3,0.167,357,0.952,18,0.048,12,0.923,1,0.077,71,0.845,13,0.155,130,0.97,4,0.03,122,0.924,10,0.076,39,0.886,5,0.114,208,0.885,27,0.115,12,1
Staffordshire,0,0,1,1,192,0.733,70,0.267,15,0.882,2,0.118,26,0.897,3,0.103,6,1,0,0,213,0.895,25,0.105,8,1,0,0,48,0.828,10,0.172,82,0.943,5,0.057,111,0.828,23,0.172,46,0.902,5,0.098,264,0.904,28,0.096,0,-
Suffolk,0,-,0,-,136,0.777,39,0.223,1,0.25,3,0.75,15,0.882,2,0.118,0,0,0,0,104,1,0,0,11,0.917,1,0.083,35,0.875,5,0.125,58,0.983,1,0.017,45,0.957,2,0.043,36,0.878,5,0.122,87,0.897,10,0.103,4,1
Surrey,0,-,0,-,126,0.63,74,0.37,12,0.667,6,0.333,19,0.731,7,0.269,4,1,0,0,182,0.839,35,0.161,20,0.87,3,0.13,48,0.814,11,0.186,98,0.951,5,0.049,91,0.734,33,0.266,72,0.727,27,0.273,155,0.901,17,0.099,18,1
Sussex,0,0,1,1,206,0.68,97,0.32,25,0.781,7,0.219,34,1,0,0,4,0.5,4,0.5,237,0.901,26,0.099,13,0.867,2,0.133,43,0.86,7,0.14,114,0.934,8,0.066,57,0.792,15,0.208,76,0.844,14,0.156,236,0.94,15,0.06,14,1
Thames Valley,3,0.333,6,0.667,270,0.654,143,0.346,32,0.78,9,0.22,42,0.857,7,0.143,5,0.833,1,0.167,350,0.916,32,0.084,26,0.813,6,0.188,58,0.906,6,0.094,146,0.936,10,0.064,122,0.739,43,0.261,34,0.723,13,0.277,824,0.941,52,0.059,27,1
Warwickshire,0,-,0,-,64,0.865,10,0.135,3,0.429,4,0.571,9,0.818,2,0.182,2,1,0,0,81,0.91,8,0.09,8,1,0,0,13,0.867,2,0.133,12,1,0,0,33,0.971,1,0.029,24,0.828,5,0.172,101,0.886,13,0.114,1,1
West Mercia,0,-,0,-,147,0.799,37,0.201,17,0.739,6,0.261,24,0.857,4,0.143,6,1,0,0,200,0.943,12,0.057,10,0.909,1,0.091,41,0.891,5,0.109,63,0.984,1,0.016,102,0.944,6,0.056,34,0.829,7,0.171,213,0.926,17,0.074,1,1
West Midlands,2,1,0,0,446,0.679,211,0.321,39,0.75,13,0.25,85,0.825,18,0.175,44,0.657,23,0.343,674,0.922,57,0.078,42,0.933,3,0.067,146,0.859,24,0.141,171,0.924,14,0.076,102,0.843,19,0.157,218,0.886,28,0.114,356,0.89,44,0.11,10,1
West Yorkshire,3,1,0,0,378,0.756,122,0.244,45,0.75,15,0.25,104,0.874,15,0.126,43,0.878,6,0.122,487,0.935,34,0.065,16,0.842,3,0.158,74,0.841,14,0.159,121,0.924,10,0.076,132,0.852,23,0.148,74,0.902,8,0.098,307,0.853,53,0.147,21,1
Wiltshire,1,1,0,0,112,0.83,23,0.17,5,0.625,3,0.375,14,0.875,2,0.125,7,0.875,1,0.125,78,0.929,6,0.071,1,0.5,1,0.5,32,0.842,6,0.158,46,0.939,3,0.061,17,0.944,1,0.056,20,0.909,2,0.091,73,0.859,12,0.141,5,1
